Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	PRPS	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``
Factmonster_10053687_august-13.txt	486	5.0226	0.580000	0	0	0.4115	7.6132	1.8519	1.8519	5.7613	2.0576	0	0.2058	0	2.0576	4.5267	0.8230	0	0	0	0	0	11.5226	0	0.2058	0	0	0	0	0	0.6173	0	8.0247	0	0	34.5679	1.8519	0.2058	0	1.6461	14.1975	0.2058	0	0	0.4115	0	0	0	0	0.4115	0	1.4403	0.2058	0	0	0	0	0	0.4115	1.8519	0	2.6749	0.2058	0	2.0576	7.4074	1.2346	1.2346	0	0	0.2058	0	0	0.6173	0	0	0.6173	0	0.2058	0.2058	0.4115	0.4115	0	0.2058	0	0.2058	0	0	0	0.2058	0	0	0	0	0	0	0	0.4115
Teen_Kids_News_10403691_this-boston-teen-went-from-surviving-brain-surgery-to-starting-popular-ice-cream-company-its-given-me-new-energy.txt	849	4.5512	0.557500	0	0.1178	2.5913	6.9494	0.1178	0.1178	5.4181	1.4134	0	0.5889	0	1.1779	1.6490	0	0.1178	0.1178	0.2356	0.4711	0	7.5383	0.1178	0.5889	0	2.8269	0	0.4711	0	1.2956	0	5.5359	0	0	26.5018	1.2956	0.3534	0	1.0601	10.0118	0.8245	0.3534	0	0.9423	1.5312	0.2356	0	0	0.9423	0.5889	3.1802	0	0.2356	0	0	0	0.2356	0.4711	2.1201	0.2356	5.8893	0.1178	0	2.4735	5.8893	3.5336	1.8846	6.0071	0	0.4711	0	0.5889	2.4735	0	1.4134	0.9423	0	0.7067	0	0.5889	1.1779	0.1178	1.6490	0	0	0.2356	0	0.3534	0.8245	0.3534	0.1178	0	0	0	0.1178	0.2356	2.9446
WhyFiles_10063089_184barred_galaxy.txt	1052	4.6492	0.515000	0	0	0.7605	6.3688	0.3802	0.3802	4.7529	1.5209	0.3802	0.8555	0.0951	1.2357	1.5209	0	0.3802	0.0951	0.9506	0.3802	0	10.9316	0.2852	1.1407	0.2852	1.6160	0.1901	0.2852	0.0951	1.2357	0.0951	8.1749	0	0.4753	28.9924	1.6160	0	0	0.5703	10.6464	1.1407	0.6654	1.3308	0.1901	0.9506	0.2852	0	0	0.2852	0	3.0418	0.0951	1.0456	0	0.0951	0.0951	0.3802	0.0951	0.6654	0.1901	0.5703	0.4753	0	3.1369	1.3308	1.5209	1.7110	6.6540	0.1901	0.7605	0	0.5703	1.8061	0	1.0456	0.7605	0.3802	0.3802	0	0.2852	2.1863	0	0.8555	0.1901	0.0951	0.2852	0	0.0951	0.1901	0.0951	0.1901	0	0.0951	0.0951	0.0951	0.1901	0.7605
Encyclopedia_Kinds_au_10085274_Atom.txt	803	5.0062	0.527500	0	0	0	4.9813	0.8717	0.8717	5.2304	0.2491	0.6227	0.6227	0	1.9925	1.9925	0	0	0.3736	0.9963	0.3736	0	9.8381	0.3736	0.6227	0.1245	0	1.1208	0.8717	0	1.1208	0	10.5853	0	0	28.0199	0.9963	0.1245	0	0.8717	13.2005	0.8717	0.3736	0	0.3736	0.8717	0	0	0	1.3699	0.2491	2.7397	0	0	0	0.1245	0	0.2491	0.2491	0.7472	0	0.4981	0.3736	0	1.1208	1.6189	1.7435	3.6115	7.2229	0.4981	0	0	0.3736	2.3661	0.3736	0	2.7397	0	0.2491	0.1245	0.4981	0.7472	0	0.2491	0.3736	0	0.9963	0.1245	0.1245	0.1245	0	0.1245	0	0	0	0.1245	0.3736	0
World_Dteen_10406257_5125.txt	550	4.7855	0.652500	0	0.3636	0.9091	4.9091	1.0909	1.0909	6.7273	1.8182	0.1818	0.9091	0	1.8182	2.9091	0	0.1818	0	0.1818	0	0.1818	7.8182	0.1818	0.9091	0	0.5455	0	0.9091	0	2.0000	0.1818	7.0909	0	0	32.0000	2.0000	0.1818	0	0.9091	8.0000	0.5455	0.3636	1.0909	0.7273	0.5455	1.0909	0.1818	0	0.9091	0.1818	3.0909	0.7273	0	0	0.1818	0	0	0.3636	1.8182	0.1818	0.7273	0.3636	0	4.7273	1.2727	2.1818	1.8182	7.4545	0	0.3636	0	0.5455	1.2727	0	1.2727	0.9091	0.1818	0.3636	0	0	0.5455	0	0.7273	0	0.1818	0.5455	0	0.3636	0.3636	0.1818	0	0	0	0	0	0	0.9091
TeenVogue_10407247_now-apocalypse-kelli-berglund.txt	999	3.9900	0.515000	0	0	0.9009	6.0060	0.2002	0.2002	6.8068	1.6016	0.4004	1.4014	0.2002	1.9019	0.7007	0	0.1001	0.1001	1.2012	0.6006	0	6.6066	0.2002	1.4014	0.3003	4.2042	0	0	0.1001	3.1031	0.1001	4.6046	0	0	19.9199	0.5005	0	0	0.5005	7.7077	3.1031	0.3003	0.5005	0.6006	1.3013	0.8008	0.1001	0	1.3013	0.3003	5.0050	0.4004	1.5015	0	0.2002	0	0.3003	0.8008	1.7017	0.2002	3.4034	0.2002	0.2002	4.0040	2.9029	2.0020	2.4024	8.8088	0.2002	1.4014	0	0.6006	3.6036	0.2002	4.3043	0.9009	0	0.3003	0.1001	0.1001	1.5015	0.4004	0.1001	0.2002	0	0.4004	0	0.3003	0.4004	0.3003	0.1001	0	0.5005	0.2002	0	0.1001	0.9009
WhyFiles_10062955.txt	1049	4.8103	0.545000	0	0	1.0486	7.1497	0.3813	0.3813	6.0057	1.0486	0.1907	0.9533	0.0953	1.8112	0.6673	0	0.4766	0.0953	1.4299	0.4766	0.0953	7.9123	0.1907	0.7626	0	4.7664	0.1907	0	0.0953	2.0019	0	7.5310	0	0	23.7369	1.1439	0	0	0.4766	7.6263	1.3346	0.0953	0.6673	0.0953	1.0486	0.2860	0	0	0.4766	0	2.8599	0	1.5253	0.0953	0.0953	0.0953	0.4766	0.6673	1.6206	0	3.1459	0.4766	0.0953	3.2412	5.6244	1.5253	2.4786	7.7216	0.1907	0.5720	0	0.7626	1.4299	0.1907	1.4299	1.0486	0	0.2860	0	0.1907	2.0972	0	1.0486	0.1907	0.0953	0.1907	0	0.0953	0.0953	0.5720	0.1907	0	0	0.0953	0.0953	0.0953	1.0486
TeenVogue_10406181_pete-buttigieg-could-be-the-first-openly-gay-man-to-run-for-president.txt	1122	4.4697	0.500000	0	0	1.6043	6.5954	0.2674	0.2674	4.2781	0.0891	0.1783	1.1586	0.1783	0.8913	1.3369	0.1783	0.4456	0.0891	1.3369	0.9804	0.0891	6.1497	0.3565	0.6239	0	2.4064	0	0.2674	0	1.5152	0.1783	5.9715	0	0.0891	19.2513	1.6934	0.1783	0	0.1783	9.4474	1.5152	0.2674	0.8913	0.3565	1.5152	0.7130	0	0	0.3565	0.7130	4.7237	0.0891	0.8913	0	0.0891	0.0891	0.6239	0.3565	2.6738	0.5348	5.4367	0	0	4.9020	3.2086	2.3173	2.0499	8.0214	0	1.3369	0	1.3369	3.5651	0	2.5847	0.7130	0	0.2674	0.0891	0.1783	1.7825	0.3565	2.0499	0	0	0.4456	0.0891	0.4456	0.2674	0.8021	0.1783	0	0.1783	0.5348	0	0.2674	2.1390
Ducksters_10397932_salem_witch_trialsphp.txt	709	4.5120	0.475000	0	0	0.1410	3.5261	0.4231	0.4231	6.2059	1.4104	0.1410	0.4231	0	1.8336	2.1157	0.1410	0.8463	0.1410	0.9873	0.1410	0	11.2835	0	0.9873	0.2821	0	0	0.1410	0	1.1283	0	2.9619	0	0	28.3498	0.8463	0	0	0.5642	12.1298	0.1410	0.1410	0.4231	0.5642	0.2821	0.8463	0	0	0.5642	0.1410	2.3977	0	0.1410	0	0	0	0.4231	0.4231	1.8336	0	3.5261	0.1410	0	3.5261	9.5910	2.2567	5.2186	0.4231	0.1410	1.1283	0	0.8463	1.5515	0	0.5642	2.9619	0	0.2821	0.1410	0	1.9746	0	1.1283	0	0	0.1410	0	0	0.7052	0.2821	0	0	0	0.5642	0.4231	0.4231	0.1410
Dogo_News_10059897_cities-worldwide-kick-off-2019-with-dazzling-fireworks-shows.txt	491	5.0407	0.567500	0	0.4073	1.6293	6.9246	0.4073	0.4073	4.2770	0	0	0.6110	0	0.6110	6.7210	0	0	0.6110	0.8147	0	0	10.7943	0.2037	0.8147	0	0.2037	0	0.2037	0	1.2220	0	9.1650	0	0	30.1426	2.4440	0	0	0.6110	9.9796	0.8147	0.2037	0	1.4257	0.8147	0.4073	0	0	0.6110	0	3.4623	0.2037	0	0	0	0	0.2037	0.2037	2.0367	0.2037	0	0.6110	0	2.6477	4.0733	1.0183	2.0367	3.8697	0.8147	0	0	0.4073	1.8330	0	0	0.6110	0	0	0	0.2037	1.2220	0	0.4073	0.8147	0.2037	0	0	0	0	0	0	0	0	0	0.4073	0.2037	1.6293
WhyFiles_10062907_177ant_traps.txt	672	4.6935	0.565000	0	0	0.2976	5.3571	0.1488	0.1488	5.0595	0.5952	0.1488	0.1488	0.2976	1.0417	0.4464	0	0.1488	0	1.3393	0.2976	0.1488	11.9048	0.1488	0.7440	0	0.4464	0.5952	0.5952	0	1.7857	0	5.6548	0	0	29.1667	0.5952	0.2976	0	1.3393	9.9702	0.7440	0.4464	0.7440	0.2976	0.4464	0.1488	0	0	1.0417	0	2.5298	0.4464	0	0	0.2976	0	0.2976	0.1488	2.6786	0.1488	3.4226	0.2976	0	4.6131	1.1905	1.9345	2.9762	6.9940	0.2976	0.1488	0	0.7440	1.1905	0.1488	0.4464	0.8929	0.1488	0.5952	0.1488	0.7440	1.1905	0	0.1488	0	0	0.2976	0.1488	0.2976	0.1488	0.1488	0.1488	0	0	0	0.4464	0	0.2976
Revision_World_GCSE_10526712_other-forms-or-private-sector-organisation.txt	864	5.5093	0.560000	0	0	0.3472	5.0926	2.0833	2.0833	4.7454	2.4306	0.1157	0.1157	0	1.5046	2.0833	0.1157	0	0.3472	0.5787	0.1157	0	11.2269	0.4630	0.2315	0.3472	0.3472	0	1.7361	0	0.6944	0	7.5231	0	0	30.9028	5.3241	0.1157	0	2.6620	10.1852	0.8102	0	0.3472	1.6204	0.3472	0.3472	0	0	1.1574	0.1157	1.5046	0	0	0	0	0	0.2315	0.3472	1.8519	0	1.2731	0	0	2.4306	0.8102	2.5463	1.8519	6.2500	0.1157	0.5787	0	0.3472	1.5046	0.1157	0	0.6944	0	0.2315	0.1157	0.5787	0.5787	0	0.3472	0.1157	0	0.2315	0	0	0.6944	0	0	0	0	0.2315	0.2315	0.1157	0.5787
Quatr_us_10393109_euclid.txt	617	4.4425	0.547500	0	0	0	6.4830	2.4311	2.4311	4.8622	0.4862	0.4862	1.4587	0.1621	0.4862	2.9173	0.3241	0	0.1621	0.1621	0.1621	0	8.5900	0.3241	0.3241	0.1621	1.4587	0.1621	0.4862	0	3.4036	0.3241	6.3209	0	0	27.7147	1.9449	0.3241	0	0.1621	10.5348	1.4587	0.3241	0.8104	1.1345	0.8104	0.3241	0	0	1.1345	0.1621	3.8898	0.8104	0.3241	0.3241	0.1621	0.1621	0.8104	0.8104	1.2966	0	2.1070	0	0	2.9173	4.8622	1.1345	0.8104	4.3760	0.3241	0.4862	0	0.6483	3.2415	0	0.6483	0.3241	0	0.1621	0	0	2.7553	0.1621	0.4862	0	0	0	0	0	0.1621	0.1621	0.3241	0	0	0.3241	0	0	0
Encyclopedia_Kinds_au_10085372_Compiler.txt	742	5.4191	0.452500	0	0	0.4043	3.7736	1.8868	1.8868	4.5822	1.3477	0	0.2695	0.1348	2.8302	1.3477	0	0.1348	0.5391	0.9434	0.9434	0	11.1860	0.5391	0.4043	0.1348	0	0	0.8086	0	1.2129	0	7.8167	0	0	28.9757	2.9650	0.2695	0	0.8086	9.2992	0.9434	0.1348	0.9434	0.1348	0.5391	0	0	0	1.2129	0.4043	3.2345	0.1348	0	0	0	0	0	0	1.7520	0	0.2695	0.5391	0	3.7736	0.5391	0.8086	5.1213	6.1995	1.0782	0	0	0.4043	1.2129	0.1348	0	2.8302	0	0.1348	0	0	1.6173	0.2695	0.4043	0.2695	0	0.8086	0	0	0.5391	0	0.2695	0.1348	0	0	0.6739	0.2695	0.4043
Science_Tech_Kinds_NZ_10386369_senses.txt	638	4.7727	0.495000	0	0	0.1567	5.6426	0.1567	0.1567	5.6426	0.4702	0.4702	0	0	2.5078	1.7241	0	0	0.6270	0.4702	0	0	7.0533	0.1567	0.1567	0.6270	1.0972	0	0.7837	0	1.0972	0	9.7179	0	0	29.7806	2.3511	0.4702	0	2.3511	10.5016	0.6270	0.6270	1.5674	0.1567	0.3135	0.1567	0	0	1.0972	0.3135	2.1944	0.1567	1.2539	0	0	0	0.3135	0	0.7837	0.1567	1.2539	0.7837	0	3.2915	0.3135	0.7837	2.5078	7.9937	0.6270	0.3135	0	0.1567	1.7241	0.3135	0.1567	1.0972	0.1567	0	0.1567	0	2.3511	0	0.3135	0.3135	0.1567	0.6270	0	0.1567	0.4702	0.3135	0	0	0	0.1567	0.4702	0	0.1567
Ducksters_10398467_roman_literaturephp.txt	629	4.7647	0.467500	0	0	0.1590	3.4976	1.1129	1.1129	7.3132	0.4769	0.1590	0.9539	0.1590	1.1129	1.5898	0	0	0	0.9539	0	0	9.6979	0	1.7488	0	0	0	0.7949	0	0.6359	0	6.9952	0	0.1590	34.3402	1.5898	0	0	1.1129	12.2417	1.2719	0.1590	0	0.1590	0.3180	0	0	0	1.5898	0.1590	1.9078	0.1590	0.1590	0	0	0	0.3180	0.4769	0.3180	0.1590	2.3847	0.1590	0	0.9539	7.1542	1.4308	2.7027	2.8617	0.3180	0.4769	0	0	1.1129	0.3180	0.1590	1.2719	0.1590	0	0	0	0.4769	0.1590	2.8617	0.1590	0	0.3180	0	0.1590	0.3180	0.1590	0	0	0	0.3180	0.4769	0.3180	0.1590
Revision_World_GCSE_10528396_pearl-harbor.txt	806	5.0806	0.607500	0	0	0.1241	0.8685	0.1241	0.1241	0	0.7444	0	0	0.1241	2.8536	1.1166	0	0.2481	0	0.3722	0.1241	0	2.2333	0.3722	0.6203	0	1.6129	0	0.2481	0	1.1166	0.2481	7.8164	0	0.1241	34.7395	2.6055	0.1241	0	1.9851	11.5385	1.1166	0.2481	0.3722	1.1166	0.2481	0.8685	0	0	0.8685	0	2.2333	0.1241	0	0	0.4963	0	0.1241	0.4963	2.8536	0	2.8536	0	0	4.9628	7.0720	0.8685	3.1017	0.2481	0	0.1241	0	0.4963	0.7444	0	0.3722	0.6203	0	0.4963	0	0.1241	1.2407	0.3722	1.4888	0	0.1241	0	0	0	0.8685	0.8685	0.1241	0	0	0	0.2481	0.2481	0.2481
World_Dteen_10406055_worldteen-pieinthesky.txt	434	4.7834	0.670000	0	0.2304	0	4.1475	0.6912	0.6912	8.5253	1.1521	0	1.1521	0.2304	0.9217	3.9171	0	0.6912	0	0.9217	0.2304	0	8.9862	0.2304	2.7650	0	0	0	0.4608	0	1.3825	0	6.6820	0	0	29.0323	1.8433	0.2304	0	0.6912	8.0645	1.8433	0.6912	0.9217	1.1521	0.4608	0	0	0	0.6912	0	3.9171	0	1.1521	0	0.2304	0	0.2304	0.2304	0.9217	0	0.9217	0	0	5.2995	3.9171	1.8433	1.6129	5.7604	0.2304	0.2304	0	0.4608	1.8433	0	1.1521	0.2304	0	1.3825	0	0	1.1521	0.2304	0	0.2304	0	0.2304	0	0.2304	0	0.2304	0	0	0	0	0	0.2304	0
