Filename	Level	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NNP	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	PRPS	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``
NB_2_Informative_0009.txt	E	578	4.8754	0.552500	0	0	0.1730	3.8062	0.8651	0.8651	5.8824	0.8651	0.3460	0.6920	0	2.9412	0.8651	0	0	0	0.1730	0	0	10.0346	0.1730	0.8651	0	0	0.3460	1.2111	0	3.2872	0	6.7474	0	0	30.4498	0	5.1903	0.1730	0.1730	1.0381	9.8616	1.3841	0.3460	0.1730	0.1730	0.3460	0	0	0	0.8651	0	3.1142	0.3460	0	0.5190	0	0	0	0.3460	1.3841	0	1.0381	0	0	1.2111	0.6920	1.3841	4.1522	6.5744	1.0381	0.5190	0	0	1.5571	0.3460	0	1.0381	0.1730	0.5190	0.3460	0.5190	0.6920	0	0.1730	0.3460	0	0.3460	0	0	0	0.1730	0	0	0	0.6920	0.3460	0.1730	0.1730
NB_2_Instructional_0001.txt	E	728	4.6003	0.512500	0	0	0	2.7473	0.5495	0.6868	10.9890	5.3571	0	0.2747	0	2.3352	0.6868	0	0	0	0.4121	0.1374	0	11.2637	0	0.4121	0	0	0.1374	0.4121	0	1.9231	0	3.9835	0	0	30.2198	0	2.7473	0	0	0.4121	8.3791	0.8242	0.4121	0.1374	1.0989	0	1.6484	0	0	0.9615	0	2.8846	0.1374	5.4945	0.1374	0	0	0.1374	0.2747	2.4725	0	1.6484	0	0	10.9890	0.9615	0.9615	0.4121	3.9835	0.6868	1.0989	0	0	0.6868	0	0	0.1374	0	0	0	0.1374	2.7473	0.1374	1.3736	0	0	0	0	0.2747	1.6484	0	0.6868	0.2747	0	0	0.2747	0.2747	0.1374
NB_2_Instructional_0002.txt	E	779	4.4955	0.477500	0	0.1284	0.2567	2.5674	1.6688	1.4121	11.0398	2.1823	0	0.6418	0	1.5404	0.7702	0	0.2567	0	0.2567	0	0.1284	9.8845	0	0.3851	0	0.2567	0.2567	0.7702	0	1.7972	0	3.4660	0	0	28.4981	0	2.6958	0	0	0.6418	8.2157	0.5135	1.4121	0.5135	0.6418	0.5135	1.4121	0	0	0.3851	0	3.3376	0.2567	5.9050	0	0	0	0	0.1284	2.5674	0.1284	1.2837	0	0.1284	11.5533	1.1553	1.2837	1.0270	3.5944	0.3851	1.1553	0	0.7702	1.1553	0	0	0.2567	0	0.7702	0	0	3.2092	0.2567	0.8986	0	0	0.1284	0	0	0.8986	0.2567	1.2837	0	0	0.1284	0.1284	0.3851	0.5135
NB_2_Instructional_0003.txt	E	801	4.5593	0.510000	0	0	0	2.7466	0.8739	0.6242	9.6130	1.6230	0	0	0	1.7478	1.2484	0	0.1248	0	0.6242	0.1248	0.1248	10.9863	0	0.3745	0	0.2497	0	0.3745	0	2.1223	0	3.6205	0	0	29.2135	0	2.6217	0	0	0.7491	8.4894	0.2497	0	0.3745	0.7491	0.3745	1.2484	0	0	1.6230	0	2.2472	0.1248	6.4919	0	0.1248	0	0	0.3745	2.1223	0.1248	2.4969	0	0	9.7378	1.6230	1.1236	0.6242	3.8702	0.7491	1.3733	0	0.1248	0.9988	0	0	0.3745	0	0.2497	0	0.2497	2.2472	0.2497	1.4981	0	0	0	0	0	0.8739	0	0.7491	0	0	0.3745	0	0.2497	0
NB_2_Instructional_0004.txt	E	791	4.5449	0.467500	0	0	0.3793	1.6435	0.5057	0.5057	8.4703	2.4020	0	0.6321	0	2.0228	1.0114	0	0.1264	0	0.8850	0	0	13.1479	0	0.2528	0	0	0.1264	0.8850	0	1.5171	0	3.5398	0	0	27.3072	0	2.4020	0	0	0.2528	8.9760	0.6321	0	0.2528	0.6321	0	0.5057	0	0.1264	0.7585	0.1264	3.4134	0.6321	4.9305	0	0	0	0	0.1264	1.3906	0	1.6435	0.1264	0	9.2288	1.6435	2.2756	0.6321	5.4362	0.6321	2.2756	0	0.1264	0.6321	0	0	0.2528	0	0.1264	0	0.1264	3.1606	0	2.1492	0	0	0	0	0.1264	0.3793	0	0.8850	0.1264	0.2528	0.3793	0.1264	0.7585	0.1264
NB_2_Instructional_0005.txt	E	778	4.6684	0.482500	0	0	0.1285	1.5424	0.8997	0.7712	10.6684	1.2853	0	0	0	1.4139	0.5141	0	0.1285	0	0.5141	0.1285	0.1285	10.5398	0	0.3856	0.2571	0.5141	0	0.5141	0	1.4139	0	6.9409	0.1285	0.2571	29.1774	0	1.7995	0	0	0.8997	7.9692	0.2571	0	0.3856	0.3856	0.2571	1.4139	0	0	0.3856	0.2571	2.3136	0.7712	6.1697	0.1285	0	0	0.2571	0	2.0566	0	1.1568	0	0	10.0257	0.5141	1.7995	0.5141	5.2699	0.8997	1.4139	0	0.1285	1.9280	0	0.1285	0.1285	0	0.3856	0	0.1285	2.0566	0.1285	2.0566	0	0	0	0	0.1285	0.6427	0	0.3856	0.1285	0	0	0	0.7712	0.1285
NB_2_Instructional_0006.txt	E	778	4.5000	0.412500	0	0	0.2571	2.4422	1.2853	1.2853	9.7686	1.9280	0	0	0.1285	2.1851	0.7712	0	0	0.1285	0.3856	0.1285	0.1285	9.7686	0.1285	0.1285	0	0.1285	0.3856	0.2571	0	0.8997	0	5.6555	0	0.1285	24.0360	0	4.2416	0	0	0.2571	7.8406	2.1851	0.1285	0.6427	0.5141	0.2571	0.1285	0	0	0.8997	0.2571	2.9563	0.1285	7.4550	0	0	0.1285	0.1285	0	2.8278	0.1285	1.1568	0.1285	0	9.2545	0.7712	1.0283	1.2853	7.4550	0.6427	1.5424	0	0.6427	1.6710	0.1285	0.3856	0.2571	0	0.6427	0	0.1285	2.9563	0	1.5424	0	0	0.3856	0	0.1285	0.8997	0	0.6427	0	0	0.1285	0.1285	0.5141	0.2571
NB_2_Instructional_0007.txt	E	812	4.3768	0.475000	0	0	0.6158	1.9704	0.3695	0.3695	10.7143	1.8473	0.1232	0.1232	0	1.3547	0.4926	0	0.3695	0	0.6158	0	0.1232	11.6995	0	0.1232	0	0	0.1232	0.7389	0	1.4778	0	3.5714	0	0.2463	26.9704	0	1.3547	0.1232	0	0.3695	7.3892	0.4926	0.1232	0.4926	0.8621	0.4926	0.6158	0	0	0.3695	0	2.8325	0.2463	6.0345	0.1232	0	0	0.2463	0.3695	2.9557	0	0.9852	0	0	10.4680	0.9852	1.3547	1.3547	7.6355	0.8621	2.8325	0	0.4926	1.7241	0.1232	0.1232	0.4926	0	0.3695	0.1232	0	3.4483	0.8621	1.3547	0	0	0.1232	0	0.1232	0.8621	0.2463	0.8621	0	0	0.2463	0.1232	0.4926	0.4926
NB_2_Instructional_0008.txt	E	807	4.5551	0.502500	0	0	0.3717	1.9827	0.7435	0.9913	9.9133	1.8587	0	0	0.1239	1.7348	0.7435	0	0.3717	0.1239	0.7435	0	0	10.7807	0	0.3717	0.2478	0.1239	0.2478	0.6196	0	2.3544	0	4.4610	0	0	29.3680	0	2.4783	0.1239	0	0.8674	6.5675	0.7435	0.1239	0.2478	0.9913	0.3717	1.3631	0	0	0.7435	0	3.3457	0	6.0719	0	0	0	0	0	2.2305	0	0.9913	0	0	10.4089	1.2392	1.3631	1.1152	4.4610	0.4957	1.6109	0	0.6196	0.8674	0	0.3717	0.2478	0	0.6196	0.1239	0.1239	2.8501	0.3717	1.7348	0	0	0.3717	0	0	0.9913	0.1239	0.7435	0	0	0	0.1239	0.4957	0.3717
NB_2_Instructional_0009.txt	E	804	4.4366	0.510000	0	0.1244	0.1244	0.9950	0.7463	0.7463	8.9552	1.1194	0.2488	0	0	2.8607	0.6219	0	0.1244	0	0.6219	0	0.1244	10.0746	0	0.4975	0	0.3731	0.3731	0.3731	0	1.8657	0	3.7313	0	0	28.6070	0	3.9801	0	0	0.4975	9.5771	0.3731	0.1244	0.3731	1.2438	0.1244	0.4975	0	0	0.2488	0	2.1144	0.1244	6.2189	0	0.1244	0	0.4975	0	1.6169	0	1.3682	0	0	8.4577	0	2.3632	0.8706	6.8408	0.6219	1.6169	0	0.4975	1.8657	0	0.3731	0.3731	0	0.3731	0.1244	0.1244	2.2388	0	1.1194	0	0	0	0	0.1244	0.4975	0.1244	0.2488	0.1244	0	0	0	0.4975	0.1244
