Filename	AMP	ANDC	AWL	CAUS	CONC	COND	CONJ	DEMO	DEMP	DPAR	DWNT	EMPH	EX	FPP1	GER	HDG	INPR	JJ	NEMD	NN	NOMZ	OSUB	PHC	PIN	PIT	PLACE	POMD	PRED	PRMD	RB	SPP2	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	TTR	VBD	VPRT	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	Underused	Overused
Quatr_us_10390751_evolution-cells-biologyhtm.txt	-1.0385	4.1054	-0.0889	0.2429	-0.6250	-1.1364	1.1412	3.7664	-0.3279	0.1361	-0.3044	5.7040	2.1394	-0.9262	-1.8421	-0.4615	-0.7000	-0.0903	-1.0000	0.6242	0.5091	3.2173	3.2233	-0.8363	-0.3854	3.9826	0.0717	1.6835	-0.9731	0.6566	-0.7174	-1.0625	2.0217	-1.1379	1.9723	3.2827	0.6482	-0.9255	8.9550	-2.5192	0.2734	-1.0303	0.0946	-1.0680	-0.6154	-0.3191	-1.4545	-0.2500	-0.7810	-0.6364	-0.5882	-1.7308	-0.8571	-1.4259	-0.2500	0.7130	-1.5948	0.0000	-0.1804	0.0406	-0.7561	-0.6000	-0.8235	-0.3333	-1.0500	-0.8065	-0.0483	TTR	ANDC DEMO EMPH EX OSUB PHC PLACE THAC TO TSUB
Quatr_us_file10390858_sweet-potatoes-history-central-americahtm.txt	0.5608	2.9606	0.1897	3.0218	-0.6250	-1.1364	0.5494	-0.8721	-0.0921	-0.5217	-1.2500	2.9550	-1.2222	-0.9625	-1.2950	-0.4615	-0.7000	1.7476	-1.0000	3.8648	-1.3819	0.9809	2.5907	-0.2579	-1.1579	-0.3003	-1.6571	1.3908	-0.8383	-0.8923	-0.1148	-1.0625	2.9650	-1.1379	-0.8917	-0.0620	-0.7273	0.5191	2.0987	-2.0385	0.8010	-1.1743	-1.0526	-0.1340	-0.6154	-0.3905	-1.1395	-0.2500	-0.4544	-0.6364	-0.5882	-1.1311	-0.8571	-1.4259	15.3425	-0.8000	-2.2000	0.0000	2.3393	-0.9355	-0.7561	-0.6000	-0.8235	3.1317	-1.0500	-0.8065	0.2661	TTR [SPAU]	ANDC CAUS EMPH NN PHC THAC TSUB [SERE] [STPR] [WHQU]
Factmonster_10052815_april-29.txt	0.8019	2.0529	2.2249	-0.6471	2.3650	-1.1364	2.2406	-2.3571	-0.9583	-0.5217	1.7406	-1.5000	-1.2222	-1.0421	0.6761	-0.4615	-0.7000	1.4796	-1.0000	4.2035	0.4456	3.4409	2.2848	0.4531	-0.7768	-0.2082	-1.6571	-0.8877	-1.3333	-2.7758	-0.7174	-1.0625	-0.5000	-1.1379	-0.8023	-0.5246	-0.7273	1.0103	2.4900	2.0481	1.4353	-2.2653	-0.6090	-2.4753	-0.6154	-0.7258	-0.0047	11.7125	-0.2737	-0.6364	0.8188	-1.2707	-0.8571	-0.9830	17.6925	-0.8000	-1.2432	0.0000	0.1452	-0.9355	-0.7561	-0.6000	-0.8235	-0.3333	-1.0500	-0.0348	0.4400	DEMO RB VPRT [BEMA]	ANDC AWL CONC CONJ NN OSUB PHC TSUB TTR [PASTP] [SERE]
TeenVogue_10406271_tweeted-support-ilhan-omar-istandwithilhan-israel-islamophobia.txt	-1.0385	0.7204	1.7076	-0.6471	-0.6250	-1.1364	0.9081	-0.4624	0.1469	-0.5217	-1.2500	-0.2369	-1.2222	-0.7372	-0.7950	-0.4615	-0.7000	-0.2658	-0.3686	4.3924	0.6443	1.5027	1.6881	0.5578	-0.3299	-0.9118	-1.2783	0.7427	-1.0176	-2.2955	-0.6213	-1.0625	-0.5000	0.2341	-0.7277	1.8391	0.4782	-0.5036	7.7887	1.1346	-0.7519	-0.5640	-0.3064	-1.5828	0.4046	-0.3693	0.1530	3.0650	0.3865	-0.6364	0.1918	-0.9656	-0.8571	1.2757	3.0650	1.8530	1.5136	0.0000	-0.7407	0.3481	0.5378	-0.6000	-0.8235	1.8767	-1.0500	-0.8065	2.7950	RB	NN TSUB [PASTP] [SERE] [WZPRES]
Revision_World_GCSE_10526703_limited-companies.txt	-1.0385	1.9383	1.9555	0.2553	-0.6250	-0.4391	1.1669	-1.2617	-0.9583	-0.5217	-1.2500	-0.4045	-0.3700	-1.0421	-0.2276	-0.4615	-0.7000	1.4214	1.1910	3.2878	1.6003	-0.9091	5.5574	0.2387	1.7896	-0.4606	2.7249	-0.6281	-1.3333	-3.0301	-0.7174	-1.0625	-0.5000	-1.1379	-0.6094	0.0780	2.0609	-1.0562	1.4175	-0.1635	-1.0668	-0.7003	-0.1362	-2.0103	-0.6154	-0.7258	1.1017	3.5850	-1.3588	0.7582	1.2159	-0.8460	-0.8571	-0.5739	3.5850	-0.8000	-1.5864	0.0000	-0.7407	-0.4406	-0.3820	-0.6000	-0.8235	-0.3333	-0.2830	0.1829	1.6672	RB [BEMA]	NN PHC POMD TOBJ [PASTP] [SERE]
History_kids_10381360_apartheid.txt	-1.0385	-0.2760	0.8849	-0.6471	-0.6250	-1.1364	-0.7500	-1.2233	-0.6277	-0.5217	-1.2500	-1.1221	-0.3406	-1.0421	-1.8421	-0.4615	-0.7000	0.0641	-1.0000	2.1975	1.9249	1.9773	2.2681	0.7740	-0.5565	-0.4450	-0.7500	-0.5865	-0.9555	-2.9156	-0.7174	-1.0625	-0.5000	-1.1379	-1.4857	1.8745	0.7155	0.1526	11.4050	-0.5481	1.9182	-2.1727	-1.1333	-1.8094	1.8269	-0.7258	1.9124	-0.2500	-1.3487	-0.6364	-0.5882	-1.2729	-0.8571	-0.8380	7.6875	0.7870	-1.5652	0.0000	-0.7407	0.0887	-0.7561	-0.6000	-0.8235	-0.3333	0.5375	-0.2945	-0.8889	RB VPRT	NN PHC TSUB [SERE]
TweenTribute_10051480_scientists-spot-rare-whale-bering-sea.txt	-1.0385	-0.2090	1.0358	-0.6471	-0.6250	-1.1364	1.4356	-1.1083	-0.9583	-0.5217	0.9356	-1.0838	-1.2222	-0.9082	1.3784	-0.4615	-0.7000	0.8629	-1.0000	4.4568	-0.7749	-0.9091	3.2733	-0.3583	-0.2196	1.6591	-1.1577	-0.4627	-1.3333	-2.4360	-0.7174	-1.0625	-0.5000	-1.1379	-1.4857	-0.7875	0.8618	-0.5519	1.6850	0.3654	0.5787	-1.0930	-0.8202	-1.6907	0.7292	-0.5378	0.1348	-0.2500	-1.3177	-0.6364	1.4688	-0.0497	-0.8571	2.4591	-0.2500	-0.8000	-1.5008	0.0000	-0.7407	-0.3716	-0.7561	4.6450	-0.8235	-0.3333	0.6985	0.8855	1.0539	RB	NN PHC [PUBV] [WHCL]
Revision_World_GCSE_10529676_six-million-and-counting-–-chinese-census-timebomb.txt	-1.0385	0.6231	0.4947	0.0871	4.0563	-0.0014	-0.7500	-0.5736	0.8623	-0.5217	0.3106	-0.0138	0.8583	-1.0421	0.7863	-0.4615	-0.7000	0.4236	-1.0000	1.6279	0.2653	1.3609	3.3644	-0.8115	0.6593	-0.9118	-0.2303	3.4742	0.1529	-2.6632	-0.5364	0.4981	1.5800	0.1534	-0.0589	1.1291	-0.7273	-0.2747	-0.5000	1.3750	-1.0316	0.1733	-0.9841	-0.8763	-0.6154	-0.4573	2.1394	2.8700	2.1875	0.4982	0.1459	-0.5304	-0.8571	-0.7324	2.8700	-0.8000	-0.7020	0.0000	-0.7407	-0.5329	-0.4517	-0.6000	-0.8235	-0.3333	-0.4260	0.4016	-0.1956	RB	CONC PHC PRED [PASS] [PASTP] [PEAS] [SERE]
Ducksters_10398096_roaring_twentiesphp.txt	-0.4088	1.4494	0.3621	-0.6471	-0.6250	-1.1364	0.2731	-0.7983	-0.9583	-0.5217	-1.2500	-0.7207	-0.3128	-0.8540	1.1729	-0.4615	-0.7000	0.5147	-1.0000	4.2165	-0.2453	-0.9091	-0.6530	0.2245	-0.2982	0.0509	-1.1894	0.7104	-0.5540	-2.5184	-0.5988	-0.0394	-0.5000	-0.5734	-1.0180	-0.0304	-0.7273	-1.1834	-0.5000	-0.9327	1.4266	-1.8359	-1.1251	-1.0839	0.6438	-0.6378	-0.2147	-0.2500	-0.7096	-0.6364	-0.5882	-0.9439	-0.3894	-1.1228	3.8425	0.8370	-0.2360	0.0000	-0.7407	1.1765	-0.3568	-0.6000	-0.8235	-0.3333	-0.2315	-0.8065	0.0206	RB	NN [SERE]
Dogo_News_10059709_fortnite-battle-royale-becomes-the-undisputed-king-of-games.txt	-0.4458	0.6675	0.7762	-0.6471	1.3012	-0.4359	1.1762	-0.8898	-0.3163	-0.5217	1.6387	1.4350	-1.2222	-0.9831	-1.4366	-0.4615	-0.7000	1.8528	-1.0000	2.6772	-0.6329	0.4918	1.0233	-0.5287	0.2855	-0.4585	-0.3366	-0.0300	0.5010	-1.1884	-0.1591	-1.0625	-0.5000	-0.6066	-1.0454	2.5671	-0.7273	-0.9865	1.4262	1.2308	-0.8629	-0.7380	-0.8882	-1.3571	-0.6154	-0.5601	-0.7542	3.6025	-1.0612	2.1655	2.1306	-0.6937	0.0234	0.2861	3.6025	-0.8000	-1.5836	0.0000	-0.1700	1.0526	-0.3802	2.4820	0.0829	-0.3333	-1.0500	-0.3094	0.8233		NN TO [PASTP] [PIRE] [PRESP] [SERE] [WHCL]
