Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
Dogo_News_10062042_even-james-bond-would-approve-of-aston-martins-new-luxury-submarine.txt	-11.8400	-0.0620	5.3271	1.1481	3.2041	-1.2698	General narrative exposition
Dogo_News_10059543_fun.txt	-21.8527	-1.6080	3.5901	-2.1809	-2.2909	-0.3169	Learned exposition
Revision_World_GCSE_10528697_p6-physics-radioactive-materials.txt	-10.0735	-6.2273	12.9796	-5.3611	1.1152	5.5712	Learned exposition
Science_for_students_10065336_food-smells-better-sleepyheads.txt	-13.3220	-1.7921	6.1197	-3.6962	2.7670	-0.2898	Learned exposition
TweenTribute_10051486_muppet-autism-joining-sesame-street.txt	-10.1573	1.1785	4.7209	-4.7962	-0.4609	-0.8289	General narrative exposition
Revision_World_GCSE_10525835_helpful-hints-parents.txt	4.8534	-0.0637	3.4879	8.9274	1.8384	-0.9396	Involved persuasion
Encyclopedia_Kinds_au_10084769_Language.txt	-7.3498	-3.0857	5.3295	-2.7302	2.1870	-0.8245	General narrative exposition
Encyclopedia_Kinds_au_10086542_Dialogue.txt	-14.2232	-2.9733	6.4229	-2.1105	4.4687	-0.1059	Scientific exposition
Revision_World_GCSE_10528376_lord-liverpool-tories-1815–30.txt	-16.8132	-0.8403	5.5282	-3.2813	4.3279	-1.2272	Learned exposition
Science_for_students_10067253_940.txt	1.2309	-1.9869	2.8481	-1.7443	-0.2793	0.6140	Involved persuasion
Science_for_students_10065533_how-popcorn-got-its-pop.txt	-10.0625	-2.5321	1.4277	-2.8396	0.4990	-1.2250	General narrative exposition
Science_for_students_10065750_robot-can-wash-skyscrapers-windows.txt	-15.3406	-3.5598	3.4080	-3.1308	3.2312	-1.2619	Learned exposition
Science_Tech_Kinds_NZ_10382383_math.txt	-15.0568	-6.8624	5.5967	-7.1257	-1.7452	0.7854	Learned exposition
World_Dteen_10406270_4768.txt	-18.2847	-2.6241	2.2490	-7.2409	-2.9942	-1.2181	Learned exposition
Science_Tech_Kinds_NZ_10384320_silicon.txt	-3.6147	-6.2752	5.9991	-6.8202	3.5510	-2.9762	General narrative exposition
Encyclopedia_Kinds_au_10087093_Europe.txt	-14.8375	-5.8488	0.3035	-3.6936	-0.4086	-1.8412	Learned exposition
Science_Tech_Kinds_NZ_10386562_winterolympics.txt	-19.2848	1.9944	4.3507	-6.9377	-3.0056	-3.0160	Learned exposition
Teen_Kids_News_10402019_how-to-pursue-your-artistic-passion-on-the-side.txt	10.6603	-4.4899	0.9902	7.0968	-1.0982	-2.0539	Involved persuasion
Revision_World_GCSE_10528158_plot-overview-and-summary.txt	-13.7749	0.0996	4.2691	4.2326	-0.9738	1.8479	General narrative exposition
TeenVogue_10405818_already-sick-election-cycle-we-cant-be.txt	4.5888	1.2133	-0.7361	7.6271	-2.7902	-1.6401	Involved persuasion
Ducksters_10399414_penguinsphp.txt	-6.3432	-5.2025	1.6213	-5.8757	0.0291	-0.9584	General narrative exposition
Science_Tech_Kinds_NZ_10386390_coconuts.txt	-11.1196	-4.7559	5.7915	-3.5239	2.3397	-3.0743	Scientific exposition
History_Kids_BBC_10401782_windrush_01s.txt	-13.2983	-0.9444	7.3087	0.3283	-0.7620	-2.1941	Learned exposition
History_kids_10381273_famous-kings-of-mesopotamia.txt	-19.2176	-2.0709	4.1618	-2.6756	-1.0423	-1.8989	Learned exposition
History_kids_10381383_nelson-mandela.txt	-19.1115	-0.8442	7.2223	1.1575	2.0492	-2.2143	Learned exposition
Science_for_students_10064820_scientists-say-metabolism.txt	-13.1724	-4.2209	6.6042	-4.5522	4.5712	-1.5516	Scientific exposition
World_Dteen_10406081_5121.txt	-13.2909	-3.1488	0.6117	-3.3797	5.9347	-1.9860	Scientific exposition
Teen_Kids_News_10403469_how-many-paintings-did-van-gogh-sell-in-his-lifetime.txt	-12.6707	1.0586	3.0459	-6.8813	-0.0472	-0.2109	General narrative exposition
Encyclopedia_Kinds_au_10088911_The_Silmarillion.txt	-13.2645	-1.5177	1.4364	-5.5978	5.7716	1.3279	Scientific exposition
WhyFiles_10063403.txt	-17.1853	-0.0627	3.0466	-2.0603	3.0100	-0.1103	Learned exposition
Encyclopedia_Kinds_au_10086522_Trademark.txt	-12.7264	-4.7277	7.8460	2.0491	6.3545	-1.0950	Scientific exposition
World_Dteen_10406050_teachers.txt	-12.0543	-2.2523	6.8056	1.9701	-0.5250	-0.6050	General narrative exposition
Ducksters_10398287_babylonian_empirephp.txt	-14.6093	-2.5148	0.7457	-3.4453	-0.7001	-1.6041	General narrative exposition
Dogo_News_10059804_disney-celebrates-90-years-of-mickey-mouse-with-stunning-art-exhibition.txt	-23.3075	-6.1449	5.2241	-3.1118	3.3108	-3.0705	Learned exposition
Factmonster_10053734_march-20.txt	-20.9050	-1.0502	6.2762	-7.0535	-0.4662	-0.5677	Learned exposition
TeenVogue_10405808_nancy-pelosi-donald-trump-impeachment-too-divisive-not-worth-it.txt	6.2703	2.3584	5.2360	3.6913	-2.1224	1.3058	Involved persuasion
TweenTribute_10051507_national-book-award-winners-announced.txt	-8.9335	-0.7057	6.4809	-2.9725	-2.3796	0.5734	General narrative exposition
TeenVogue_10406264_flint-teens-describe-growing-up-without-clean-water.txt	-3.9243	4.0128	1.5187	6.0852	1.7811	0.3653	General narrative exposition
Factmonster_10053214_january-26.txt	-25.1918	-1.9637	1.0272	-3.8022	-0.2946	-3.4950	Learned exposition
Revision_World_GCSE_10528056_synoptic-assessment.txt	-3.8560	-4.6376	13.1181	8.5410	7.3346	0.5317	Involved persuasion
Factmonster_10053763_february-27.txt	-26.8626	-3.5837	3.6376	-6.8616	-0.5697	-2.9100	Learned exposition
World_Dteen_10406262_5030.txt	-9.9819	-0.5506	4.7594	0.8045	-0.4464	-2.1722	General narrative exposition
Science_Tech_Kinds_NZ_10383973_hummingbird.txt	-11.1946	-2.7892	-2.3397	-2.3474	2.3527	-1.8753	General narrative exposition
Science_for_students_10067350_parents-math-anxiety-can-infect-kids.txt	-7.0814	-0.0591	8.1242	3.0095	0.9413	0.8921	General narrative exposition
Teen_Kids_News_10402030_how-to-live-with-migraines-dealing-with-them-in-college.txt	10.9046	-3.6405	2.4576	7.9943	0.1346	1.5512	Involved persuasion
Science_Tech_Kinds_NZ_10382388_recycling.txt	-10.0049	-6.8292	5.3724	-4.6403	0.3545	0.1033	General narrative exposition
Quatr_us_10393716_geometry.txt	-7.1809	-2.6477	2.3216	-3.5781	0.0471	-2.0765	General narrative exposition
World_Dteen_10406077_5119.txt	-27.3851	-1.1924	8.2269	-5.0305	0.5783	-2.6324	Learned exposition
Quatr_us_10391151_athens.txt	-13.5049	-1.1304	-2.1042	-5.5700	-0.8851	-1.1514	General narrative exposition
Quatr_us_file10390830_victorian-england-british-historyhtm.txt	-16.1653	-3.6635	2.4635	1.7419	-2.7920	-1.7760	Learned exposition
Quatr_us_10390826_germany-1800s-bismarckhtm.txt	-11.6051	-0.1116	4.0432	-1.7197	-0.4538	-2.4322	General narrative exposition
Ducksters_10398088_jazzphp.txt	-11.9159	-5.2725	5.5034	-4.9604	-2.6587	-1.9489	Learned exposition
Encyclopedia_Kinds_au_10086055_Neutron.txt	-9.8921	-2.6835	5.7595	-3.2586	4.0815	0.1658	Scientific exposition
History_kids_10381414_reconstruction-era.txt	-24.7756	-0.1462	9.7288	-3.5982	2.6144	-2.8048	Learned exposition
Science_Tech_Kinds_NZ_10383721_typesofrobots.txt	-8.9098	-5.7290	9.4289	-4.9451	0.5922	-3.1148	Scientific exposition
Factmonster_10053230_march-17.txt	-20.9510	-2.0343	2.9003	-0.4996	2.3363	-0.2047	Learned exposition
Factmonster_10053170_august-06.txt	-20.3461	-0.0528	3.4495	-7.3856	2.6898	-3.0484	Learned exposition
Ducksters_10398649_assassination_of_archduke_ferdinandphp.txt	-17.2370	0.7116	3.5597	-4.2195	1.8141	-1.2172	Learned exposition
Factmonster_10052992_december-09.txt	-18.5409	0.9250	6.3459	-6.1191	0.6698	-1.8021	Learned exposition
Encyclopedia_Kinds_au_10088364_Evolutionary_economics.txt	-18.9021	-3.6894	9.4007	-2.8089	4.5241	-2.0369	Learned exposition
Encyclopedia_Kinds_au_10084736_Mathematics.txt	-23.7107	-5.2366	10.0645	-5.8704	0.7162	-2.1708	Learned exposition
TeenVogue_10407776_should-teens-under-18-vote-experts-weigh-in.txt	-0.3644	-3.0829	3.6689	9.8480	-3.5653	-1.0146	Involved persuasion
History_Kids_BBC_10404574_go_furthers.txt	-20.5584	-6.6644	9.3825	-8.0714	-1.7951	-2.3005	Learned exposition
Revision_World_GCSE_10528162_introduction-overview.txt	-12.0391	2.4614	6.2961	-0.0351	2.9279	1.9160	General narrative exposition
History_Kids_BBC_10404337_go_furthers.txt	-23.1312	-6.7924	9.3222	-6.0851	-0.2049	-3.4950	Learned exposition
Science_for_students_10069422_shark-whos-your-daddy.txt	-16.4132	2.8777	3.3306	-4.4628	-0.5129	0.7522	Learned exposition
TeenVogue_10406204_6-things-barack-obama-beto-orourke-could-discuss-other-than-2020-election.txt	-4.7602	2.2144	4.2662	-1.3760	-1.5457	-0.8962	General narrative exposition
World_Dteen_10406058_worldteen-mudroom.txt	-11.0296	-3.8534	5.3039	-4.4274	-1.9558	-2.7474	General narrative exposition
Encyclopedia_Kinds_au_10086537_Telecommunication.txt	-11.2843	-5.6185	6.9499	-0.5400	0.7235	-2.0629	Learned exposition
Factmonster_10053148_march-30.txt	-24.6538	0.3562	5.6623	-5.7737	1.6752	-2.2462	Learned exposition
Factmonster_10052680_february-15.txt	-17.9125	1.7681	4.7757	-4.0079	6.8815	0.2317	Scientific exposition
TeenVogue_10406201_beto-orourke-best-dunks-ted-cruz-final-texas-senate-race-debate.txt	-7.0356	4.2404	3.4811	3.2061	0.2102	-2.4210	General narrative exposition
TeenVogue_10408527_ohio-girl-scouts-fought-to-put-a-tampon-locker-in-their-school-bathroom.txt	2.7421	3.4559	0.6556	2.0402	0.3846	-2.3250	Involved persuasion
Science_for_students_10069329_how-you-handle-your-smartphone-could-become-secure-id.txt	-8.6694	-2.3701	5.8832	-3.2783	0.8985	0.0411	General narrative exposition
Science_Tech_Kinds_NZ_10382391_sports.txt	-17.0823	-7.1605	12.4958	-6.9234	1.3349	-0.0877	Learned exposition
Quatr_us_file10390778_plate-tectonics-earthquakes-volcanoeshtm.txt	-11.7796	-2.4492	-2.4754	-0.6074	0.5189	-2.2081	General narrative exposition
Encyclopedia_Kinds_au_10086758_Safety_engineering.txt	-5.4640	-4.5453	7.6505	-0.3531	3.4053	-0.8305	General narrative exposition
Quatr_us_10391127_astronomy.txt	-11.1778	-0.7538	-2.2258	-7.2637	-1.8602	-3.1029	General narrative exposition
Dogo_News_10060944_are-tourists-exposing-antarctic-birds-to-human-diseases.txt	-8.3419	0.9100	4.7271	0.9732	11.7319	0.2176	Scientific exposition
WhyFiles_10062587.txt	-5.8514	-1.6030	2.6244	-2.6852	-0.3128	-1.1981	General narrative exposition
Factmonster_10052818_october-31.txt	-22.3943	-0.7275	4.3108	-4.4668	-0.3241	-3.4950	Learned exposition
World_Dteen_10406142_4911.txt	-13.6289	-2.7573	5.1307	-1.6246	-1.8562	-1.8976	Learned exposition
Quatr_us_10391100_area.txt	-1.4763	-5.7951	2.2385	-3.6922	-1.2799	-1.6500	Involved persuasion
Teen_Kids_News_10402607_so-you-want-to-be-an-archivist.txt	-3.9646	-3.3933	7.8589	1.8206	4.5010	-0.2086	Involved persuasion
Science_Tech_Kinds_NZ_10386397_mushrooms.txt	-10.1747	-5.7959	6.1641	-3.5068	7.3971	-0.7708	Scientific exposition
World_Dteen_10406274_5129.txt	-17.9499	-2.5455	8.4079	-3.5542	0.4763	-1.1634	Learned exposition
Science_for_students_10067659_bugs-call-your-house-home.txt	-14.4156	-1.7883	4.8152	-7.1354	0.5743	-1.9122	Learned exposition
