"lemma"	"semantic_domain_Biber"	"semantic_domain_Edwards"	"Edwards"	"agreement"
"433"	"dwindle"	NA	"occurrence"	"Edwards"	NA
"434"	"elect"	NA	"activity"	"Edwards"	NA
"435"	"employ"	NA	"activity"	"Edwards"	NA
"436"	"estimate"	NA	"mental"	"Edwards"	NA
"437"	"evaluate"	NA	"mental"	"Edwards"	NA
"438"	"evolve"	NA	"occurrence"	"Edwards"	NA
"439"	"exclaim"	NA	"communication"	"Edwards"	NA
"440"	"exert"	NA	"activity"	"Edwards"	NA
"441"	"exhibit"	NA	"existence_relationship"	"Edwards"	NA
"442"	"expand "	NA	"activity"	"Edwards"	NA
"443"	"fade"	NA	"occurrence"	"Edwards"	NA
"444"	"fake"	NA	"mental"	"Edwards"	NA
"445"	"fall "	NA	"occurrence"	"Edwards"	NA
"446"	"fall asleep"	NA	"occurrence"	"Edwards"	NA
"447"	"fall in love"	NA	"mental"	"Edwards"	NA
"448"	"flounder"	NA	"existence_relationship"	"Edwards"	NA
"449"	"flourish"	NA	"occurrence"	"Edwards"	NA
"450"	"fly"	NA	"activity"	"Edwards"	NA
"451"	"fold"	NA	"activity"	"Edwards"	NA
"452"	"fold"	NA	"activity"	"Edwards"	NA
"453"	"frighten"	NA	"mental"	"Edwards"	NA
"454"	"function"	NA	"existence_relationship"	"Edwards"	NA
"455"	"gain"	NA	"occurrence"	"Edwards"	NA
"456"	"gaze"	NA	"mental"	"Edwards"	NA
"457"	"get in touch w someone"	NA	"communication"	"Edwards"	NA
"458"	"get used"	NA	"mental"	"Edwards"	NA
"459"	"give cause for"	NA	"facilitation_causation"	"Edwards"	NA
"460"	"go crazy"	NA	"mental"	"Edwards"	NA
"461"	"go on"	NA	"occurrence"	"Edwards"	NA
"462"	"go on"	NA	"aspectual"	"Edwards"	NA
"463"	"go through"	NA	"mental"	"Edwards"	NA
"464"	"grumble"	NA	"communication"	"Edwards"	NA
"465"	"hang out with"	NA	"activity"	"Edwards"	NA
"466"	"have"	NA	"activity"	"Edwards"	NA
"467"	"have"	NA	"existence_relationship"	"Edwards"	NA
"468"	"have "	NA	"facilitation_causation"	"Edwards"	NA
"469"	"have to"	NA	"existence_relationship"	"Edwards"	NA
"470"	"hesitate"	NA	"mental"	"Edwards"	NA
"471"	"hide"	NA	"mental"	"Edwards"	NA
"472"	"illuminate"	NA	"occurrence"	"Edwards"	NA
"473"	"incite"	NA	"facilitation_causation"	"Edwards"	NA
"474"	"induce"	NA	"facilitation_causation"	"Edwards"	NA
"475"	"inspire"	NA	"facilitation_causation"	"Edwards"	NA
"476"	"inspire "	NA	"mental"	"Edwards"	NA
"477"	"instigate"	NA	"facilitation_causation"	"Edwards"	NA
"478"	"investigate"	NA	"mental"	"Edwards"	NA
"479"	"joke"	NA	"communication"	"Edwards"	NA
"480"	"keep from"	NA	"facilitation_causation"	"Edwards"	NA
"481"	"kid"	NA	"communication"	"Edwards"	NA
"482"	"kiss"	NA	"activity"	"Edwards"	NA
"483"	"label"	NA	"communication"	"Edwards"	NA
"484"	"lag"	NA	"existence_relationship"	"Edwards"	NA
"485"	"laugh"	NA	"activity"	"Edwards"	NA
"486"	"lead"	NA	"activity"	"Edwards"	NA
"487"	"lead"	NA	"facilitation_causation"	"Edwards"	NA
"488"	"leak"	NA	"occurrence"	"Edwards"	NA
"489"	"link"	NA	"existence_relationship"	"Edwards"	NA
"490"	"long for"	NA	"mental"	"Edwards"	NA
"491"	"look (fig.)"	NA	"existence_relationship"	"Edwards"	NA
"492"	"look at"	NA	"mental"	"Edwards"	NA
"493"	"look for"	NA	"activity"	"Edwards"	NA
"494"	"loom"	NA	"existence_relationship"	"Edwards"	NA
"495"	"loom"	NA	"occurrence"	"Edwards"	NA
"496"	"lose interest"	NA	"mental"	"Edwards"	NA
"497"	"lust"	NA	"mental"	"Edwards"	NA
"498"	"make "	NA	"facilitation_causation"	"Edwards"	NA
"499"	"manage "	NA	"mental"	"Edwards"	NA
"500"	"manipulate"	NA	"mental"	"Edwards"	NA
"501"	"march"	NA	"activity"	"Edwards"	NA
"502"	"measure"	NA	"existence_relationship"	"Edwards"	NA
"503"	"miss (e.g. we are missing one figure)"	NA	"existence_relationship"	"Edwards"	NA
"504"	"moan"	NA	"communication"	"Edwards"	NA
"505"	"name"	NA	"communication"	"Edwards"	NA
"506"	"near"	NA	"occurrence"	"Edwards"	NA
"507"	"note"	NA	"communication"	"Edwards"	NA
"508"	"object"	NA	"communication"	"Edwards"	NA
"509"	"oblige"	NA	"facilitation_causation"	"Edwards"	NA
"510"	"operate"	NA	"existence_relationship"	"Edwards"	NA
"511"	"opt"	NA	"mental"	"Edwards"	NA
"512"	"placate"	NA	"communication"	"Edwards"	NA
"513"	"play out"	NA	"occurrence"	"Edwards"	NA
"514"	"plead"	NA	"communication"	"Edwards"	NA
"515"	"ponder"	NA	"mental"	"Edwards"	NA
"516"	"pop up"	NA	"occurrence"	"Edwards"	NA
"517"	"pose"	NA	"activity"	"Edwards"	NA
"518"	"pose"	NA	"existence_relationship"	"Edwards"	NA
"519"	"practise"	NA	"activity"	"Edwards"	NA
"520"	"prepare"	NA	"activity"	"Edwards"	NA
"521"	"presume"	NA	"mental"	"Edwards"	NA
"522"	"progress"	NA	"occurrence"	"Edwards"	NA
"523"	"prompt"	NA	"facilitation_causation"	"Edwards"	NA
"524"	"provoke"	NA	"facilitation_causation"	"Edwards"	NA
"525"	"publish"	NA	"communication"	"Edwards"	NA
"526"	"rain"	NA	"occurrence"	"Edwards"	NA
"527"	"raise"	NA	"communication"	"Edwards"	NA
"528"	"react"	NA	"activity"	"Edwards"	NA
"529"	"realise"	NA	"mental"	"Edwards"	NA
"530"	"recollect"	NA	"mental"	"Edwards"	NA
"531"	"recover"	NA	"mental"	"Edwards"	NA
"532"	"refer"	NA	"communication"	"Edwards"	NA
"533"	"refuse"	NA	"communication"	"Edwards"	NA
"534"	"register"	NA	"mental"	"Edwards"	NA
"535"	"regress"	NA	"occurrence"	"Edwards"	NA
"536"	"regret"	NA	"mental"	"Edwards"	NA
"537"	"render"	NA	"facilitation_causation"	"Edwards"	NA
"538"	"report"	NA	"communication"	"Edwards"	NA
"539"	"resonate"	NA	"occurrence"	"Edwards"	NA
"540"	"revise"	NA	"activity"	"Edwards"	NA
"541"	"run out/short"	NA	"occurrence"	"Edwards"	NA
"542"	"scream"	NA	"communication"	"Edwards"	NA
"543"	"see "	NA	"activity"	"Edwards"	NA
"544"	"sense"	NA	"mental"	"Edwards"	NA
"545"	"serve"	NA	"activity"	"Edwards"	NA
"546"	"shop"	NA	"activity"	"Edwards"	NA
"547"	"shrink"	NA	"occurrence"	"Edwards"	NA
"548"	"shut"	NA	"activity"	"Edwards"	NA
"549"	"slip away"	NA	"occurrence"	"Edwards"	NA
"550"	"smash"	NA	"activity"	"Edwards"	NA
"551"	"snow"	NA	"occurrence"	"Edwards"	NA
"552"	"starve"	NA	"activity"	"Edwards"	NA
"553"	"stimulate"	NA	"facilitation_causation"	"Edwards"	NA
"554"	"stir up"	NA	"facilitation_causation"	"Edwards"	NA
"555"	"struggle"	NA	"mental"	"Edwards"	NA
"556"	"suggest"	NA	"communication"	"Edwards"	NA
"557"	"supply"	NA	"activity"	"Edwards"	NA
"558"	"surface"	NA	"occurrence"	"Edwards"	NA
"559"	"swallow"	NA	"activity"	"Edwards"	NA
"560"	"sweat"	NA	"activity"	"Edwards"	NA
"561"	"swivel"	NA	"activity"	"Edwards"	NA
"562"	"take place"	NA	"occurrence"	"Edwards"	NA
"563"	"taste"	NA	"mental"	"Edwards"	NA
"564"	"teem"	NA	"existence_relationship"	"Edwards"	NA
"565"	"tempt"	NA	"mental"	"Edwards"	NA
"566"	"thrive"	NA	"occurrence"	"Edwards"	NA
"567"	"travel"	NA	"activity"	"Edwards"	NA
"568"	"tremble"	NA	"occurrence"	"Edwards"	NA
"569"	"turn into"	NA	"activity"	"Edwards"	NA
"570"	"undergo"	NA	"activity"	"Edwards"	NA
"571"	"wash"	NA	"activity"	"Edwards"	NA
"572"	"widen"	NA	"occurrence"	"Edwards"	NA
"573"	"wind up"	NA	"aspectual"	"Edwards"	NA
"574"	"wither"	NA	"occurrence"	"Edwards"	NA
"575"	"witness"	NA	"mental"	"Edwards"	NA
"576"	"write off"	NA	"mental"	"Edwards"	NA
"577"	"yearn"	NA	"mental"	"Edwards"	NA
