"Lemma" "Corpus" "Semantic domain"
"133" "be" "Youth Fiction Sampled" "unclear_other"
"134" "be" "Youth Fiction Sampled" "unclear_other"
"135" "be" "Spoken BNC 2014" "unclear_other"
"136" "be" "Spoken BNC 2014" "unclear_other"
"137" "be" "Textbook Conversation" "unclear_other"
"138" "be" "Spoken BNC 2014" "unclear_other"
"139" "be" "Textbook Conversation" "unclear_other"
"140" "be" "Textbook Conversation" "unclear_other"
"141" "be" "Textbook Conversation" "unclear_other"
"142" "be" "Textbook Conversation" "unclear_other"
"143" "be" "Spoken BNC 2014" "unclear_other"
"144" "be" "Spoken BNC 2014" "unclear_other"
"145" "be" "Spoken BNC 2014" "unclear_other"
"146" "be" "Spoken BNC 2014" "unclear_other"
"147" "be" "Spoken BNC 2014" "unclear_other"
"148" "be" "Textbook Conversation" "unclear_other"
"149" "be" "Spoken BNC 2014" "unclear_other"
"150" "be" "Youth Fiction Sampled" "unclear_other"
"151" "be" "Youth Fiction Sampled" "unclear_other"
"152" "be" "Textbook Conversation" "unclear_other"
"153" "be" "Youth Fiction Sampled" "unclear_other"
"154" "be" "Spoken BNC 2014" "unclear_other"
"155" "be" "Spoken BNC 2014" "unclear_other"
"156" "be" "Youth Fiction Sampled" "unclear_other"
"157" "be" "Spoken BNC 2014" "unclear_other"
"158" "be" "Spoken BNC 2014" "unclear_other"
"159" "be" "Textbook Conversation" "unclear_other"
"160" "be" "Textbook Conversation" "unclear_other"
"161" "be" "Spoken BNC 2014" "unclear_other"
"162" "be" "Spoken BNC 2014" "unclear_other"
"163" "be" "Spoken BNC 2014" "unclear_other"
"164" "be" "Youth Fiction Sampled" "unclear_other"
"165" "be" "Textbook Fiction" "unclear_other"
"166" "be" "Textbook Conversation" "unclear_other"
"167" "be" "Spoken BNC 2014" "unclear_other"
"168" "be" "Spoken BNC 2014" "unclear_other"
"169" "be" "Textbook Fiction" "unclear_other"
"170" "be" "Textbook Conversation" "unclear_other"
"171" "be" "Textbook Conversation" "unclear_other"
"172" "be" "Spoken BNC 2014" "unclear_other"
"173" "be" "Youth Fiction Sampled" "unclear_other"
"174" "be" "Spoken BNC 2014" "unclear_other"
"175" "be" "Spoken BNC 2014" "unclear_other"
"176" "be" "Youth Fiction Sampled" "unclear_other"
"177" "be" "Textbook Fiction" "unclear_other"
"178" "bear aloft" "Youth Fiction Sampled" "unclear_other"
"179" "bear down on" "Youth Fiction Sampled" "existence_relationship"
"180" "beat" "Youth Fiction Sampled" "activity"
"181" "beat" "Youth Fiction Sampled" "activity"
"182" "beat" "Textbook Fiction" "activity"
"183" "beat" "Textbook Fiction" "activity"
"184" "beat" "Youth Fiction Sampled" "activity"
"185" "beat up" "Youth Fiction Sampled" "activity"
"186" "beat up" "Youth Fiction Sampled" "activity"
"187" "beckon" "Youth Fiction Sampled" "occurrence"
"188" "become" "Textbook Fiction" "occurrence"
"189" "become" "Textbook Fiction" "occurrence"
"190" "become" "Spoken BNC 2014" "occurrence"
"191" "become" "Spoken BNC 2014" "occurrence"
"192" "become" "Youth Fiction Sampled" "occurrence"
"193" "become" "Youth Fiction Sampled" "occurrence"
"194" "become" "Textbook Fiction" "occurrence"
"195" "become" "Textbook Fiction" "occurrence"
"196" "become" "Spoken BNC 2014" "occurrence"
"197" "become" "Textbook Conversation" "occurrence"
"198" "become" "Youth Fiction Sampled" "occurrence"
"199" "become" "Textbook Conversation" "occurrence"
"200" "become" "Textbook Fiction" "occurrence"
"201" "become" "Youth Fiction Sampled" "occurrence"
"202" "become" "Youth Fiction Sampled" "occurrence"
"203" "become" "Textbook Conversation" "occurrence"
"204" "become" "Textbook Conversation" "occurrence"
"205" "beef up" "Spoken BNC 2014" "activity"
"206" "beg" "Youth Fiction Sampled" "communication"
"207" "begin" "Youth Fiction Sampled" "aspectual"
"208" "begin" "Textbook Conversation" "aspectual"
"209" "begin" "Textbook Conversation" "aspectual"
"210" "begin" "Youth Fiction Sampled" "aspectual"
"211" "begin" "Textbook Fiction" "aspectual"
"212" "begin" "Textbook Fiction" "aspectual"
"213" "begin" "Youth Fiction Sampled" "aspectual"
"214" "begin" "Youth Fiction Sampled" "aspectual"
"215" "begin" "Youth Fiction Sampled" "aspectual"
"216" "begin" "Youth Fiction Sampled" "aspectual"
"217" "begin" "Youth Fiction Sampled" "aspectual"
"218" "begin" "Youth Fiction Sampled" "aspectual"
"219" "begin" "Textbook Fiction" "aspectual"
"220" "begin" "Spoken BNC 2014" "aspectual"
"221" "begin" "Youth Fiction Sampled" "aspectual"
"222" "begin" "Textbook Fiction" "aspectual"
"223" "begin" "Textbook Conversation" "aspectual"
"224" "begin" "Youth Fiction Sampled" "aspectual"
"225" "begin" "Textbook Fiction" "aspectual"
"226" "begin" "Youth Fiction Sampled" "aspectual"
"227" "begin" "Youth Fiction Sampled" "aspectual"
"228" "begin" "Youth Fiction Sampled" "aspectual"
"229" "begin" "Textbook Fiction" "aspectual"
"230" "begin" "Textbook Conversation" "aspectual"
"231" "begin" "Youth Fiction Sampled" "aspectual"
"232" "begin" "Youth Fiction Sampled" "aspectual"
"233" "begin" "Youth Fiction Sampled" "aspectual"
"234" "behave" "Textbook Fiction" "activity"
"235" "behave" "Textbook Conversation" "activity"
"236" "behave" "Youth Fiction Sampled" "activity"
"237" "behave" "Textbook Conversation" "activity"
"238" "behave" "Textbook Conversation" "activity"
"239" "behave" "Youth Fiction Sampled" "activity"
"240" "believe in" "Youth Fiction Sampled" "mental"
"241" "bend over" "Youth Fiction Sampled" "activity"
"242" "bend over" "Youth Fiction Sampled" "activity"
"243" "bet" "Spoken BNC 2014" "communication"
"244" "bet" "Youth Fiction Sampled" "communication"
"245" "blame" "Spoken BNC 2014" "mental"
"246" "blame" "Youth Fiction Sampled" "mental"
"247" "bleed" "Textbook Fiction" "activity"
"248" "bleed" "Textbook Fiction" "activity"
"249" "bleed" "Youth Fiction Sampled" "activity"
"250" "bleed" "Youth Fiction Sampled" "activity"
"251" "blink" "Spoken BNC 2014" "activity"
"252" "block" "Textbook Conversation" "activity"
"253" "block" "Youth Fiction Sampled" "activity"
"254" "block" "Spoken BNC 2014" "activity"
"255" "bloom" "Spoken BNC 2014" "occurrence"
"256" "blow" "Youth Fiction Sampled" "activity"
"257" "blow" "Textbook Fiction" "activity"
"258" "blow" "Textbook Fiction" "activity"
"259" "blow" "Youth Fiction Sampled" "activity"
"260" "blow" "Textbook Conversation" "activity"
"261" "blow" "Spoken BNC 2014" "activity"
"262" "blow" "Textbook Fiction" "activity"
"263" "blow up" "Youth Fiction Sampled" "occurrence"
"264" "bluff" "Textbook Fiction" "mental"
"265" "board" "Textbook Conversation" "activity"
"266" "board" "Textbook Conversation" "activity"
"267" "bob" "Youth Fiction Sampled" "occurrence"
"268" "boil" "Spoken BNC 2014" "occurrence"
"269" "boil" "Textbook Fiction" "occurrence"
"270" "bomb" "Spoken BNC 2014" "activity"
"271" "bore" "Spoken BNC 2014" "activity"
"272" "borrow" "Textbook Conversation" "activity"
"273" "bother" "Youth Fiction Sampled" "mental"
"274" "bother" "Textbook Conversation" "mental"
"275" "bother" "Textbook Conversation" "mental"
"276" "bother" "Youth Fiction Sampled" "mental"
"277" "bother" "Spoken BNC 2014" "mental"
"278" "bottle" "Spoken BNC 2014" "activity"
"279" "bow" "Textbook Conversation" "activity"
"280" "bow" "Youth Fiction Sampled" "activity"
"281" "brag" "Textbook Fiction" "communication"
"282" "brag" "Spoken BNC 2014" "communication"
"283" "break" "Textbook Fiction" "unclear_other"
"284" "break" "Textbook Fiction" "unclear_other"
"285" "break" "Spoken BNC 2014" "unclear_other"
"286" "break down" "Textbook Conversation" "occurrence"
"287" "break through" "Youth Fiction Sampled" "occurrence"
"288" "break up" "Spoken BNC 2014" "activity"
"289" "break up" "Textbook Conversation" "activity"
"290" "breathe" "Textbook Fiction" "occurrence"
"291" "breathe" "Youth Fiction Sampled" "occurrence"
"292" "breathe in" "Textbook Fiction" "activity"
"293" "bring" "Textbook Conversation" "activity"
"294" "bring" "Spoken BNC 2014" "activity"
"295" "bring" "Textbook Conversation" "activity"
"296" "bring" "Textbook Fiction" "activity"
"297" "bring" "Textbook Conversation" "activity"
"298" "bring" "Spoken BNC 2014" "activity"
"299" "bring" "Textbook Conversation" "activity"
"300" "bring" "Youth Fiction Sampled" "activity"
"301" "bring about" "Youth Fiction Sampled" "facilitation_causation"
"302" "bristle" "Youth Fiction Sampled" "activity"
"303" "browse" "Textbook Fiction" "activity"
"304" "browse" "Spoken BNC 2014" "activity"
"305" "browse" "Youth Fiction Sampled" "activity"
"306" "bubble" "Youth Fiction Sampled" "occurrence"
"307" "budge" "Youth Fiction Sampled" "occurrence"
"308" "bug" "Textbook Fiction" "mental"
"309" "build" "Spoken BNC 2014" "activity"
"310" "build" "Spoken BNC 2014" "activity"
"311" "build" "Spoken BNC 2014" "activity"
"312" "build" "Textbook Conversation" "activity"
"313" "build" "Textbook Conversation" "activity"
"314" "build" "Spoken BNC 2014" "activity"
"315" "build" "Spoken BNC 2014" "activity"
"316" "build" "Textbook Conversation" "activity"
"317" "build" "Textbook Conversation" "activity"
"318" "build" "Youth Fiction Sampled" "activity"
"319" "build" "Youth Fiction Sampled" "activity"
"320" "build" "Textbook Fiction" "activity"
"321" "build" "Textbook Fiction" "activity"
"322" "burgeon" "Spoken BNC 2014" "occurrence"
"323" "burn" "Textbook Fiction" "activity"
"324" "burn" "Textbook Conversation" "activity"
"325" "burn" "Spoken BNC 2014" "activity"
"326" "burn" "Textbook Fiction" "activity"
"327" "burn" "Textbook Fiction" "activity"
"328" "burn" "Textbook Fiction" "activity"
"329" "burn" "Textbook Fiction" "activity"
"330" "burn" "Textbook Fiction" "activity"
"331" "burn" "Spoken BNC 2014" "activity"
"332" "burst" "Textbook Conversation" "occurrence"
"333" "burst with" "Youth Fiction Sampled" "occurrence"
"334" "buy" "Spoken BNC 2014" "activity"
"335" "buy" "Textbook Fiction" "activity"
"336" "buy" "Textbook Conversation" "activity"
"337" "buy" "Textbook Fiction" "activity"
"338" "buy" "Textbook Conversation" "activity"
"339" "buy" "Textbook Conversation" "activity"
"340" "buy" "Spoken BNC 2014" "activity"
"341" "buy" "Spoken BNC 2014" "activity"
"342" "buy" "Spoken BNC 2014" "activity"
"343" "buy" "Spoken BNC 2014" "activity"
"344" "buy" "Textbook Conversation" "activity"
"345" "buy" "Textbook Conversation" "activity"
"346" "buy" "Textbook Conversation" "activity"
"347" "buy" "Textbook Fiction" "activity"
"348" "buy" "Textbook Conversation" "activity"
"349" "buy" "Spoken BNC 2014" "activity"
"350" "buy" "Textbook Conversation" "activity"
"351" "buy" "Spoken BNC 2014" "activity"
"352" "buy" "Spoken BNC 2014" "activity"
"353" "buy" "Textbook Conversation" "activity"
"354" "buy" "Textbook Conversation" "activity"
"355" "buy" "Spoken BNC 2014" "activity"
"356" "buy" "Spoken BNC 2014" "activity"
"357" "buy" "Textbook Conversation" "activity"
"358" "buy" "Spoken BNC 2014" "activity"
"359" "buy" "Textbook Conversation" "activity"
"360" "buy" "Spoken BNC 2014" "activity"
"361" "buy" "Textbook Fiction" "activity"
"362" "buy" "Spoken BNC 2014" "activity"
"363" "buy" "Spoken BNC 2014" "activity"
"364" "buzz" "Youth Fiction Sampled" "occurrence"
"365" "call" "Textbook Fiction" "communication"
"366" "call" "Youth Fiction Sampled" "communication"
"367" "call" "Youth Fiction Sampled" "communication"
"368" "call" "Youth Fiction Sampled" "communication"
"369" "call" "Youth Fiction Sampled" "communication"
"370" "call" "Textbook Conversation" "communication"
"371" "call" "Textbook Conversation" "communication"
"372" "call" "Textbook Conversation" "communication"
"373" "call" "Textbook Fiction" "communication"
"374" "call" "Textbook Conversation" "communication"
"375" "call" "Spoken BNC 2014" "communication"
"376" "call" "Textbook Conversation" "communication"
"377" "call" "Textbook Fiction" "communication"
"378" "call" "Spoken BNC 2014" "communication"
"379" "call" "Textbook Conversation" "communication"
"380" "call" "Textbook Fiction" "communication"
"381" "call" "Spoken BNC 2014" "communication"
"382" "call" "Youth Fiction Sampled" "communication"
"383" "call" "Textbook Conversation" "communication"
"384" "call" "Textbook Fiction" "communication"
"385" "call" "Textbook Fiction" "communication"
"386" "call" "Textbook Conversation" "communication"
"387" "call" "Textbook Conversation" "communication"
"388" "call" "Textbook Conversation" "communication"
"389" "call" "Spoken BNC 2014" "communication"
"390" "call" "Textbook Conversation" "communication"
"391" "call" "Youth Fiction Sampled" "communication"
"392" "call" "Spoken BNC 2014" "communication"
"393" "call" "Youth Fiction Sampled" "communication"
"394" "call" "Textbook Conversation" "communication"
"395" "call for" "Textbook Fiction" "existence_relationship"
"396" "call for" "Textbook Conversation" "existence_relationship"
"397" "call in" "Youth Fiction Sampled" "activity"
"398" "camp" "Spoken BNC 2014" "activity"
"399" "camp" "Textbook Conversation" "activity"
"400" "campaign" "Textbook Fiction" "activity"
"401" "campaign" "Textbook Fiction" "activity"
"402" "carry" "Textbook Conversation" "activity"
"403" "carry" "Textbook Fiction" "activity"
"404" "carry" "Textbook Fiction" "activity"
"405" "carry" "Textbook Fiction" "activity"
"406" "carry" "Youth Fiction Sampled" "activity"
"407" "carry" "Textbook Fiction" "activity"
"408" "carry" "Youth Fiction Sampled" "activity"
"409" "carry" "Textbook Conversation" "activity"
"410" "carry" "Youth Fiction Sampled" "activity"
"411" "carry" "Youth Fiction Sampled" "activity"
"412" "carry" "Youth Fiction Sampled" "activity"
"413" "carry" "Textbook Fiction" "activity"
"414" "carry" "Textbook Fiction" "activity"
"415" "carry" "Spoken BNC 2014" "activity"
"416" "carry" "Youth Fiction Sampled" "activity"
"417" "carry" "Youth Fiction Sampled" "activity"
"418" "carry" "Textbook Fiction" "activity"
"419" "carry" "Textbook Conversation" "activity"
"420" "carry" "Textbook Fiction" "activity"
"421" "cat-sit" "Spoken BNC 2014" "activity"
"422" "catch" "Textbook Conversation" "activity"
"423" "catch" "Spoken BNC 2014" "activity"
"424" "catch" "Textbook Fiction" "activity"
"425" "catch up" "Youth Fiction Sampled" "activity"
"426" "cause" "Youth Fiction Sampled" "facilitation_causation"
"427" "cause" "Textbook Conversation" "facilitation_causation"
"428" "cause" "Textbook Conversation" "facilitation_causation"
"429" "cause" "Spoken BNC 2014" "facilitation_causation"
"430" "cause" "Textbook Conversation" "facilitation_causation"
"431" "cause" "Youth Fiction Sampled" "facilitation_causation"
"432" "cause" "Youth Fiction Sampled" "facilitation_causation"
"433" "celebrate" "Textbook Fiction" "activity"
"434" "celebrate" "Textbook Fiction" "activity"
"435" "celebrate" "Spoken BNC 2014" "activity"
"436" "celebrate" "Textbook Fiction" "activity"
"437" "celebrate" "Textbook Conversation" "activity"
"438" "celebrate" "Textbook Conversation" "activity"
"439" "celebrate" "Textbook Fiction" "activity"
"440" "celebrate" "Textbook Conversation" "activity"
"441" "celebrate" "Textbook Conversation" "activity"
"442" "celebrate" "Textbook Conversation" "activity"
"443" "chain up" "Youth Fiction Sampled" "activity"
"444" "change" "Textbook Conversation" "occurrence"
"445" "change" "Spoken BNC 2014" "occurrence"
"446" "change" "Spoken BNC 2014" "occurrence"
"447" "change" "Textbook Fiction" "occurrence"
