"Lemma" "Corpus" "Semantic domain"
"1156" "do" "Spoken BNC 2014" "activity"
"1157" "do" "Youth Fiction Sampled" "activity"
"1158" "do" "Spoken BNC 2014" "activity"
"1159" "do" "Spoken BNC 2014" "activity"
"1160" "do" "Textbook Fiction" "activity"
"1161" "do" "Youth Fiction Sampled" "activity"
"1162" "do" "Textbook Conversation" "activity"
"1163" "do" "Spoken BNC 2014" "activity"
"1164" "do" "Spoken BNC 2014" "activity"
"1165" "do" "Textbook Conversation" "activity"
"1166" "do" "Spoken BNC 2014" "activity"
"1167" "do" "Textbook Conversation" "activity"
"1168" "do" "Spoken BNC 2014" "activity"
"1169" "do" "Spoken BNC 2014" "activity"
"1170" "do" "Textbook Conversation" "activity"
"1171" "do" "Spoken BNC 2014" "activity"
"1172" "do" "Textbook Conversation" "activity"
"1173" "do" "Textbook Fiction" "activity"
"1174" "do" "Textbook Conversation" "activity"
"1175" "do" "Spoken BNC 2014" "activity"
"1176" "do" "Textbook Conversation" "activity"
"1177" "do" "Textbook Fiction" "activity"
"1178" "do" "Spoken BNC 2014" "activity"
"1179" "do" "Spoken BNC 2014" "activity"
"1180" "do" "Spoken BNC 2014" "activity"
"1181" "do" "Textbook Conversation" "activity"
"1182" "do" "Textbook Conversation" "activity"
"1183" "do" "Spoken BNC 2014" "activity"
"1184" "do" "Spoken BNC 2014" "activity"
"1185" "do" "Spoken BNC 2014" "activity"
"1186" "do" "Spoken BNC 2014" "activity"
"1187" "do" "Spoken BNC 2014" "activity"
"1188" "do" "Textbook Fiction" "activity"
"1189" "do" "Textbook Conversation" "activity"
"1190" "do" "Spoken BNC 2014" "activity"
"1191" "do" "Textbook Conversation" "activity"
"1192" "do" "Spoken BNC 2014" "activity"
"1193" "do" "Youth Fiction Sampled" "activity"
"1194" "do" "Spoken BNC 2014" "activity"
"1195" "do" "Textbook Conversation" "activity"
"1196" "do" "Textbook Conversation" "activity"
"1197" "do" "Spoken BNC 2014" "activity"
"1198" "do" "Textbook Fiction" "activity"
"1199" "do" "Spoken BNC 2014" "activity"
"1200" "do" "Spoken BNC 2014" "activity"
"1201" "do" "Textbook Fiction" "activity"
"1202" "do" "Spoken BNC 2014" "activity"
"1203" "do" "Textbook Conversation" "activity"
"1204" "do" "Textbook Conversation" "activity"
"1205" "do" "Youth Fiction Sampled" "activity"
"1206" "do" "Spoken BNC 2014" "activity"
"1207" "do" "Spoken BNC 2014" "activity"
"1208" "do" "Youth Fiction Sampled" "activity"
"1209" "do" "Spoken BNC 2014" "activity"
"1210" "do" "Spoken BNC 2014" "activity"
"1211" "do" "Spoken BNC 2014" "activity"
"1212" "do" "Spoken BNC 2014" "activity"
"1213" "do" "Textbook Fiction" "activity"
"1214" "do" "Textbook Conversation" "activity"
"1215" "do" "Spoken BNC 2014" "activity"
"1216" "do" "Spoken BNC 2014" "activity"
"1217" "do" "Textbook Conversation" "activity"
"1218" "do" "Textbook Fiction" "activity"
"1219" "do" "Textbook Fiction" "activity"
"1220" "do" "Spoken BNC 2014" "activity"
"1221" "do" "Spoken BNC 2014" "activity"
"1222" "do" "Spoken BNC 2014" "activity"
"1223" "do" "Textbook Conversation" "activity"
"1224" "do" "Spoken BNC 2014" "activity"
"1225" "do" "Youth Fiction Sampled" "activity"
"1226" "do" "Spoken BNC 2014" "activity"
"1227" "do" "Youth Fiction Sampled" "activity"
"1228" "do" "Spoken BNC 2014" "activity"
"1229" "do" "Textbook Fiction" "activity"
"1230" "do" "Youth Fiction Sampled" "activity"
"1231" "do" "Spoken BNC 2014" "activity"
"1232" "do" "Spoken BNC 2014" "activity"
"1233" "do" "Textbook Fiction" "activity"
"1234" "do" "Textbook Conversation" "activity"
"1235" "do" "Textbook Fiction" "activity"
"1236" "do" "Textbook Conversation" "activity"
"1237" "do" "Textbook Conversation" "activity"
"1238" "do" "Youth Fiction Sampled" "activity"
"1239" "do" "Textbook Fiction" "activity"
"1240" "do" "Spoken BNC 2014" "activity"
"1241" "do" "Textbook Conversation" "activity"
"1242" "do" "Spoken BNC 2014" "activity"
"1243" "do" "Textbook Conversation" "activity"
"1244" "do" "Textbook Conversation" "activity"
"1245" "do" "Spoken BNC 2014" "activity"
"1246" "do" "Spoken BNC 2014" "activity"
"1247" "do" "Textbook Conversation" "activity"
"1248" "do" "Youth Fiction Sampled" "activity"
"1249" "do" "Spoken BNC 2014" "activity"
"1250" "do" "Youth Fiction Sampled" "activity"
"1251" "do" "Spoken BNC 2014" "activity"
"1252" "do" "Textbook Conversation" "activity"
"1253" "do" "Textbook Fiction" "activity"
"1254" "do" "Textbook Fiction" "activity"
"1255" "do" "Textbook Conversation" "activity"
"1256" "do" "Textbook Conversation" "activity"
"1257" "do" "Spoken BNC 2014" "activity"
"1258" "do" "Textbook Conversation" "activity"
"1259" "do" "Textbook Conversation" "activity"
"1260" "do" "Textbook Conversation" "activity"
"1261" "do" "Spoken BNC 2014" "activity"
"1262" "do" "Spoken BNC 2014" "activity"
"1263" "do" "Textbook Fiction" "activity"
"1264" "do" "Textbook Conversation" "activity"
"1265" "do" "Youth Fiction Sampled" "activity"
"1266" "do" "Textbook Conversation" "activity"
"1267" "do" "Textbook Conversation" "activity"
"1268" "do" "Spoken BNC 2014" "activity"
"1269" "do" "Textbook Fiction" "activity"
"1270" "do" "Textbook Fiction" "activity"
"1271" "do" "Textbook Conversation" "activity"
"1272" "do" "Textbook Fiction" "activity"
"1273" "do" "Spoken BNC 2014" "activity"
"1274" "do" "Textbook Conversation" "activity"
"1275" "do" "Textbook Conversation" "activity"
"1276" "do" "Textbook Conversation" "activity"
"1277" "do" "Textbook Conversation" "activity"
"1278" "do" "Textbook Conversation" "activity"
"1279" "do" "Spoken BNC 2014" "activity"
"1280" "do" "Textbook Fiction" "activity"
"1281" "do" "Textbook Conversation" "activity"
"1282" "do" "Youth Fiction Sampled" "activity"
"1283" "do" "Textbook Fiction" "activity"
"1284" "do" "Spoken BNC 2014" "activity"
"1285" "do" "Spoken BNC 2014" "activity"
"1286" "do" "Spoken BNC 2014" "activity"
"1287" "do" "Textbook Fiction" "activity"
"1288" "do" "Textbook Conversation" "activity"
"1289" "do" "Textbook Conversation" "activity"
"1290" "do" "Spoken BNC 2014" "activity"
"1291" "do" "Spoken BNC 2014" "activity"
"1292" "do" "Spoken BNC 2014" "activity"
"1293" "do" "Textbook Conversation" "activity"
"1294" "do" "Textbook Fiction" "activity"
"1295" "do" "Youth Fiction Sampled" "activity"
"1296" "do" "Textbook Fiction" "activity"
"1297" "do" "Spoken BNC 2014" "activity"
"1298" "do" "Textbook Conversation" "activity"
"1299" "do" "Spoken BNC 2014" "activity"
"1300" "do" "Spoken BNC 2014" "activity"
"1301" "do" "Textbook Conversation" "activity"
"1302" "do" "Textbook Conversation" "activity"
"1303" "do" "Spoken BNC 2014" "activity"
"1304" "do" "Textbook Fiction" "activity"
"1305" "do" "Textbook Conversation" "activity"
"1306" "do" "Textbook Conversation" "activity"
"1307" "do" "Spoken BNC 2014" "activity"
"1308" "do" "Textbook Conversation" "activity"
"1309" "do" "Textbook Conversation" "activity"
"1310" "do" "Textbook Conversation" "activity"
"1311" "do" "Textbook Conversation" "activity"
"1312" "do" "Spoken BNC 2014" "activity"
"1313" "do" "Spoken BNC 2014" "activity"
"1314" "do" "Spoken BNC 2014" "activity"
"1315" "do" "Spoken BNC 2014" "activity"
"1316" "do" "Spoken BNC 2014" "activity"
"1317" "do" "Textbook Conversation" "activity"
"1318" "do" "Spoken BNC 2014" "activity"
"1319" "do" "Spoken BNC 2014" "activity"
"1320" "do" "Textbook Conversation" "activity"
"1321" "do" "Textbook Fiction" "activity"
"1322" "do" "Spoken BNC 2014" "activity"
"1323" "do" "Textbook Conversation" "activity"
"1324" "do" "Textbook Conversation" "activity"
"1325" "do" "Textbook Fiction" "activity"
"1326" "do" "Spoken BNC 2014" "activity"
"1327" "do" "Textbook Conversation" "activity"
"1328" "do" "Textbook Fiction" "activity"
"1329" "do" "Spoken BNC 2014" "activity"
"1330" "do" "Textbook Conversation" "activity"
"1331" "do" "Spoken BNC 2014" "activity"
"1332" "do" "Spoken BNC 2014" "activity"
"1333" "do" "Textbook Fiction" "activity"
"1334" "do" "Textbook Conversation" "activity"
"1335" "do" "Textbook Conversation" "activity"
"1336" "do" "Textbook Conversation" "activity"
"1337" "do" "Spoken BNC 2014" "activity"
"1338" "do" "Spoken BNC 2014" "activity"
"1339" "do" "Youth Fiction Sampled" "activity"
"1340" "do" "Youth Fiction Sampled" "activity"
"1341" "do" "Textbook Conversation" "activity"
"1342" "do" "Spoken BNC 2014" "activity"
"1343" "do" "Textbook Fiction" "activity"
"1344" "do" "Spoken BNC 2014" "activity"
"1345" "do" "Spoken BNC 2014" "activity"
"1346" "do" "Spoken BNC 2014" "activity"
"1347" "do" "Textbook Fiction" "activity"
"1348" "do" "Youth Fiction Sampled" "activity"
"1349" "do" "Textbook Fiction" "activity"
"1350" "do" "Youth Fiction Sampled" "activity"
"1351" "do" "Textbook Conversation" "activity"
"1352" "do" "Textbook Conversation" "activity"
"1353" "do" "Youth Fiction Sampled" "activity"
"1354" "do" "Textbook Conversation" "activity"
"1355" "do" "Spoken BNC 2014" "activity"
"1356" "do" "Youth Fiction Sampled" "activity"
"1357" "do" "Spoken BNC 2014" "activity"
"1358" "do" "Spoken BNC 2014" "activity"
"1359" "do" "Spoken BNC 2014" "activity"
"1360" "do" "Textbook Conversation" "activity"
"1361" "do" "Textbook Fiction" "activity"
"1362" "do" "Textbook Fiction" "activity"
"1363" "do" "Textbook Conversation" "activity"
"1364" "do" "Spoken BNC 2014" "activity"
"1365" "do" "Spoken BNC 2014" "activity"
"1366" "do" "Textbook Conversation" "activity"
"1367" "do" "Spoken BNC 2014" "activity"
"1368" "do" "Spoken BNC 2014" "activity"
"1369" "do" "Textbook Fiction" "activity"
"1370" "do" "Textbook Conversation" "activity"
"1371" "do" "Textbook Fiction" "activity"
"1372" "do" "Spoken BNC 2014" "activity"
"1373" "do" "Spoken BNC 2014" "activity"
"1374" "do" "Textbook Conversation" "activity"
"1375" "do" "Textbook Conversation" "activity"
"1376" "do" "Textbook Conversation" "activity"
"1377" "do" "Textbook Conversation" "activity"
"1378" "do" "Textbook Conversation" "activity"
"1379" "do" "Spoken BNC 2014" "activity"
"1380" "do" "Youth Fiction Sampled" "activity"
"1381" "do" "Textbook Conversation" "activity"
"1382" "do" "Textbook Conversation" "activity"
"1383" "do" "Textbook Conversation" "activity"
"1384" "do" "Textbook Conversation" "activity"
"1385" "do" "Textbook Conversation" "activity"
"1386" "do" "Spoken BNC 2014" "activity"
"1387" "do" "Textbook Fiction" "activity"
"1388" "do" "Spoken BNC 2014" "activity"
"1389" "do" "Textbook Conversation" "activity"
"1390" "do" "Textbook Conversation" "activity"
"1391" "do" "Spoken BNC 2014" "activity"
"1392" "do" "Spoken BNC 2014" "activity"
"1393" "do" "Spoken BNC 2014" "activity"
"1394" "do" "Spoken BNC 2014" "activity"
"1395" "do" "Youth Fiction Sampled" "activity"
"1396" "do" "Textbook Conversation" "activity"
"1397" "do" "Spoken BNC 2014" "activity"
"1398" "do" "Spoken BNC 2014" "activity"
"1399" "do" "Textbook Conversation" "activity"
"1400" "do" "Spoken BNC 2014" "activity"
"1401" "do" "Textbook Fiction" "activity"
"1402" "do" "Textbook Conversation" "activity"
"1403" "do" "Spoken BNC 2014" "activity"
"1404" "do" "Spoken BNC 2014" "activity"
"1405" "do" "Textbook Conversation" "activity"
"1406" "do" "Spoken BNC 2014" "activity"
"1407" "do" "Spoken BNC 2014" "activity"
"1408" "do" "Youth Fiction Sampled" "activity"
"1409" "do" "Textbook Conversation" "activity"
"1410" "do" "Textbook Conversation" "activity"
"1411" "do" "Textbook Conversation" "activity"
"1412" "do" "Textbook Conversation" "activity"
"1413" "do" "Youth Fiction Sampled" "activity"
"1414" "do" "Textbook Conversation" "activity"
"1415" "do" "Spoken BNC 2014" "activity"
"1416" "do" "Spoken BNC 2014" "activity"
"1417" "do" "Textbook Conversation" "activity"
"1418" "do" "Textbook Fiction" "activity"
"1419" "do" "Spoken BNC 2014" "activity"
"1420" "do" "Textbook Conversation" "activity"
"1421" "do" "Textbook Conversation" "activity"
"1422" "do" "Textbook Conversation" "activity"
"1423" "do" "Youth Fiction Sampled" "activity"
"1424" "do" "Textbook Conversation" "activity"
"1425" "do" "Textbook Conversation" "activity"
"1426" "do" "Spoken BNC 2014" "activity"
"1427" "do" "Textbook Conversation" "activity"
"1428" "do" "Textbook Conversation" "activity"
"1429" "do" "Textbook Fiction" "activity"
"1430" "do" "Textbook Conversation" "activity"
"1431" "do" "Textbook Conversation" "activity"
"1432" "do" "Textbook Fiction" "activity"
"1433" "do" "Textbook Fiction" "activity"
"1434" "do" "Spoken BNC 2014" "activity"
"1435" "do" "Youth Fiction Sampled" "activity"
"1436" "do" "Textbook Fiction" "activity"
"1437" "do" "Textbook Conversation" "activity"
"1438" "do" "Textbook Conversation" "activity"
"1439" "do" "Spoken BNC 2014" "activity"
"1440" "do" "Spoken BNC 2014" "activity"
"1441" "do" "Spoken BNC 2014" "activity"
"1442" "do" "Textbook Conversation" "activity"
"1443" "do" "Textbook Conversation" "activity"
"1444" "do" "Textbook Conversation" "activity"
"1445" "do" "Textbook Fiction" "activity"
"1446" "do" "Textbook Conversation" "activity"
"1447" "do" "Spoken BNC 2014" "activity"
"1448" "do" "Spoken BNC 2014" "activity"
"1449" "do" "Youth Fiction Sampled" "activity"
"1450" "do" "Textbook Conversation" "activity"
"1451" "do" "Spoken BNC 2014" "activity"
"1452" "do" "Spoken BNC 2014" "activity"
"1453" "do" "Textbook Conversation" "activity"
"1454" "do" "Spoken BNC 2014" "activity"
"1455" "do" "Spoken BNC 2014" "activity"
"1456" "do" "Spoken BNC 2014" "activity"
"1457" "do" "Spoken BNC 2014" "activity"
"1458" "do" "Spoken BNC 2014" "activity"
"1459" "do" "Textbook Fiction" "activity"
"1460" "do" "Textbook Conversation" "activity"
"1461" "do" "Textbook Conversation" "activity"
"1462" "do" "Spoken BNC 2014" "activity"
"1463" "do" "Textbook Fiction" "activity"
"1464" "do" "Textbook Conversation" "activity"
"1465" "do" "Textbook Conversation" "activity"
"1466" "do" "Spoken BNC 2014" "activity"
"1467" "do" "Spoken BNC 2014" "activity"
"1468" "do" "Textbook Fiction" "activity"
"1469" "do" "Spoken BNC 2014" "activity"
"1470" "do" "Textbook Conversation" "activity"
"1471" "do" "Textbook Conversation" "activity"
"1472" "do" "Textbook Conversation" "activity"
"1473" "do" "Textbook Fiction" "activity"
"1474" "do" "Spoken BNC 2014" "activity"
"1475" "do" "Textbook Conversation" "activity"
"1476" "do" "Textbook Conversation" "activity"
"1477" "do" "Spoken BNC 2014" "activity"
"1478" "do" "Spoken BNC 2014" "activity"
"1479" "do" "Spoken BNC 2014" "activity"
"1480" "do" "Textbook Conversation" "activity"
"1481" "do" "Textbook Conversation" "activity"
"1482" "do" "Spoken BNC 2014" "activity"
"1483" "do" "Spoken BNC 2014" "activity"
"1484" "do" "Textbook Conversation" "activity"
"1485" "do" "Spoken BNC 2014" "activity"
"1486" "do" "Spoken BNC 2014" "activity"
"1487" "do" "Spoken BNC 2014" "activity"
"1488" "do" "Spoken BNC 2014" "activity"
"1489" "do" "Textbook Conversation" "activity"
"1490" "do" "Textbook Conversation" "activity"
"1491" "do" "Textbook Conversation" "activity"
"1492" "do" "Spoken BNC 2014" "activity"
"1493" "do" "Spoken BNC 2014" "activity"
"1494" "do" "Spoken BNC 2014" "activity"
"1495" "do" "Textbook Conversation" "activity"
"1496" "do" "Textbook Conversation" "activity"
"1497" "do" "Spoken BNC 2014" "activity"
"1498" "do" "Spoken BNC 2014" "activity"
"1499" "do" "Textbook Fiction" "activity"
"1500" "do" "Spoken BNC 2014" "activity"
"1501" "do" "Textbook Conversation" "activity"
"1502" "do" "Spoken BNC 2014" "activity"
"1503" "do" "Textbook Conversation" "activity"
"1504" "do" "Textbook Conversation" "activity"
"1505" "do" "Spoken BNC 2014" "activity"
"1506" "do" "Spoken BNC 2014" "activity"
"1507" "do" "Youth Fiction Sampled" "activity"
"1508" "do" "Textbook Fiction" "activity"
"1509" "do" "Spoken BNC 2014" "activity"
"1510" "do" "Textbook Conversation" "activity"
"1511" "do" "Textbook Fiction" "activity"
"1512" "do" "Textbook Fiction" "activity"
"1513" "do" "Textbook Fiction" "activity"
"1514" "do" "Textbook Conversation" "activity"
"1515" "do" "Textbook Fiction" "activity"
"1516" "do" "Youth Fiction Sampled" "activity"
"1517" "do" "Youth Fiction Sampled" "activity"
"1518" "do" "Textbook Conversation" "activity"
"1519" "do" "Youth Fiction Sampled" "activity"
"1520" "do" "Textbook Fiction" "activity"
"1521" "do" "Spoken BNC 2014" "activity"
"1522" "do" "Youth Fiction Sampled" "activity"
"1523" "do" "Textbook Conversation" "activity"
"1524" "do" "Spoken BNC 2014" "activity"
"1525" "do" "Spoken BNC 2014" "activity"
"1526" "do" "Textbook Fiction" "activity"
"1527" "do" "Textbook Conversation" "activity"
"1528" "do" "Textbook Fiction" "activity"
"1529" "do" "Spoken BNC 2014" "activity"
"1530" "do" "Spoken BNC 2014" "activity"
"1531" "do" "Spoken BNC 2014" "activity"
"1532" "do" "Youth Fiction Sampled" "activity"
"1533" "do" "Spoken BNC 2014" "activity"
"1534" "do" "Textbook Conversation" "activity"
"1535" "do" "Youth Fiction Sampled" "activity"
"1536" "do" "Spoken BNC 2014" "activity"
"1537" "do" "Textbook Fiction" "activity"
"1538" "do" "Spoken BNC 2014" "activity"
"1539" "do" "Textbook Conversation" "activity"
"1540" "do" "Textbook Fiction" "activity"
"1541" "do" "Textbook Fiction" "activity"
"1542" "do" "Spoken BNC 2014" "activity"
"1543" "do" "Textbook Fiction" "activity"
"1544" "do" "Textbook Conversation" "activity"
"1545" "do" "Textbook Conversation" "activity"
"1546" "do" "Spoken BNC 2014" "activity"
"1547" "do" "Textbook Conversation" "activity"
"1548" "do" "Spoken BNC 2014" "activity"
"1549" "do" "Textbook Fiction" "activity"
"1550" "do" "Textbook Conversation" "activity"
"1551" "do" "Spoken BNC 2014" "activity"
"1552" "do" "Textbook Conversation" "activity"
"1553" "do" "Spoken BNC 2014" "activity"
"1554" "do" "Textbook Fiction" "activity"
"1555" "do" "Spoken BNC 2014" "activity"
"1556" "do" "Textbook Conversation" "activity"
"1557" "do" "Textbook Conversation" "activity"
"1558" "do" "Textbook Conversation" "activity"
"1559" "do" "Spoken BNC 2014" "activity"
"1560" "do" "Textbook Conversation" "activity"
"1561" "do" "Spoken BNC 2014" "activity"
"1562" "do" "Spoken BNC 2014" "activity"
"1563" "do" "Spoken BNC 2014" "activity"
"1564" "do" "Textbook Conversation" "activity"
"1565" "do" "Textbook Conversation" "activity"
"1566" "do" "Youth Fiction Sampled" "activity"
"1567" "doubt" "Youth Fiction Sampled" "mental"
"1568" "download" "Textbook Conversation" "activity"
"1569" "doze off" "Youth Fiction Sampled" "activity"
"1570" "drag" "Youth Fiction Sampled" "activity"
"1571" "draw" "Textbook Fiction" "activity"
"1572" "draw" "Textbook Conversation" "activity"
"1573" "draw" "Textbook Fiction" "activity"
"1574" "draw" "Textbook Fiction" "activity"
"1575" "draw" "Textbook Conversation" "activity"
"1576" "draw in" "Youth Fiction Sampled" "activity"
"1577" "dread" "Textbook Fiction" "mental"
"1578" "dread" "Textbook Conversation" "mental"
"1579" "dream" "Youth Fiction Sampled" "activity"
"1580" "dream" "Textbook Conversation" "activity"
"1581" "dream" "Textbook Fiction" "activity"
"1582" "dream" "Textbook Conversation" "activity"
"1583" "dream" "Youth Fiction Sampled" "activity"
"1584" "dream" "Textbook Conversation" "activity"
"1585" "dream of" "Textbook Fiction" "activity"
"1586" "drench" "Youth Fiction Sampled" "activity"
"1587" "dress" "Textbook Conversation" "activity"
"1588" "dress up" "Textbook Conversation" "activity"
"1589" "drift" "Youth Fiction Sampled" "occurrence"
"1590" "drift" "Youth Fiction Sampled" "occurrence"
"1591" "drink" "Spoken BNC 2014" "activity"
"1592" "drink" "Spoken BNC 2014" "activity"
"1593" "drink" "Spoken BNC 2014" "activity"
"1594" "drink" "Spoken BNC 2014" "activity"
"1595" "drink" "Textbook Fiction" "activity"
"1596" "drink" "Textbook Conversation" "activity"
"1597" "drink" "Spoken BNC 2014" "activity"
"1598" "drink" "Spoken BNC 2014" "activity"
"1599" "drink" "Spoken BNC 2014" "activity"
"1600" "drink" "Textbook Conversation" "activity"
"1601" "drink" "Textbook Fiction" "activity"
"1602" "drink" "Textbook Conversation" "activity"
"1603" "drink" "Youth Fiction Sampled" "activity"
"1604" "drink" "Textbook Conversation" "activity"
"1605" "drink" "Textbook Conversation" "activity"
"1606" "drink" "Spoken BNC 2014" "activity"
"1607" "drink" "Youth Fiction Sampled" "activity"
"1608" "drink" "Textbook Fiction" "activity"
"1609" "drink" "Youth Fiction Sampled" "activity"
"1610" "drink" "Textbook Fiction" "activity"
"1611" "drink" "Spoken BNC 2014" "activity"
"1612" "drink" "Youth Fiction Sampled" "activity"
"1613" "drink" "Youth Fiction Sampled" "activity"
"1614" "drink" "Spoken BNC 2014" "activity"
"1615" "drink" "Youth Fiction Sampled" "activity"
"1616" "drink" "Textbook Fiction" "activity"
"1617" "drip" "Youth Fiction Sampled" "occurrence"
"1618" "drip" "Spoken BNC 2014" "occurrence"
"1619" "drive" "Spoken BNC 2014" "activity"
"1620" "drive" "Textbook Conversation" "activity"
"1621" "drive" "Textbook Conversation" "activity"
"1622" "drive" "Textbook Fiction" "activity"
"1623" "drive" "Textbook Fiction" "activity"
"1624" "drive" "Spoken BNC 2014" "activity"
"1625" "drive" "Spoken BNC 2014" "activity"
"1626" "drive" "Spoken BNC 2014" "activity"
"1627" "drive" "Textbook Fiction" "activity"
"1628" "drive" "Spoken BNC 2014" "activity"
"1629" "drive" "Textbook Conversation" "activity"
"1630" "drive" "Textbook Fiction" "activity"
"1631" "drive" "Youth Fiction Sampled" "activity"
"1632" "drive" "Spoken BNC 2014" "activity"
"1633" "drive" "Textbook Fiction" "activity"
"1634" "drive" "Youth Fiction Sampled" "activity"
"1635" "drive" "Youth Fiction Sampled" "activity"
"1636" "drive" "Spoken BNC 2014" "activity"
"1637" "drive" "Spoken BNC 2014" "activity"
"1638" "drive" "Textbook Conversation" "activity"
"1639" "drive" "Spoken BNC 2014" "activity"
"1640" "drive" "Textbook Fiction" "activity"
"1641" "drive" "Textbook Conversation" "activity"
"1642" "drool" "Youth Fiction Sampled" "activity"
"1643" "drop" "Youth Fiction Sampled" "activity"
"1644" "drop" "Textbook Fiction" "activity"
"1645" "drown" "Textbook Fiction" "occurrence"
"1646" "drown" "Textbook Conversation" "occurrence"
"1647" "drown" "Textbook Fiction" "occurrence"
"1648" "drown" "Textbook Conversation" "occurrence"
"1649" "drown" "Textbook Fiction" "occurrence"
"1650" "dry" "Spoken BNC 2014" "occurrence"
"1651" "dust" "Textbook Conversation" "activity"
"1652" "dying" "Spoken BNC 2014" "occurrence"
"1653" "earn" "Spoken BNC 2014" "activity"
"1654" "earn" "Textbook Fiction" "activity"
"1655" "earn" "Spoken BNC 2014" "activity"
"1656" "earn" "Spoken BNC 2014" "activity"
"1657" "earn" "Spoken BNC 2014" "activity"
"1658" "eat" "Textbook Conversation" "activity"
"1659" "eat" "Textbook Fiction" "activity"
"1660" "eat" "Textbook Conversation" "activity"
"1661" "eat" "Textbook Conversation" "activity"
"1662" "eat" "Textbook Fiction" "activity"
"1663" "eat" "Spoken BNC 2014" "activity"
"1664" "eat" "Textbook Conversation" "activity"
"1665" "eat" "Textbook Conversation" "activity"
"1666" "eat" "Youth Fiction Sampled" "activity"
"1667" "eat" "Textbook Conversation" "activity"
"1668" "eat" "Spoken BNC 2014" "activity"
"1669" "eat" "Textbook Conversation" "activity"
"1670" "eat" "Spoken BNC 2014" "activity"
"1671" "eat" "Textbook Conversation" "activity"
"1672" "eat" "Textbook Conversation" "activity"
"1673" "eat" "Spoken BNC 2014" "activity"
"1674" "eat" "Textbook Conversation" "activity"
"1675" "eat" "Textbook Conversation" "activity"
"1676" "eat" "Textbook Fiction" "activity"
"1677" "eat" "Spoken BNC 2014" "activity"
"1678" "eat" "Textbook Conversation" "activity"
"1679" "eat" "Textbook Conversation" "activity"
"1680" "eat" "Spoken BNC 2014" "activity"
"1681" "eat" "Textbook Conversation" "activity"
"1682" "eat" "Textbook Conversation" "activity"
"1683" "eat" "Spoken BNC 2014" "activity"
"1684" "eat" "Textbook Fiction" "activity"
"1685" "eat" "Textbook Fiction" "activity"
"1686" "eat" "Textbook Fiction" "activity"
"1687" "eat" "Textbook Fiction" "activity"
"1688" "eat" "Textbook Conversation" "activity"
"1689" "eat" "Textbook Fiction" "activity"
"1690" "eat" "Spoken BNC 2014" "activity"
"1691" "eat" "Spoken BNC 2014" "activity"
"1692" "eat" "Youth Fiction Sampled" "activity"
"1693" "eat" "Textbook Conversation" "activity"
"1694" "eat" "Textbook Fiction" "activity"
"1695" "eat" "Spoken BNC 2014" "activity"
"1696" "eat" "Textbook Conversation" "activity"
"1697" "eat" "Youth Fiction Sampled" "activity"
"1698" "eat" "Textbook Fiction" "activity"
"1699" "eat" "Spoken BNC 2014" "activity"
"1700" "eat" "Textbook Fiction" "activity"
"1701" "eat" "Textbook Conversation" "activity"
"1702" "eavesdrop" "Youth Fiction Sampled" "activity"
"1703" "edge away" "Youth Fiction Sampled" "existence_relationship"
"1704" "elude" "Youth Fiction Sampled" "occurrence"
"1705" "emerge" "Textbook Conversation" "occurrence"
"1706" "emerge" "Textbook Conversation" "occurrence"
"1707" "encourage" "Spoken BNC 2014" "communication"
"1708" "encourage" "Textbook Fiction" "communication"
"1709" "encourage" "Spoken BNC 2014" "communication"
"1710" "encourage" "Textbook Conversation" "communication"
"1711" "end" "Spoken BNC 2014" "aspectual"
"1712" "engage in" "Youth Fiction Sampled" "activity"
"1713" "engulf" "Textbook Fiction" "occurrence"
"1714" "enjoy" "Youth Fiction Sampled" "mental"
"1715" "enjoy" "Textbook Conversation" "mental"
"1716" "enjoy" "Textbook Conversation" "mental"
"1717" "enjoy" "Textbook Conversation" "mental"
"1718" "enjoy" "Textbook Conversation" "mental"
"1719" "enjoy" "Textbook Fiction" "mental"
"1720" "enjoy" "Spoken BNC 2014" "mental"
"1721" "enjoy" "Textbook Fiction" "mental"
"1722" "enjoy" "Textbook Conversation" "mental"
"1723" "enjoy" "Spoken BNC 2014" "mental"
"1724" "enjoy" "Textbook Conversation" "mental"
"1725" "enjoy" "Textbook Conversation" "mental"
"1726" "enjoy" "Youth Fiction Sampled" "mental"
"1727" "enjoy" "Textbook Fiction" "mental"
"1728" "enjoy" "Textbook Fiction" "mental"
"1729" "enjoy" "Textbook Conversation" "mental"
"1730" "enjoy" "Textbook Conversation" "mental"
"1731" "enjoy" "Textbook Conversation" "mental"
"1732" "enjoy" "Textbook Conversation" "mental"
"1733" "enjoy" "Textbook Conversation" "mental"
"1734" "enjoy" "Spoken BNC 2014" "mental"
"1735" "enjoy" "Textbook Conversation" "mental"
"1736" "enjoy" "Textbook Conversation" "mental"
"1737" "enjoy" "Textbook Fiction" "mental"
"1738" "enjoy" "Spoken BNC 2014" "mental"
"1739" "enjoy" "Textbook Conversation" "mental"
"1740" "enjoy" "Textbook Conversation" "mental"
"1741" "enjoy" "Textbook Fiction" "mental"
"1742" "enjoy" "Textbook Conversation" "mental"
"1743" "enjoy" "Textbook Fiction" "mental"
"1744" "enjoy" "Spoken BNC 2014" "mental"
"1745" "enjoy" "Textbook Fiction" "mental"
"1746" "entertain" "Textbook Fiction" "activity"
"1747" "entertain" "Youth Fiction Sampled" "activity"
"1748" "entertain" "Youth Fiction Sampled" "activity"
