"Lemma"	"Corpus"
"607"	"wear"	"Youth Fiction Sampled"
"608"	"move"	"Youth Fiction Sampled"
"609"	"read"	"Youth Fiction Sampled"
"610"	"live"	"Youth Fiction Sampled"
"611"	"bring"	"Youth Fiction Sampled"
"612"	"return"	"Youth Fiction Sampled"
"613"	"think"	"Youth Fiction Sampled"
"614"	"shake"	"Youth Fiction Sampled"
"615"	"say"	"Youth Fiction Sampled"
"616"	"stand by"	"Youth Fiction Sampled"
"617"	"stand"	"Youth Fiction Sampled"
"618"	"compress"	"Youth Fiction Sampled"
"619"	"take"	"Youth Fiction Sampled"
"620"	"weaken"	"Youth Fiction Sampled"
"621"	"expect"	"Youth Fiction Sampled"
"622"	"get"	"Youth Fiction Sampled"
"623"	"talk about"	"Youth Fiction Sampled"
"624"	"listen"	"Youth Fiction Sampled"
"625"	"grow"	"Youth Fiction Sampled"
"626"	"bend over"	"Youth Fiction Sampled"
"627"	"pretend"	"Youth Fiction Sampled"
"628"	"put"	"Youth Fiction Sampled"
"629"	"read"	"Youth Fiction Sampled"
"630"	"wait"	"Youth Fiction Sampled"
"631"	"choke"	"Youth Fiction Sampled"
"632"	"grip"	"Youth Fiction Sampled"
"633"	"shiver"	"Youth Fiction Sampled"
"634"	"bring about"	"Youth Fiction Sampled"
"635"	"stretch"	"Youth Fiction Sampled"
"636"	"gather"	"Youth Fiction Sampled"
"637"	"panic"	"Youth Fiction Sampled"
"638"	"get"	"Youth Fiction Sampled"
"639"	"have"	"Youth Fiction Sampled"
"640"	"rush over"	"Youth Fiction Sampled"
"641"	"wonder"	"Youth Fiction Sampled"
"642"	"sit"	"Youth Fiction Sampled"
"643"	"panic"	"Youth Fiction Sampled"
"644"	"cluck"	"Youth Fiction Sampled"
"645"	"lie"	"Youth Fiction Sampled"
"646"	"think"	"Youth Fiction Sampled"
"647"	"happen"	"Youth Fiction Sampled"
"648"	"draw in"	"Youth Fiction Sampled"
"649"	"look"	"Youth Fiction Sampled"
"650"	"do"	"Youth Fiction Sampled"
"651"	"concentrate"	"Youth Fiction Sampled"
"652"	"do"	"Youth Fiction Sampled"
"653"	"think"	"Youth Fiction Sampled"
"654"	"go on"	"Youth Fiction Sampled"
"655"	"sit down"	"Youth Fiction Sampled"
"656"	"meddle"	"Youth Fiction Sampled"
"657"	"look at"	"Youth Fiction Sampled"
"658"	"worry"	"Youth Fiction Sampled"
"659"	"try"	"Youth Fiction Sampled"
"660"	"teach"	"Youth Fiction Sampled"
"661"	"hunt"	"Youth Fiction Sampled"
"662"	"rasp"	"Youth Fiction Sampled"
"663"	"watch"	"Youth Fiction Sampled"
"664"	"come"	"Youth Fiction Sampled"
"665"	"speak"	"Youth Fiction Sampled"
"666"	"mutter"	"Youth Fiction Sampled"
"667"	"eat"	"Youth Fiction Sampled"
"668"	"give"	"Youth Fiction Sampled"
"669"	"hide"	"Youth Fiction Sampled"
"670"	"try"	"Youth Fiction Sampled"
"671"	"feel"	"Youth Fiction Sampled"
"672"	"stroll around"	"Youth Fiction Sampled"
"673"	"monopolize"	"Youth Fiction Sampled"
"674"	"suggest"	"Youth Fiction Sampled"
"675"	"sulk"	"Youth Fiction Sampled"
"676"	"get"	"Youth Fiction Sampled"
"677"	"expect"	"Youth Fiction Sampled"
"678"	"winkle out"	"Youth Fiction Sampled"
"679"	"escape"	"Youth Fiction Sampled"
"680"	"sit"	"Youth Fiction Sampled"
"681"	"call"	"Youth Fiction Sampled"
"682"	"be"	"Youth Fiction Sampled"
"683"	"weep"	"Youth Fiction Sampled"
"684"	"live"	"Youth Fiction Sampled"
"685"	"think"	"Youth Fiction Sampled"
"686"	"look for"	"Youth Fiction Sampled"
"687"	"try"	"Youth Fiction Sampled"
"688"	"bay"	"Youth Fiction Sampled"
"689"	"shake"	"Youth Fiction Sampled"
"690"	"carry"	"Youth Fiction Sampled"
"691"	"share"	"Youth Fiction Sampled"
"692"	"say"	"Youth Fiction Sampled"
"693"	"begin"	"Youth Fiction Sampled"
"694"	"answer"	"Youth Fiction Sampled"
"695"	"stare into"	"Youth Fiction Sampled"
"696"	"lie"	"Youth Fiction Sampled"
"697"	"go through"	"Youth Fiction Sampled"
"698"	"traverse"	"Youth Fiction Sampled"
"699"	"review"	"Youth Fiction Sampled"
"700"	"come from"	"Youth Fiction Sampled"
"701"	"cry"	"Youth Fiction Sampled"
"702"	"get ready"	"Youth Fiction Sampled"
"703"	"do"	"Youth Fiction Sampled"
"704"	"stream"	"Youth Fiction Sampled"
"705"	"hang"	"Youth Fiction Sampled"
"706"	"pick"	"Youth Fiction Sampled"
"707"	"happen"	"Youth Fiction Sampled"
"708"	"try"	"Youth Fiction Sampled"
"709"	"look at"	"Youth Fiction Sampled"
"710"	"make sense"	"Youth Fiction Sampled"
"711"	"get"	"Youth Fiction Sampled"
"712"	"lie"	"Youth Fiction Sampled"
"713"	"think about"	"Youth Fiction Sampled"
"714"	"name"	"Youth Fiction Sampled"
"715"	"wear"	"Youth Fiction Sampled"
"716"	"talk"	"Youth Fiction Sampled"
"717"	"panic"	"Youth Fiction Sampled"
"718"	"begin"	"Youth Fiction Sampled"
"719"	"murmur"	"Youth Fiction Sampled"
"720"	"get"	"Youth Fiction Sampled"
"721"	"wait"	"Youth Fiction Sampled"
"722"	"kiss"	"Youth Fiction Sampled"
"723"	"do"	"Youth Fiction Sampled"
"724"	"write"	"Youth Fiction Sampled"
"725"	"do"	"Youth Fiction Sampled"
"726"	"come"	"Youth Fiction Sampled"
"727"	"guard"	"Youth Fiction Sampled"
"728"	"read out"	"Youth Fiction Sampled"
"729"	"starve"	"Youth Fiction Sampled"
"730"	"vanish"	"Youth Fiction Sampled"
"731"	"sit"	"Youth Fiction Sampled"
"732"	"clean"	"Youth Fiction Sampled"
"733"	"chew away"	"Youth Fiction Sampled"
"734"	"tell"	"Youth Fiction Sampled"
"735"	"come"	"Youth Fiction Sampled"
"736"	"be"	"Youth Fiction Sampled"
"737"	"try"	"Youth Fiction Sampled"
"738"	"say"	"Youth Fiction Sampled"
"739"	"take"	"Youth Fiction Sampled"
"740"	"read"	"Youth Fiction Sampled"
"741"	"lounge"	"Youth Fiction Sampled"
"742"	"try"	"Youth Fiction Sampled"
"743"	"block"	"Youth Fiction Sampled"
"744"	"lie"	"Youth Fiction Sampled"
"745"	"do"	"Youth Fiction Sampled"
"746"	"go"	"Youth Fiction Sampled"
"747"	"send in"	"Youth Fiction Sampled"
"748"	"starve"	"Youth Fiction Sampled"
"749"	"meet"	"Youth Fiction Sampled"
"750"	"say"	"Youth Fiction Sampled"
"751"	"think"	"Youth Fiction Sampled"
"752"	"go on"	"Youth Fiction Sampled"
"753"	"hear"	"Youth Fiction Sampled"
"754"	"give"	"Youth Fiction Sampled"
"755"	"drink"	"Youth Fiction Sampled"
"756"	"read"	"Youth Fiction Sampled"
"757"	"think about"	"Youth Fiction Sampled"
"758"	"clash"	"Youth Fiction Sampled"
"759"	"think"	"Youth Fiction Sampled"
"760"	"grin"	"Youth Fiction Sampled"
"761"	"plan"	"Youth Fiction Sampled"
"762"	"talk"	"Youth Fiction Sampled"
"763"	"ship"	"Youth Fiction Sampled"
"764"	"become"	"Youth Fiction Sampled"
"765"	"sit up"	"Youth Fiction Sampled"
"766"	"suffer"	"Youth Fiction Sampled"
"767"	"head"	"Youth Fiction Sampled"
"768"	"look for"	"Youth Fiction Sampled"
"769"	"try"	"Youth Fiction Sampled"
"770"	"lean back"	"Youth Fiction Sampled"
"771"	"give"	"Youth Fiction Sampled"
"772"	"ride"	"Youth Fiction Sampled"
"773"	"watch"	"Youth Fiction Sampled"
"774"	"get"	"Youth Fiction Sampled"
"775"	"refer to"	"Youth Fiction Sampled"
"776"	"come"	"Youth Fiction Sampled"
"777"	"come"	"Youth Fiction Sampled"
"778"	"stream"	"Youth Fiction Sampled"
"779"	"make"	"Youth Fiction Sampled"
"780"	"get"	"Youth Fiction Sampled"
"781"	"lie"	"Youth Fiction Sampled"
"782"	"happen"	"Youth Fiction Sampled"
"783"	"try"	"Youth Fiction Sampled"
"784"	"laugh"	"Youth Fiction Sampled"
"785"	"hold"	"Youth Fiction Sampled"
"786"	"clap"	"Youth Fiction Sampled"
"787"	"hide"	"Youth Fiction Sampled"
"788"	"hope"	"Youth Fiction Sampled"
"789"	"rise"	"Youth Fiction Sampled"
"790"	"happen"	"Youth Fiction Sampled"
"791"	"do"	"Youth Fiction Sampled"
"792"	"eat"	"Youth Fiction Sampled"
"793"	"talk about"	"Youth Fiction Sampled"
"794"	"run"	"Youth Fiction Sampled"
"795"	"sit"	"Youth Fiction Sampled"
"796"	"lie"	"Youth Fiction Sampled"
"797"	"interrogate"	"Youth Fiction Sampled"
"798"	"come back"	"Youth Fiction Sampled"
"799"	"carry"	"Youth Fiction Sampled"
"800"	"go"	"Youth Fiction Sampled"
"801"	"try"	"Youth Fiction Sampled"
"802"	"leap aside"	"Youth Fiction Sampled"
"803"	"refer to"	"Youth Fiction Sampled"
"804"	"wait"	"Youth Fiction Sampled"
"805"	"do"	"Youth Fiction Sampled"
"806"	"try"	"Youth Fiction Sampled"
"807"	"wear"	"Youth Fiction Sampled"
"808"	"look"	"Youth Fiction Sampled"
"809"	"go"	"Youth Fiction Sampled"
"810"	"try"	"Youth Fiction Sampled"
"811"	"grow"	"Youth Fiction Sampled"
"812"	"hold"	"Youth Fiction Sampled"
"813"	"smile"	"Youth Fiction Sampled"
"814"	"do"	"Youth Fiction Sampled"
"815"	"have"	"Youth Fiction Sampled"
"816"	"do"	"Youth Fiction Sampled"
"817"	"wander about"	"Youth Fiction Sampled"
"818"	"act"	"Youth Fiction Sampled"
"819"	"have"	"Youth Fiction Sampled"
"820"	"get"	"Youth Fiction Sampled"
"821"	"touch"	"Youth Fiction Sampled"
"822"	"kid"	"Youth Fiction Sampled"
"823"	"wait"	"Youth Fiction Sampled"
"824"	"try"	"Youth Fiction Sampled"
"825"	"make"	"Youth Fiction Sampled"
"826"	"snow"	"Youth Fiction Sampled"
"827"	"look at"	"Youth Fiction Sampled"
"828"	"have"	"Youth Fiction Sampled"
"829"	"live"	"Youth Fiction Sampled"
"830"	"talk about"	"Youth Fiction Sampled"
"831"	"do"	"Youth Fiction Sampled"
"832"	"travel"	"Youth Fiction Sampled"
"833"	"shine"	"Youth Fiction Sampled"
"834"	"regard"	"Youth Fiction Sampled"
"835"	"feed"	"Youth Fiction Sampled"
"836"	"form up"	"Youth Fiction Sampled"
"837"	"set"	"Youth Fiction Sampled"
"838"	"be"	"Youth Fiction Sampled"
"839"	"wreck"	"Youth Fiction Sampled"
"840"	"garden"	"Youth Fiction Sampled"
"841"	"order"	"Youth Fiction Sampled"
"842"	"glow"	"Youth Fiction Sampled"
"843"	"pile up"	"Youth Fiction Sampled"
"844"	"look for"	"Youth Fiction Sampled"
"845"	"sweat"	"Youth Fiction Sampled"
"846"	"do"	"Youth Fiction Sampled"
"847"	"wake up"	"Youth Fiction Sampled"
"848"	"wear"	"Youth Fiction Sampled"
"849"	"move"	"Youth Fiction Sampled"
"850"	"talk"	"Youth Fiction Sampled"
"851"	"tell"	"Youth Fiction Sampled"
"852"	"talk about"	"Youth Fiction Sampled"
"853"	"try"	"Youth Fiction Sampled"
"854"	"do"	"Youth Fiction Sampled"
"855"	"tessellate"	"Youth Fiction Sampled"
"856"	"shout"	"Youth Fiction Sampled"
"857"	"fix up"	"Youth Fiction Sampled"
"858"	"plan"	"Youth Fiction Sampled"
"859"	"laugh"	"Youth Fiction Sampled"
"860"	"begin"	"Youth Fiction Sampled"
"861"	"darken"	"Youth Fiction Sampled"
"862"	"be"	"Youth Fiction Sampled"
"863"	"be"	"Youth Fiction Sampled"
"864"	"learn"	"Youth Fiction Sampled"
"865"	"wait"	"Youth Fiction Sampled"
"866"	"come"	"Youth Fiction Sampled"
"867"	"like"	"Youth Fiction Sampled"
"868"	"follow"	"Youth Fiction Sampled"
"869"	"watch"	"Youth Fiction Sampled"
"870"	"blame"	"Youth Fiction Sampled"
"871"	"change"	"Youth Fiction Sampled"
"872"	"sit"	"Youth Fiction Sampled"
"873"	"run"	"Youth Fiction Sampled"
"874"	"wear"	"Youth Fiction Sampled"
"875"	"crush"	"Youth Fiction Sampled"
"876"	"place"	"Youth Fiction Sampled"
"877"	"paint"	"Youth Fiction Sampled"
"878"	"prepare"	"Youth Fiction Sampled"
"879"	"flick through"	"Youth Fiction Sampled"
"880"	"do"	"Youth Fiction Sampled"
"881"	"happen"	"Youth Fiction Sampled"
"882"	"joke"	"Youth Fiction Sampled"
"883"	"feel"	"Youth Fiction Sampled"
"884"	"look for"	"Youth Fiction Sampled"
"885"	"flash"	"Youth Fiction Sampled"
"886"	"stare"	"Youth Fiction Sampled"
"887"	"do"	"Youth Fiction Sampled"
"888"	"chain up"	"Youth Fiction Sampled"
"889"	"wait"	"Youth Fiction Sampled"
"890"	"go on"	"Youth Fiction Sampled"
"891"	"remind"	"Youth Fiction Sampled"
"892"	"growl"	"Youth Fiction Sampled"
"893"	"begin"	"Youth Fiction Sampled"
"894"	"cry out"	"Youth Fiction Sampled"
"895"	"milk"	"Youth Fiction Sampled"
"896"	"sleep"	"Youth Fiction Sampled"
"897"	"rush"	"Youth Fiction Sampled"
"898"	"hunt"	"Youth Fiction Sampled"
"899"	"say"	"Youth Fiction Sampled"
"900"	"sit"	"Youth Fiction Sampled"
"901"	"watch"	"Youth Fiction Sampled"
"902"	"have"	"Youth Fiction Sampled"
"903"	"cry"	"Youth Fiction Sampled"
"904"	"do"	"Youth Fiction Sampled"
"905"	"think about"	"Youth Fiction Sampled"
"906"	"talk about"	"Youth Fiction Sampled"
"907"	"doze off"	"Youth Fiction Sampled"
"908"	"smile"	"Youth Fiction Sampled"
"909"	"advance"	"Youth Fiction Sampled"
"910"	"come"	"Youth Fiction Sampled"
"911"	"do"	"Youth Fiction Sampled"
"912"	"drench"	"Youth Fiction Sampled"
"913"	"stare at"	"Youth Fiction Sampled"
"914"	"shine"	"Youth Fiction Sampled"
"915"	"prepare"	"Youth Fiction Sampled"
"916"	"punch"	"Youth Fiction Sampled"
"917"	"listen"	"Youth Fiction Sampled"
"918"	"go"	"Youth Fiction Sampled"
"919"	"race"	"Youth Fiction Sampled"
"920"	"bear down on"	"Youth Fiction Sampled"
"921"	"begin"	"Youth Fiction Sampled"
"922"	"swarm"	"Youth Fiction Sampled"
"923"	"see"	"Youth Fiction Sampled"
"924"	"try"	"Youth Fiction Sampled"
"925"	"imitate"	"Youth Fiction Sampled"
"926"	"try"	"Youth Fiction Sampled"
"927"	"say"	"Youth Fiction Sampled"
"928"	"try"	"Youth Fiction Sampled"
"929"	"run"	"Youth Fiction Sampled"
"930"	"write out"	"Youth Fiction Sampled"
"931"	"wind up"	"Youth Fiction Sampled"
"932"	"reach"	"Youth Fiction Sampled"
"933"	"address"	"Youth Fiction Sampled"
"934"	"wear"	"Youth Fiction Sampled"
"935"	"stand"	"Youth Fiction Sampled"
"936"	"stand up"	"Youth Fiction Sampled"
"937"	"feel"	"Youth Fiction Sampled"
"938"	"cry"	"Youth Fiction Sampled"
"939"	"throw"	"Youth Fiction Sampled"
"940"	"move"	"Youth Fiction Sampled"
"941"	"make"	"Youth Fiction Sampled"
"942"	"quit"	"Youth Fiction Sampled"
"943"	"laugh"	"Youth Fiction Sampled"
"944"	"try"	"Youth Fiction Sampled"
"945"	"organize"	"Youth Fiction Sampled"
"946"	"plan"	"Youth Fiction Sampled"
"947"	"feel"	"Youth Fiction Sampled"
"948"	"follow"	"Youth Fiction Sampled"
"949"	"sing"	"Youth Fiction Sampled"
"950"	"talk"	"Youth Fiction Sampled"
"951"	"snort"	"Youth Fiction Sampled"
"952"	"work on"	"Youth Fiction Sampled"
"953"	"tear"	"Youth Fiction Sampled"
"954"	"spin"	"Youth Fiction Sampled"
"955"	"change"	"Youth Fiction Sampled"
"956"	"make"	"Youth Fiction Sampled"
"957"	"grin"	"Youth Fiction Sampled"
"958"	"consider"	"Youth Fiction Sampled"
"959"	"go"	"Youth Fiction Sampled"
"960"	"swim out"	"Youth Fiction Sampled"
"961"	"tingle"	"Youth Fiction Sampled"
"962"	"ache"	"Youth Fiction Sampled"
"963"	"begin"	"Youth Fiction Sampled"
"964"	"take in"	"Youth Fiction Sampled"
"965"	"sit"	"Youth Fiction Sampled"
"966"	"work"	"Youth Fiction Sampled"
"967"	"come down"	"Youth Fiction Sampled"
"968"	"smile"	"Youth Fiction Sampled"
"969"	"try"	"Youth Fiction Sampled"
"970"	"sit"	"Youth Fiction Sampled"
"971"	"do"	"Youth Fiction Sampled"
"972"	"beat up"	"Youth Fiction Sampled"
"973"	"look at"	"Youth Fiction Sampled"
"974"	"lie"	"Youth Fiction Sampled"
"975"	"tremble"	"Youth Fiction Sampled"
"976"	"wait"	"Youth Fiction Sampled"
"977"	"wear"	"Youth Fiction Sampled"
"978"	"issue"	"Youth Fiction Sampled"
"979"	"follow"	"Youth Fiction Sampled"
"980"	"look for"	"Youth Fiction Sampled"
"981"	"come"	"Youth Fiction Sampled"
"982"	"leap"	"Youth Fiction Sampled"
"983"	"make"	"Youth Fiction Sampled"
"984"	"lay"	"Youth Fiction Sampled"
"985"	"lick"	"Youth Fiction Sampled"
"986"	"lie"	"Youth Fiction Sampled"
"987"	"point"	"Youth Fiction Sampled"
"988"	"do"	"Youth Fiction Sampled"
"989"	"touch"	"Youth Fiction Sampled"
"990"	"do"	"Youth Fiction Sampled"
"991"	"turn"	"Youth Fiction Sampled"
"992"	"say"	"Youth Fiction Sampled"
"993"	"drool"	"Youth Fiction Sampled"
"994"	"work at"	"Youth Fiction Sampled"
"995"	"show"	"Youth Fiction Sampled"
"996"	"go"	"Youth Fiction Sampled"
"997"	"watch"	"Youth Fiction Sampled"
"998"	"come"	"Youth Fiction Sampled"
"999"	"crouch"	"Youth Fiction Sampled"
"1000"	"do"	"Youth Fiction Sampled"
"1001"	"come"	"Youth Fiction Sampled"
"1002"	"wonder"	"Youth Fiction Sampled"
"1003"	"explain"	"Youth Fiction Sampled"
"1004"	"sit"	"Youth Fiction Sampled"
"1005"	"lie"	"Youth Fiction Sampled"
"1006"	"try"	"Youth Fiction Sampled"
"1007"	"shine"	"Youth Fiction Sampled"
"1008"	"race"	"Youth Fiction Sampled"
"1009"	"lie"	"Youth Fiction Sampled"
"1010"	"fly"	"Youth Fiction Sampled"
"1011"	"do"	"Youth Fiction Sampled"
"1012"	"happen"	"Youth Fiction Sampled"
"1013"	"sell"	"Youth Fiction Sampled"
"1014"	"do"	"Youth Fiction Sampled"
"1015"	"drop"	"Youth Fiction Sampled"
"1016"	"overflow"	"Youth Fiction Sampled"
"1017"	"cry"	"Youth Fiction Sampled"
"1018"	"come"	"Youth Fiction Sampled"
"1019"	"pass"	"Youth Fiction Sampled"
"1020"	"deliver"	"Youth Fiction Sampled"
"1021"	"teeter"	"Youth Fiction Sampled"
"1022"	"give"	"Youth Fiction Sampled"
"1023"	"cry"	"Youth Fiction Sampled"
"1024"	"have"	"Youth Fiction Sampled"
"1025"	"hurry"	"Youth Fiction Sampled"
"1026"	"think of"	"Youth Fiction Sampled"
"1027"	"check"	"Youth Fiction Sampled"
"1028"	"reappear"	"Youth Fiction Sampled"
"1029"	"study"	"Youth Fiction Sampled"
"1030"	"feel"	"Youth Fiction Sampled"
"1031"	"fly"	"Youth Fiction Sampled"
"1032"	"carry"	"Youth Fiction Sampled"
"1033"	"think of"	"Youth Fiction Sampled"
"1034"	"put at ease"	"Youth Fiction Sampled"
"1035"	"arrange"	"Youth Fiction Sampled"
"1036"	"do"	"Youth Fiction Sampled"
"1037"	"joke"	"Youth Fiction Sampled"
"1038"	"blow up"	"Youth Fiction Sampled"
"1039"	"hope"	"Youth Fiction Sampled"
"1040"	"joke"	"Youth Fiction Sampled"
"1041"	"try"	"Youth Fiction Sampled"
"1042"	"run short"	"Youth Fiction Sampled"
"1043"	"go through"	"Youth Fiction Sampled"
"1044"	"tremble"	"Youth Fiction Sampled"
"1045"	"try"	"Youth Fiction Sampled"
"1046"	"go"	"Youth Fiction Sampled"
"1047"	"start"	"Youth Fiction Sampled"
"1048"	"do"	"Youth Fiction Sampled"
"1049"	"bend over"	"Youth Fiction Sampled"
"1050"	"run high"	"Youth Fiction Sampled"
"1051"	"buzz"	"Youth Fiction Sampled"
"1052"	"read"	"Youth Fiction Sampled"
"1053"	"rush"	"Youth Fiction Sampled"
"1054"	"come"	"Youth Fiction Sampled"
"1055"	"get"	"Youth Fiction Sampled"
"1056"	"go"	"Youth Fiction Sampled"
"1057"	"engage in"	"Youth Fiction Sampled"
"1058"	"do"	"Youth Fiction Sampled"
"1059"	"move"	"Youth Fiction Sampled"
"1060"	"see"	"Youth Fiction Sampled"
"1061"	"fly"	"Youth Fiction Sampled"
"1062"	"ooze"	"Youth Fiction Sampled"
"1063"	"do"	"Youth Fiction Sampled"
"1064"	"run low"	"Youth Fiction Sampled"
"1065"	"carry"	"Youth Fiction Sampled"
"1066"	"see"	"Youth Fiction Sampled"
"1067"	"do"	"Youth Fiction Sampled"
"1068"	"drift"	"Youth Fiction Sampled"
"1069"	"go wrong"	"Youth Fiction Sampled"
"1070"	"sob"	"Youth Fiction Sampled"
"1071"	"talk about"	"Youth Fiction Sampled"
"1072"	"come out"	"Youth Fiction Sampled"
"1073"	"get"	"Youth Fiction Sampled"
"1074"	"go"	"Youth Fiction Sampled"
"1075"	"hold"	"Youth Fiction Sampled"
"1076"	"say"	"Youth Fiction Sampled"
"1077"	"get"	"Youth Fiction Sampled"
"1078"	"read"	"Youth Fiction Sampled"
"1079"	"look forward"	"Youth Fiction Sampled"
"1080"	"get into"	"Youth Fiction Sampled"
"1081"	"play"	"Youth Fiction Sampled"
"1082"	"kid"	"Youth Fiction Sampled"
"1083"	"enjoy"	"Youth Fiction Sampled"
"1084"	"fight down"	"Youth Fiction Sampled"
"1085"	"feel"	"Youth Fiction Sampled"
"1086"	"face up"	"Youth Fiction Sampled"
"1087"	"stand"	"Youth Fiction Sampled"
"1088"	"beat"	"Youth Fiction Sampled"
"1089"	"plan"	"Youth Fiction Sampled"
"1090"	"grip"	"Youth Fiction Sampled"
"1091"	"think"	"Youth Fiction Sampled"
"1092"	"limp"	"Youth Fiction Sampled"
"1093"	"stand back"	"Youth Fiction Sampled"
"1094"	"argue"	"Youth Fiction Sampled"
"1095"	"feel"	"Youth Fiction Sampled"
"1096"	"pop up"	"Youth Fiction Sampled"
"1097"	"talk about"	"Youth Fiction Sampled"
"1098"	"pull"	"Youth Fiction Sampled"
"1099"	"listen"	"Youth Fiction Sampled"
"1100"	"lose"	"Youth Fiction Sampled"
"1101"	"stand"	"Youth Fiction Sampled"
"1102"	"discuss"	"Youth Fiction Sampled"
"1103"	"wander about"	"Youth Fiction Sampled"
"1104"	"say"	"Youth Fiction Sampled"
"1105"	"accord"	"Youth Fiction Sampled"
"1106"	"check"	"Youth Fiction Sampled"
"1107"	"make"	"Youth Fiction Sampled"
"1108"	"live up"	"Youth Fiction Sampled"
"1109"	"do"	"Youth Fiction Sampled"
"1110"	"head"	"Youth Fiction Sampled"
"1111"	"wear"	"Youth Fiction Sampled"
"1112"	"whisper"	"Youth Fiction Sampled"
"1113"	"go"	"Youth Fiction Sampled"
"1114"	"fool"	"Youth Fiction Sampled"
"1115"	"do"	"Youth Fiction Sampled"
"1116"	"rest"	"Youth Fiction Sampled"
"1117"	"run"	"Youth Fiction Sampled"
"1118"	"feel"	"Youth Fiction Sampled"
"1119"	"fight"	"Youth Fiction Sampled"
"1120"	"go"	"Youth Fiction Sampled"
"1121"	"hunt"	"Youth Fiction Sampled"
"1122"	"begin"	"Youth Fiction Sampled"
"1123"	"watch"	"Youth Fiction Sampled"
"1124"	"run out"	"Youth Fiction Sampled"
"1125"	"call"	"Youth Fiction Sampled"
"1126"	"give"	"Youth Fiction Sampled"
"1127"	"have"	"Youth Fiction Sampled"
"1128"	"lack"	"Youth Fiction Sampled"
"1129"	"drift"	"Youth Fiction Sampled"
"1130"	"leave"	"Youth Fiction Sampled"
"1131"	"try"	"Youth Fiction Sampled"
"1132"	"iron"	"Youth Fiction Sampled"
"1133"	"stare"	"Youth Fiction Sampled"
"1134"	"call"	"Youth Fiction Sampled"
"1135"	"work on"	"Youth Fiction Sampled"
"1136"	"move"	"Youth Fiction Sampled"
"1137"	"count on"	"Youth Fiction Sampled"
"1138"	"stay"	"Youth Fiction Sampled"
"1139"	"get"	"Youth Fiction Sampled"
"1140"	"try"	"Youth Fiction Sampled"
"1141"	"tell"	"Youth Fiction Sampled"
"1142"	"come"	"Youth Fiction Sampled"
"1143"	"sing"	"Youth Fiction Sampled"
"1144"	"have"	"Youth Fiction Sampled"
"1145"	"chuck"	"Youth Fiction Sampled"
"1146"	"think of"	"Youth Fiction Sampled"
"1147"	"make"	"Youth Fiction Sampled"
"1148"	"check"	"Youth Fiction Sampled"
"1149"	"ride high"	"Youth Fiction Sampled"
"1150"	"tan"	"Youth Fiction Sampled"
"1151"	"extract"	"Youth Fiction Sampled"
"1152"	"play"	"Youth Fiction Sampled"
"1153"	"follow"	"Youth Fiction Sampled"
"1154"	"get"	"Youth Fiction Sampled"
"1155"	"think"	"Youth Fiction Sampled"
"1156"	"sit"	"Youth Fiction Sampled"
"1157"	"look for"	"Youth Fiction Sampled"
"1158"	"plug away"	"Youth Fiction Sampled"
"1159"	"put about"	"Youth Fiction Sampled"
"1160"	"confuse"	"Youth Fiction Sampled"
"1161"	"send back"	"Youth Fiction Sampled"
"1162"	"lose"	"Youth Fiction Sampled"
"1163"	"flame"	"Youth Fiction Sampled"
"1164"	"stand"	"Youth Fiction Sampled"
"1165"	"drink"	"Youth Fiction Sampled"
"1166"	"bleed"	"Youth Fiction Sampled"
"1167"	"talk"	"Youth Fiction Sampled"
"1168"	"think"	"Youth Fiction Sampled"
"1169"	"trouble"	"Youth Fiction Sampled"
"1170"	"think"	"Youth Fiction Sampled"
"1171"	"try"	"Youth Fiction Sampled"
"1172"	"cry"	"Youth Fiction Sampled"
"1173"	"stand"	"Youth Fiction Sampled"
"1174"	"talk"	"Youth Fiction Sampled"
"1175"	"get"	"Youth Fiction Sampled"
"1176"	"play"	"Youth Fiction Sampled"
"1177"	"take revenge"	"Youth Fiction Sampled"
"1178"	"miss"	"Youth Fiction Sampled"
"1179"	"send"	"Youth Fiction Sampled"
"1180"	"do"	"Youth Fiction Sampled"
"1181"	"be"	"Youth Fiction Sampled"
"1182"	"think"	"Youth Fiction Sampled"
"1183"	"speak"	"Youth Fiction Sampled"
"1184"	"stare at"	"Youth Fiction Sampled"
"1185"	"send"	"Youth Fiction Sampled"
"1186"	"take"	"Youth Fiction Sampled"
"1187"	"go"	"Youth Fiction Sampled"
"1188"	"wonder"	"Youth Fiction Sampled"
"1189"	"be"	"Youth Fiction Sampled"
"1190"	"breathe"	"Youth Fiction Sampled"
"1191"	"say"	"Youth Fiction Sampled"
"1192"	"think"	"Youth Fiction Sampled"
"1193"	"go"	"Youth Fiction Sampled"
"1194"	"work"	"Youth Fiction Sampled"
"1195"	"quiver"	"Youth Fiction Sampled"
"1196"	"come in"	"Youth Fiction Sampled"
"1197"	"do"	"Youth Fiction Sampled"
"1198"	"cling on"	"Youth Fiction Sampled"
"1199"	"mount up"	"Youth Fiction Sampled"
"1200"	"stand"	"Youth Fiction Sampled"
"1201"	"come"	"Youth Fiction Sampled"
"1202"	"go"	"Youth Fiction Sampled"
"1203"	"leave"	"Youth Fiction Sampled"
"1204"	"work away"	"Youth Fiction Sampled"
"1205"	"daydream"	"Youth Fiction Sampled"
"1206"	"watch"	"Youth Fiction Sampled"
"1207"	"ponder"	"Youth Fiction Sampled"
"1208"	"snore"	"Youth Fiction Sampled"
