"Lemma"	"Corpus"
"140"	"look for"	"Youth Fiction Sampled"
"141"	"tremble"	"Youth Fiction Sampled"
"142"	"learn"	"Youth Fiction Sampled"
"143"	"stare at"	"Youth Fiction Sampled"
"144"	"have"	"Youth Fiction Sampled"
"145"	"work on"	"Youth Fiction Sampled"
"146"	"crouch"	"Youth Fiction Sampled"
"147"	"become"	"Youth Fiction Sampled"
"148"	"kiss"	"Youth Fiction Sampled"
"149"	"sing"	"Youth Fiction Sampled"
"150"	"hail"	"Youth Fiction Sampled"
"151"	"smoke"	"Youth Fiction Sampled"
"152"	"walk"	"Youth Fiction Sampled"
"153"	"do"	"Youth Fiction Sampled"
"154"	"sit up"	"Youth Fiction Sampled"
"155"	"hold"	"Youth Fiction Sampled"
"156"	"bear aloft"	"Youth Fiction Sampled"
"157"	"pay sb attention"	"Youth Fiction Sampled"
"158"	"come"	"Youth Fiction Sampled"
"159"	"sit"	"Youth Fiction Sampled"
"160"	"have"	"Youth Fiction Sampled"
"161"	"train"	"Youth Fiction Sampled"
"162"	"hold"	"Youth Fiction Sampled"
"163"	"ride"	"Youth Fiction Sampled"
"164"	"reel"	"Youth Fiction Sampled"
"165"	"shoot"	"Youth Fiction Sampled"
"166"	"stand"	"Youth Fiction Sampled"
"167"	"sell"	"Youth Fiction Sampled"
"168"	"hear"	"Youth Fiction Sampled"
"169"	"squeeze"	"Youth Fiction Sampled"
"170"	"do"	"Youth Fiction Sampled"
"171"	"rush"	"Youth Fiction Sampled"
"172"	"drink"	"Youth Fiction Sampled"
"173"	"get"	"Youth Fiction Sampled"
"174"	"begin"	"Youth Fiction Sampled"
"175"	"listen"	"Youth Fiction Sampled"
"176"	"sleep"	"Youth Fiction Sampled"
"177"	"leave"	"Youth Fiction Sampled"
"178"	"blow"	"Youth Fiction Sampled"
"179"	"turn over"	"Youth Fiction Sampled"
"180"	"singe"	"Youth Fiction Sampled"
"181"	"think"	"Youth Fiction Sampled"
"182"	"remember"	"Youth Fiction Sampled"
"183"	"be"	"Youth Fiction Sampled"
"184"	"happen"	"Youth Fiction Sampled"
"185"	"sit"	"Youth Fiction Sampled"
"186"	"work"	"Youth Fiction Sampled"
"187"	"beckon"	"Youth Fiction Sampled"
"188"	"warm up"	"Youth Fiction Sampled"
"189"	"begin"	"Youth Fiction Sampled"
"190"	"count"	"Youth Fiction Sampled"
"191"	"call"	"Youth Fiction Sampled"
"192"	"do"	"Youth Fiction Sampled"
"193"	"kid"	"Youth Fiction Sampled"
"194"	"think"	"Youth Fiction Sampled"
"195"	"get"	"Youth Fiction Sampled"
"196"	"know"	"Youth Fiction Sampled"
"197"	"lie"	"Youth Fiction Sampled"
"198"	"wonder"	"Youth Fiction Sampled"
"199"	"go back"	"Youth Fiction Sampled"
"200"	"leave"	"Youth Fiction Sampled"
"201"	"lie"	"Youth Fiction Sampled"
"202"	"sit"	"Youth Fiction Sampled"
"203"	"travel"	"Youth Fiction Sampled"
"204"	"wear"	"Youth Fiction Sampled"
"205"	"fade"	"Youth Fiction Sampled"
"206"	"fade away"	"Youth Fiction Sampled"
"207"	"chat"	"Youth Fiction Sampled"
"208"	"hold"	"Youth Fiction Sampled"
"209"	"miss"	"Youth Fiction Sampled"
"210"	"go on"	"Youth Fiction Sampled"
"211"	"think"	"Youth Fiction Sampled"
"212"	"shootle"	"Youth Fiction Sampled"
"213"	"chase"	"Youth Fiction Sampled"
"214"	"talk"	"Youth Fiction Sampled"
"215"	"grow"	"Youth Fiction Sampled"
"216"	"wait"	"Youth Fiction Sampled"
"217"	"stare at"	"Youth Fiction Sampled"
"218"	"look at"	"Youth Fiction Sampled"
"219"	"dance"	"Youth Fiction Sampled"
"220"	"hold on"	"Youth Fiction Sampled"
"221"	"telephone"	"Youth Fiction Sampled"
"222"	"sit"	"Youth Fiction Sampled"
"223"	"eavesdrop"	"Youth Fiction Sampled"
"224"	"jest"	"Youth Fiction Sampled"
"225"	"hang"	"Youth Fiction Sampled"
"226"	"dawn"	"Youth Fiction Sampled"
"227"	"start"	"Youth Fiction Sampled"
"228"	"be"	"Youth Fiction Sampled"
"229"	"drag"	"Youth Fiction Sampled"
"230"	"make"	"Youth Fiction Sampled"
"231"	"ride"	"Youth Fiction Sampled"
"232"	"talk to"	"Youth Fiction Sampled"
"233"	"look forward"	"Youth Fiction Sampled"
"234"	"walk"	"Youth Fiction Sampled"
"235"	"go"	"Youth Fiction Sampled"
"236"	"lose"	"Youth Fiction Sampled"
"237"	"say"	"Youth Fiction Sampled"
"238"	"trouble"	"Youth Fiction Sampled"
"239"	"happen"	"Youth Fiction Sampled"
"240"	"sit"	"Youth Fiction Sampled"
"241"	"sit"	"Youth Fiction Sampled"
"242"	"demand"	"Youth Fiction Sampled"
"243"	"fly over"	"Youth Fiction Sampled"
"244"	"lose"	"Youth Fiction Sampled"
"245"	"feed"	"Youth Fiction Sampled"
"246"	"hover"	"Youth Fiction Sampled"
"247"	"peep in"	"Youth Fiction Sampled"
"248"	"wait"	"Youth Fiction Sampled"
"249"	"grow up"	"Youth Fiction Sampled"
"250"	"search for"	"Youth Fiction Sampled"
"251"	"tell"	"Youth Fiction Sampled"
"252"	"clean up"	"Youth Fiction Sampled"
"253"	"help"	"Youth Fiction Sampled"
"254"	"make"	"Youth Fiction Sampled"
"255"	"bristle"	"Youth Fiction Sampled"
"256"	"yell"	"Youth Fiction Sampled"
"257"	"come"	"Youth Fiction Sampled"
"258"	"jerk"	"Youth Fiction Sampled"
"259"	"spread"	"Youth Fiction Sampled"
"260"	"hang on"	"Youth Fiction Sampled"
"261"	"teach"	"Youth Fiction Sampled"
"262"	"try"	"Youth Fiction Sampled"
"263"	"look"	"Youth Fiction Sampled"
"264"	"chase"	"Youth Fiction Sampled"
"265"	"feel"	"Youth Fiction Sampled"
"266"	"tell"	"Youth Fiction Sampled"
"267"	"think about"	"Youth Fiction Sampled"
"268"	"take"	"Youth Fiction Sampled"
"269"	"complain"	"Youth Fiction Sampled"
"270"	"give"	"Youth Fiction Sampled"
"271"	"lie asleep"	"Youth Fiction Sampled"
"272"	"look through"	"Youth Fiction Sampled"
"273"	"bubble"	"Youth Fiction Sampled"
"274"	"work"	"Youth Fiction Sampled"
"275"	"pull"	"Youth Fiction Sampled"
"276"	"leap"	"Youth Fiction Sampled"
"277"	"listen"	"Youth Fiction Sampled"
"278"	"think"	"Youth Fiction Sampled"
"279"	"confer with"	"Youth Fiction Sampled"
"280"	"dig"	"Youth Fiction Sampled"
"281"	"seethe"	"Youth Fiction Sampled"
"282"	"put"	"Youth Fiction Sampled"
"283"	"live up"	"Youth Fiction Sampled"
"284"	"go under"	"Youth Fiction Sampled"
"285"	"say"	"Youth Fiction Sampled"
"286"	"talk"	"Youth Fiction Sampled"
"287"	"do"	"Youth Fiction Sampled"
"288"	"go"	"Youth Fiction Sampled"
"289"	"hide"	"Youth Fiction Sampled"
"290"	"run"	"Youth Fiction Sampled"
