"lemma"	"TxB_Nar_prog_count"	"TxB_Nar_non_prog"
"309"	"pile"	0	1
"311"	"place"	0	16
"312"	"plan"	4	12
"313"	"play"	12	86
"316"	"pluck"	0	1
"317"	"plug"	0	1
"318"	"point"	2	54
"320"	"pop"	0	6
"321"	"pound"	1	3
"322"	"pour"	1	10
"323"	"practice"	0	6
"324"	"practise"	2	12
"325"	"pray"	1	6
"327"	"prepare"	4	16
"328"	"present"	0	2
"329"	"press"	1	22
"330"	"pretend"	1	11
"331"	"protect"	0	4
"332"	"prove"	0	3
"334"	"pull"	0	72
"336"	"punch"	0	2
"337"	"push"	2	40
"338"	"put"	2	192
"339"	"queue"	1	1
"340"	"quit"	0	1
"342"	"race"	2	11
"343"	"rain"	7	6
"344"	"raise"	2	23
"346"	"reach"	2	51
"347"	"read"	14	88
"348"	"realise"	1	19
"350"	"recall"	0	2
"351"	"recharge"	1	0
"352"	"record"	1	4
"356"	"rehearse"	2	3
"357"	"relax"	3	2
"358"	"remember"	0	110
"359"	"remind"	0	8
"360"	"repair"	1	4
"361"	"respond"	0	2
"362"	"rest"	0	10
"364"	"return"	1	28
"365"	"review"	0	2
"366"	"ride"	6	21
"367"	"ring"	3	13
"368"	"rise"	1	22
"369"	"risk"	1	3
"371"	"roar"	1	10
"372"	"roll"	1	26
"373"	"row"	2	3
"374"	"rub"	2	9
"375"	"ruin"	2	2
"376"	"run"	20	213
"377"	"rush"	0	12
"378"	"sail"	4	16
"379"	"save"	2	33
"381"	"say"	24	1907
"382"	"scan"	1	5
"383"	"scare"	1	1
"384"	"scoot"	2	0
"385"	"scramble"	0	1
"386"	"scrape"	1	2
"387"	"scream"	5	28
"388"	"search"	1	4
"389"	"see"	4	794
"390"	"seep"	0	2
"392"	"sell"	1	17
"393"	"send"	3	54
"394"	"set"	0	28
"396"	"shake"	14	67
"397"	"share"	0	15
"398"	"shift"	0	5
"399"	"shine"	9	5
"401"	"shiver"	1	2
"402"	"shoot"	1	13
"404"	"shop"	1	0
"405"	"shout"	10	237
"406"	"show"	5	101
"407"	"shrink"	0	1
"408"	"sing"	6	58
"410"	"sink"	3	18
"411"	"sit"	62	180
"412"	"slap"	0	3
"413"	"sleep"	3	35
"414"	"slide"	1	5
"415"	"smile"	10	157
"416"	"smoke"	1	1
"417"	"smuggle"	1	2
"418"	"sniff"	0	2
"421"	"snore"	0	2
"422"	"snort"	0	1
"423"	"snow"	0	2
"425"	"sob"	0	3
"426"	"sort"	1	2
"427"	"speak"	8	82
"428"	"speed"	1	1
"429"	"spend"	2	45
"430"	"spin"	1	1
"431"	"splash"	1	1
"432"	"split"	1	1
"433"	"spread"	0	10
"435"	"spy"	0	4
"436"	"squeeze"	2	2
"437"	"squint"	0	2
"438"	"stalk"	0	1
"439"	"stall"	2	0
"440"	"stand"	35	128
"441"	"stare"	5	42
"442"	"start"	14	310
"443"	"starve"	1	1
"444"	"stay"	5	89
"445"	"steal"	1	22
"446"	"stick"	1	15
"447"	"stop"	1	214
"448"	"store"	1	2
"449"	"straighten"	1	0
"450"	"stream"	1	3
"451"	"stretch"	0	6
"452"	"stroll"	0	1
