lemma	semantic_domain
get into	aspectual
get married	activity
get off	activity
get on	existence_relationship
get onto	unclear_other
get out	activity
get ready	activity
get started	aspectual
get through	mental
get underway	aspectual
get up	activity
get used	mental
give	unclear_other
give away	activity
give cause for	facilitation_causation
give in	mental
give off	occurrence
give up	mental
glow	occurrence
gnaw	unclear_other
go	unclear_other
go ahead	activity
go along	unclear_other
go away	activity
go back	activity
go crazy	mental
go down	occurrence
go for	unclear_other
go in	activity
go off	activity
go on	occurrence
go out	activity
go over	communication
go round	occurrence
go through	mental
go under	occurrence
go up	unclear_other
go wrong	occurrence
gorge on	activity
grab	activity
grasp	activity
greet	communication
grill	activity
grin	communication
grip	activity
groan	communication
grope	activity
grow	occurrence
grow up	occurrence
growl	communication
grumble	communication
guarantee	facilitation_causation
guard	activity
guess	mental
hail	unclear_other
half-expect	mental
hamper	unclear_other
hand	activity
hand out	activity
hand over	activity
handcuff	activity
hang	activity
hang  out	activity
hang about	activity
hang on	activity
hang out	activity
hang out with	activity
happen	occurrence
harass	activity
harm	activity
hassle	activity
hate	mental
have	unclear_other
have fun	activity
have on	unclear_other
have to	existence_relationship
head	activity
hear	mental
heat up	activity
help	facilitation_causation
hesitate	mental
hide	mental
hike	activity
hit	activity
hog	activity
hoist	activity
hold	unclear_other
hold back	unclear_other
hold on	activity
hold out	unclear_other
hold up	occurrence
hop	activity
hope	mental
host	activity
hover	activity
huff	communication
hum	communication
hunt	activity
hurry	activity
hurry after	activity
hurt	activity
identify	mental
ignore	mental
illuminate	occurrence
illustrate	existence_relationship
imagine	mental
imitate	activity
imply	existence_relationship
impoverish	unclear_other
impress	mental
incite	facilitation_causation
include	existence_relationship
increase	occurrence
indicate	existence_relationship
induce	facilitation_causation
influence	facilitation_causation
inform	communication
insist	communication
inspect	activity
inspire	facilitation_causation
inspire 	mental
instigate	facilitation_causation
insure	facilitation_causation
intend	mental
interfere	facilitation_causation
interpret	mental
interrogate	communication
interrupt	communication
interview	communication
introduce	unclear_other
invent	activity
investigate	mental
invite	communication
involve	existence_relationship
iron	activity
issue	communication
jangle	activity
jerk	facilitation_causation
jest	communication
jog	activity
join	unclear_other
joke	communication
judge	mental
juggle	activity
jump	activity
justify	mental
keel over	activity
keep	unclear_other
keep alive	aspectual
keep from	facilitation_causation
keep pace	aspectual
keep up	aspectual
kick	activity
kid	communication
kill	unclear_other
kiss	activity
kneel	activity
knit	activity
knock	activity
knock out	activity
know	mental
label	communication
lack	existence_relationship
lag	existence_relationship
land	activity
languish	mental
last	existence_relationship
laugh	activity
laugh about	activity
lay	activity
laze around	activity
lead	unclear_other
leak	occurrence
lean	activity
lean back	activity
lean in	activity
leap	activity
leap aside	activity
learn	mental
leave	activity
let	facilitation_causation
level	existence_relationship
lick	activity
lie	unclear_other
lie asleep	occurrence
lift	activity
light up	occurrence
like	mental
limp	activity
link	existence_relationship
listen	mental
live	existence_relationship
live up	unclear_other
long	mental
long for	mental
look	unclear_other
look after	activity
look around	activity
look at	mental
look for	activity
look forwad	mental
look into	activity
look over	activity
look through	activity
look up	activity
loom	occurrence
loop up	activity
lose	activity
lose interest	mental
lounge	activity
love	mental
lower	activity
lurk	activity
lust	mental
make	unclear_other
make fun	activity
make it	unclear_other
make sense	existence_relationship
make up	activity
manage	activity
manage 	mental
manipulate	mental
march	activity
mark	activity
matter	existence_relationship
maximise	activity
mean	unclear_other
measure	existence_relationship
meddle	activity
meet	activity
melt	activity
memorise	activity
memorize	activity
mention	communication
mess	activity
mess up	activity
milk	activity
mind	mental
mislead	activity
miss	unclear_other
