words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
leave,7,187,9.32,184.68,X.TxB_Nar_non_prog.,0,-0.01,-0.67
use,3,92,4.57,90.43,X.TxB_Nar_non_prog.,0,-0.02,-0.64
bow,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
consider,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
face,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
mutter,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
organise,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
panic,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
pop,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
practice,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
stretch,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
suck,0,6,0.29,5.71,X.TxB_Nar_non_prog.,0,-0.05,-0.59
check,1,39,1.92,38.08,X.TxB_Nar_non_prog.,0,-0.02,-0.56
bet,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
bother,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
burst,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
gaze,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
lay,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
leap,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
shift,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
swing,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
whine,0,5,0.24,4.76,X.TxB_Nar_non_prog.,0,-0.05,-0.49
aim,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
argue,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
form,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
gasp,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
glow,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
insist,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
jump,3,84,4.18,82.82,X.TxB_Nar_non_prog.,0,-0.01,-0.39
murder,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
protect,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
spy,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
test,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
wind,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
yell,0,4,0.19,3.81,X.TxB_Nar_non_prog.,0,-0.05,-0.39
fly,1,34,1.68,33.32,X.TxB_Nar_non_prog.,0,-0.02,-0.34
make,15,345,17.3,342.7,X.TxB_Nar_non_prog.,0,-0.01,-0.34
shout,10,237,11.87,235.13,X.TxB_Nar_non_prog.,0,-0.01,-0.33
bubble,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
confuse,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
crawl,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
depend,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
drift,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
gather,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
grip,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
groan,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
lick,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
prove,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
slap,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
sob,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
sweep,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
whistle,0,3,0.14,2.86,X.TxB_Nar_non_prog.,0,-0.05,-0.3
fill,1,32,1.59,31.41,X.TxB_Nar_non_prog.,0,-0.02,-0.26
help,6,145,7.26,143.74,X.TxB_Nar_non_prog.,0,-0.01,-0.24
accord,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
appreciate,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
buzz,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
chop,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
crush,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
dash,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
demand,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
doubt,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
drench,0,2,0.1,1.9,X.TxB_Nar_non_prog.,0,-0.05,-0.2
