Filename	Words	AWL	TTR	LD	DT	JJAT	POS	NCOMP	QUAN	ACT	ASPECT	CAUSE	COMM	CUZ	CC	CONC	COND	EX	EXIST	ELAB	FREQ	JJPR	MENTAL	OCCUR	DOAUX	QUTAG	QUPR	SPLIT	STPR	WHQU	THSC	WHSC	CONT	VBD	VPRT	PLACE	PROG	HGOT	BEMA	MDCA	MDCO	TIME	THATD	THRC	VIMP	MDMM	ABLE	MDNE	MDWS	MDWO	XX0	PASS	PGET	VBG	VBN	PEAS	GTO	FPP1S	FPP1P	TPP3S	TPP3P	SPP2	PIT	PRP	RP	AMP	CD	DEMO	DMA	DWNT	EMO	EMPH	FPUH	HDG	HST	IN	LIKE	NN	POLITE	RB	SO	URL	YNQU
Achievers_B1_plus_Instructional_0019.txt	967	4.5708	0.427500	0.571872	44.8113	9.4340	0.9434	4.7170	6.6038	26.3566	3.1008	0.7752	19.3798	0.7752	27.9070	0.7752	0.7752	0.7752	0	0	3.8760	8.5271	32.5581	2.3256	9.3023	0	3.8760	0	3.1008	24.0310	0	3.8760	3.8760	19.3798	31.7829	0.7752	0.7752	0	6.2016	3.1008	1.5504	2.3256	3.1008	0.7752	39.5349	2.3256	0	0.7752	0.7752	0.7752	1.5504	0	0	3.8760	0	3.8760	0	5.4264	0	3.1008	12.4031	20.1550	2.3256	0	3.1008	0	0.3102	0.3102	0	0	0	0.3102	0	0	0	10.1344	0.1034	21.9235	0	1.2410	0	0	0.5171
GreenLine_5_Narrative_0011.txt	865	4.2462	0.517500	0.553757	39.0110	18.1319	1.6484	7.1429	4.3956	23.0769	4.8077	1.9231	14.4231	0	25.0000	0.9615	0	0.9615	6.7308	0	2.8846	8.6538	15.3846	6.7308	5.7692	0	2.8846	2.8846	0.9615	0.9615	1.9231	5.7692	12.5000	59.6154	35.5769	4.8077	5.7692	0	11.5385	0	0.9615	5.7692	2.8846	1.9231	1.9231	0	0	0	0.9615	0.9615	7.6923	1.9231	0	10.5769	4.8077	5.7692	0	23.0769	1.9231	29.8077	0	26.9231	3.8462	0	4.8077	0.2312	0.1156	0.5780	0.2312	0	0	0.2312	0	0	0	10.5202	0.1156	21.0405	0.2312	1.0405	0.2312	0	0.2312
Solutions_Elementary_Informative_0006.txt	1097	4.2142	0.445000	0.531449	31.3993	12.6280	2.3891	3.4130	5.8020	17.8862	5.6911	1.6260	13.8211	2.4390	40.6504	0	1.6260	4.0650	2.4390	0	1.6260	14.6341	15.4472	3.2520	1.6260	0	1.6260	1.6260	0.8130	0	2.4390	3.2520	7.3171	69.1057	16.2602	4.8780	0.8130	0	20.3252	4.8780	0	4.0650	0.8130	0	6.5041	0	0	3.2520	0	0	6.5041	4.8780	0	2.4390	3.2520	0	0	3.2520	1.6260	28.4553	17.8862	6.5041	4.0650	0	4.0650	0.5469	0.6381	0.7293	0.1823	0	0	0.2735	0.1823	0.0912	0	11.3036	0.0912	26.7092	0	1.4585	0.2735	0	0.0912
GreenLine_4_Instructional_0012.txt	612	4.4869	0.425000	0.571895	25.2747	14.8352	0.5495	10.4396	4.3956	22.6415	9.4340	1.8868	35.8491	0	30.1887	0	0	1.8868	0	0	1.8868	5.6604	24.5283	3.7736	9.4340	0	0	1.8868	5.6604	15.0943	0	3.7736	3.7736	3.7736	41.5094	0	0	0	11.3208	9.4340	1.8868	3.7736	0	0	39.6226	0	0	1.8868	0	1.8868	1.8868	3.7736	0	5.6604	0	3.7736	0	0	3.7736	1.8868	5.6604	62.2642	3.7736	0	3.7736	0.1634	1.7974	0.8170	0	0	0	0	0	0.1634	0	11.6013	0.1634	29.7386	0	0.6536	0	0	0.3268
English_In_Mind_2_Informative_0007.txt	927	4.3031	0.462500	0.530744	26.1745	22.8188	4.0268	4.0268	9.3960	21.3115	0	0.8197	13.1148	0.8197	24.5902	0	4.9180	0.8197	0.8197	4.9180	7.3770	24.5902	22.9508	2.4590	7.3770	0	9.8361	4.0984	1.6393	4.0984	3.2787	4.9180	22.1311	13.1148	70.4918	4.0984	5.7377	0.8197	24.5902	7.3770	0	4.0984	4.9180	0.8197	2.4590	0	0	2.4590	2.4590	1.6393	9.0164	2.4590	0	2.4590	0	9.0164	0	14.7541	3.2787	24.5902	8.1967	14.7541	11.4754	0	1.6393	0.5394	0.4315	0.3236	0.4315	0	0	0.7551	0.4315	0.1079	0	8.0906	0.1079	16.0734	0	2.2654	0	0	0.2157
HT_6_Instructional_0008.txt	674	4.4006	0.465000	0.589021	38.3784	11.3514	6.4865	6.4865	4.8649	20.0000	6.2500	0	17.5000	0	35.0000	0	0	0	0	0	1.2500	1.2500	40.0000	1.2500	3.7500	0	0	0	2.5000	11.2500	0	10.0000	3.7500	2.5000	38.7500	0	2.5000	0	3.7500	0	0	5.0000	0	0	52.5000	0	0	2.5000	3.7500	0	0	0	0	3.7500	0	1.2500	1.2500	1.2500	1.2500	2.5000	7.5000	20.0000	1.2500	0	8.7500	0.1484	0.8902	0	0	0	0	0.1484	0.1484	0	0	9.4955	0	27.4481	0	1.1869	0	0	0.1484
Achievers_B1_Instructional_0016.txt	963	4.6532	0.442500	0.566978	31.6279	13.9535	2.3256	5.1163	4.1860	23.9669	2.4793	2.4793	19.0083	0	30.5785	0	2.4793	0	2.4793	0	4.1322	15.7025	33.8843	0.8264	13.2231	0	0.8264	0.8264	1.6529	24.7934	1.6529	5.7851	0.8264	10.7438	38.8430	1.6529	2.4793	0.8264	17.3554	1.6529	0.8264	0.8264	3.3058	0.8264	39.6694	0	0	0	1.6529	6.6116	2.4793	0	0	5.7851	0	2.4793	0.8264	0.8264	0	0.8264	3.3058	41.3223	4.9587	0	1.6529	0.1038	0.4154	0.5192	0	0	0	0.3115	0	0	0	8.8266	0.2077	22.3261	0	0.5192	0	0	1.2461
JTT_6_Instructional_0002.txt	838	4.4964	0.402500	0.603819	32.3529	7.5630	2.1008	7.5630	0.4202	6.7797	0.8475	0	32.2034	0	31.3559	0	0.8475	0.8475	3.3898	0.8475	0	4.2373	37.2881	0	3.3898	0	0	0	0	9.3220	0	11.8644	3.3898	0.8475	27.9661	0	0	0	9.3220	2.5424	0	3.3898	0	0	67.7966	0	0	0	0	0.8475	1.6949	0	0	0	0	0	0	0	0	9.3220	4.2373	30.5085	6.7797	0	0.8475	0	0.2387	0.3580	0	0	0	0	0	0	0	8.8305	0	28.4010	0	0.3580	0	0	0
Access_2_Instructional_0009.txt	895	4.2447	0.400000	0.538547	35.7143	8.0952	2.8571	9.5238	2.8571	27.7228	0	0.9901	27.7228	0	24.7525	0	0	0.9901	0	0	1.9802	2.9703	39.6040	1.9802	3.9604	0	1.9802	0	1.9802	13.8614	5.9406	8.9109	4.9505	2.9703	30.6931	2.9703	1.9802	0	8.9109	6.9307	1.9802	1.9802	2.9703	0.9901	49.5050	0	0	1.9802	0.9901	4.9505	0	0.9901	0	0.9901	0	0.9901	0	1.9802	0	1.9802	6.9307	57.4257	3.9604	0	1.9802	0.1117	1.0056	0.6704	0.1117	0	0	0	0	0	0	11.3966	0.3352	23.4637	0.1117	0.7821	0	0	1.0056
English_in_Mind_1_Informative_0004.txt	1060	4.3896	0.505000	0.560377	22.7451	23.9216	0	4.7059	10.5882	18.1034	0.8621	0.8621	18.1034	0.8621	49.1379	0	2.5862	4.3103	6.0345	1.7241	2.5862	23.2759	18.9655	0.8621	9.4828	0	3.4483	0.8621	0.8621	4.3103	5.1724	3.4483	13.7931	21.5517	68.9655	0	0	0.8621	23.2759	0.8621	0.8621	0.8621	0.8621	2.5862	6.8966	0	0	0	0.8621	0	8.6207	0.8621	0	3.4483	2.5862	0	0	0.8621	3.4483	14.6552	21.5517	9.4828	11.2069	0	0.8621	0.0943	1.0377	0.8491	0.2830	0	0	0.9434	0	0.1887	0	8.2075	0.1887	24.0566	0	1.7925	0.4717	0	0.0943
