Filename	Words	AWL	TTR	LD	DT	JJAT	POS	NCOMP	QUAN	ACT	ASPECT	CAUSE	COMM	CUZ	CC	CONC	COND	EX	EXIST	ELAB	FREQ	JJPR	MENTAL	OCCUR	DOAUX	QUTAG	QUPR	SPLIT	STPR	WHQU	THSC	WHSC	CONT	VBD	VPRT	PLACE	PROG	HGOT	BEMA	MDCA	MDCO	TIME	THATD	THRC	VIMP	MDMM	ABLE	MDNE	MDWS	MDWO	XX0	PASS	PGET	VBG	VBN	PEAS	GTO	FPP1S	FPP1P	TPP3S	TPP3P	SPP2	PIT	PRP	RP	AMP	CD	DEMO	DMA	DWNT	EMO	EMPH	FPUH	HDG	IN	LIKE	NN	POLITE	RB	SO	URL	YNQU
119_FamilyResemblance_4.txt	5929	3.9413	0.550000	0.479170	28.2028	12.4424	1.8433	3.6866	6.1751	21.3205	1.9257	2.2008	15.2682	0	22.5585	0.6878	3.4388	1.7882	2.2008	0.1376	2.2008	14.1678	21.1829	0.4127	4.8143	0	3.7139	2.3384	0.9629	4.5392	2.8886	6.8776	16.7813	63.6864	21.5956	6.8776	3.4388	0.4127	13.6176	0.8253	4.9519	2.8886	3.0261	1.7882	2.6135	0.6878	0.1376	0.9629	1.3755	3.3012	10.1788	2.2008	0.2751	13.4801	2.4759	4.5392	0.8253	44.4292	6.6025	26.8226	2.7510	11.6919	9.0784	0	8.3906	0.1181	0.7758	0.7590	0.8770	0.0675	0	0.4385	0.4217	0.1855	9.8499	0.3711	18.2999	0.0506	2.5468	0.0506	0	0.3373
77_TUBB1967THEWGATH_4.txt	5632	4.3056	0.535000	0.496449	49.0654	19.7196	1.4953	2.6168	4.1121	19.3230	1.1283	1.4104	6.6291	1.2694	24.1185	0.2821	2.2567	2.2567	3.1030	0.1410	1.6925	18.6178	16.7842	2.5388	2.2567	0	3.1030	1.2694	0.4231	3.6671	4.9365	5.5007	4.0903	59.6615	23.6953	3.9492	1.9746	0.5642	17.0663	1.9746	5.6417	3.6671	0.7052	0.2821	1.5515	0.5642	0.2821	2.3977	1.9746	2.5388	9.5910	2.9619	0.1410	8.1805	5.2186	8.6037	0.2821	13.2581	1.9746	42.3131	6.3470	9.1678	12.4118	0	2.9619	0.3018	0.4439	0.6925	0.4794	0.1065	0	0.3196	0.0355	0.2131	10.3516	0.1953	18.9986	0.0533	2.1484	0.3196	0	0.1598
93_Blume1974Blubber_1.txt	6151	3.9769	0.507500	0.523492	25.1176	10.8184	3.8570	3.1985	6.4911	21.3714	2.7429	1.3714	22.1714	1.2571	18.4000	0.2286	2.1714	1.8286	2.1714	0.2286	1.3714	10.2857	15.6571	0.5714	6.2857	0	4.3429	2.4000	0.3429	1.9429	2.0571	7.3143	19.0857	58.8571	26.8571	2.5143	3.3143	0.5714	14.1714	1.7143	1.9429	2.9714	3.2000	0.4571	2.2857	0.3429	0.1143	3.3143	2.5143	2.1714	10.2857	2.2857	0.5714	5.9429	1.1429	2.5143	0.3429	34.7429	8.4571	24.0000	3.7714	11.2000	10.5143	0	5.3714	0.0975	0.7153	1.0242	0.6178	0.0163	0	0.6828	0.1788	0.1301	8.4864	0.2276	17.2817	0.0975	2.3736	0.3252	0	0.3252
224_Grumrobynhill_1.txt	5889	4.1173	0.505000	0.526066	36.8104	19.2578	1.2036	4.5135	7.1214	21.8710	4.2984	2.1492	16.0556	0.3793	25.6637	0.5057	2.4020	1.3906	2.6549	0	1.8963	13.5272	10.6195	1.6435	3.9191	0.1264	2.6549	1.5171	0.5057	3.5398	1.0114	5.3097	7.4589	61.9469	25.4109	5.0569	3.5398	0	13.2743	1.6435	1.5171	3.9191	1.6435	1.8963	2.5284	0.6321	0.1264	1.7699	3.0341	1.5171	6.4475	1.2642	0.1264	9.9874	2.7813	2.2756	0.6321	20.1011	20.7332	22.2503	4.1719	11.5044	6.7004	0	9.1024	0.3396	0.7472	1.0019	0.5094	0.1189	0	0.7302	0.2208	0.1019	9.2036	0.2547	16.9299	0.1358	3.1245	0.1698	0	0.2208
247_AnnabellaCrabtreeHostageVolNick_4.txt	5773	4.4760	0.465000	0.517235	35.1044	16.8880	2.6565	3.0361	6.0721	20.1460	3.0657	1.4599	16.6423	0.4380	22.6277	1.3139	2.6277	3.3577	2.7737	0.2920	4.6715	17.0803	14.1606	3.3577	3.3577	0	3.5036	5.6934	0.1460	7.2993	4.0876	7.2993	9.1971	58.3942	22.1898	4.9635	2.9197	0	13.7226	1.7518	2.4818	7.2993	1.6058	2.3358	3.3577	0.4380	0.5839	3.3577	4.9635	3.0657	10.0730	6.5693	0	10.6569	4.9635	9.0511	0.1460	11.8248	2.9197	30.9489	6.4234	17.8102	11.8248	0	3.5036	0.2079	1.0047	0.5197	0.3118	0.0520	0	0.6409	0.0520	0.1559	9.9775	0.0693	18.2574	0.0520	3.7935	0.1386	0	0.1732
286_FineAnneTheTulipTouch_4.txt	6155	4.0448	0.542500	0.497319	31.6798	18.8275	2.9312	4.9605	9.8083	30.3694	2.4624	2.4624	13.1327	1.3680	30.6430	1.2312	3.0096	0.8208	3.1464	0.1368	5.1984	15.7319	20.3830	2.4624	6.2927	0.5472	5.0616	1.7784	0.4104	3.0096	3.2832	7.5239	23.2558	64.9795	18.0575	5.7456	5.0616	0.5472	12.9959	1.5048	3.4200	4.2408	3.2832	0.5472	3.1464	1.2312	0.1368	1.9152	0.6840	5.0616	11.6279	1.5048	0.4104	15.4583	2.1888	7.2503	0	42.1341	6.0192	32.5581	7.6607	7.5239	9.4391	0	7.3871	0.3412	0.4062	0.8123	0.3087	0.0975	0	0.9098	0.2112	0.0975	9.6832	0.1950	14.4110	0.1300	3.1194	0.2762	0.0487	0.3087
167_BINCHY1998TARAROAD_1.txt	6437	3.9809	0.432500	0.492776	29.0094	12.2642	2.7123	4.5991	11.4387	17.1129	2.0955	1.6298	18.3935	0.9313	24.9127	0.2328	3.8417	1.5134	1.8626	0.3492	2.4447	12.6892	26.1932	1.5134	8.7311	0.4657	4.4237	1.5134	0.3492	3.8417	5.1222	8.2654	23.5157	46.2165	32.0140	3.2596	2.3283	0.1164	18.8591	2.5611	2.2119	4.8894	4.8894	0.8149	1.9790	1.0477	0.3492	3.0268	4.7730	6.1700	16.0652	2.3283	0.3492	6.0536	1.2806	7.9162	1.8626	20.0233	4.6566	30.8498	8.7311	19.3248	13.6205	0	3.9581	0.2486	0.2952	1.1496	0.9321	0.0466	0	0.6525	0.1243	0.3262	7.4569	0.2020	13.1738	0.3107	1.9108	0.0466	0	0.7923
283_Hartnett_Thursday_Child_3.txt	6127	4.0057	0.502500	0.506773	35.2336	9.9065	3.2710	2.4299	4.5794	24.5839	2.4328	1.9206	16.7734	1.5365	27.6569	0.7682	3.0730	2.4328	2.0487	0.1280	4.6095	13.9565	16.3892	1.7926	3.8412	0.3841	4.7375	2.5608	0.2561	2.4328	2.1767	8.3227	21.7670	59.2830	20.4866	4.7375	6.1460	0.7682	14.2125	1.1524	3.9693	4.0973	3.0730	1.9206	2.0487	0.3841	0	2.6889	2.9449	7.0423	11.3956	3.4571	0.2561	13.1882	4.2254	8.0666	0.5122	23.1754	6.6581	37.3880	2.8169	11.1396	10.6274	0	3.8412	0.0490	0.3754	0.9956	0.1959	0.0326	0	0.4080	0.0816	0.0816	8.7155	0.2611	17.4637	0.0653	1.4199	0.1632	0	0.3591
36_BEChildrenBlytonEnidMystery04TheMysteryoftheSpitefulLetters_4.txt	6234	4.0568	0.452500	0.529516	26.8199	12.2605	2.2031	1.9157	8.7165	20.0951	0.8323	1.6647	22.7111	0.9512	21.0464	0.1189	2.1403	1.6647	1.9025	0	5.4697	9.8692	21.4031	1.3080	4.9941	0.9512	4.8751	2.3781	1.3080	2.0214	3.6861	6.5398	22.5922	48.1570	36.2663	4.1617	4.0428	1.1891	11.8906	1.1891	1.6647	6.6587	3.5672	0.7134	2.1403	1.5458	0.1189	3.0916	3.8050	2.1403	11.2961	1.7836	0	6.5398	1.7836	5.5886	0.5945	18.5493	7.3722	29.9643	8.3234	10.9394	8.5612	0.1189	9.9881	0.3208	0.5454	1.1389	0.9945	0.0160	0	0.7058	0.2246	0.2406	7.3147	0.2727	16.7469	0.0321	2.8072	0.1283	0	0.2246
286_FineAnneTheTulipTouch_3.txt	6136	4.0440	0.502500	0.485169	35.2222	16.1111	3.8889	5.6667	7.0000	25.4954	3.1704	1.0568	9.2470	0.9247	25.8917	0.9247	4.0951	1.5852	2.2457	0.2642	3.8309	12.8137	21.7966	1.5852	5.0198	0.9247	5.2840	2.2457	0.9247	3.4346	3.8309	7.6618	22.7213	59.4452	21.2682	3.1704	5.6803	0.3963	13.7384	1.8494	3.5667	5.5482	2.9062	0.5284	2.9062	0.5284	0.2642	1.7173	2.3778	6.3408	12.0211	2.6420	0.3963	11.3606	2.2457	4.8877	0.3963	35.5350	8.3223	33.1572	4.3593	10.1717	15.5878	0	7.9260	0.1141	0.5052	0.6030	0.5867	0.1141	0	0.6845	0.1467	0.0978	9.7132	0.1630	14.6675	0.0978	3.3735	0.1793	0.0163	0.3259
143_PRATCHETT1993DW15ARMS_1.txt	5938	4.1329	0.440000	0.521556	35.0911	18.8878	3.3557	4.1227	7.8619	17.8618	1.4342	0.7823	16.6884	0.7823	20.2086	0.6519	2.3468	4.8240	2.8683	0.5215	3.2595	11.9948	14.7327	1.9557	4.6936	0.3911	5.4759	2.3468	0.5215	3.9113	3.2595	6.3885	23.9896	54.4980	32.7249	4.1721	4.3025	1.5645	14.7327	1.1734	2.9987	3.7810	1.9557	0.6519	2.3468	0.1304	0.1304	1.8253	1.4342	2.8683	11.7340	2.3468	0.1304	7.8227	2.3468	5.3455	0.2608	15.2542	2.4772	26.8579	6.7797	13.8201	11.7340	0.1304	5.6063	0.3705	0.4547	0.7410	1.3809	0.1516	0	0.8589	0.3368	0.1516	8.7403	0.2189	17.5648	0.1684	2.7282	0.1347	0	0.3368
230_SugartheRobotandtheracetoRyanCartwright_1.txt	6257	3.9696	0.460000	0.497203	31.5990	9.1371	2.2843	4.8223	8.2487	26.8187	3.6916	0.4343	19.2182	0.8686	23.3442	0.7600	1.5201	1.0858	1.4115	0.4343	3.0402	9.3377	16.3952	1.8458	5.5375	0.5429	4.3431	1.9544	0.9772	7.1661	3.1488	5.2117	15.0923	61.3464	26.7101	3.4745	7.9262	0.4343	12.4864	1.6287	1.7372	4.1260	4.2345	0.1086	2.4973	0.4343	0.1086	2.7144	1.1944	1.7372	10.2063	2.9316	0.2172	9.6634	2.4973	6.0803	0.5429	35.0706	8.0347	23.7785	5.6460	9.3377	8.6862	0.1086	7.7090	0.1438	0.2078	1.1987	0.8790	0.0799	0	0.7512	0.2237	0.2877	8.1189	0.1279	12.5939	0.0639	3.1325	0.4315	0	0.3356
22_TheBlackStallionFarleyWalter_2.txt	6120	3.9989	0.510000	0.508333	42.7350	13.7702	3.7987	3.2289	7.0275	29.2651	2.8871	1.7060	14.4357	0.1312	20.9974	0.6562	2.6247	2.0997	2.7559	0	3.5433	14.8294	16.4042	1.3123	2.8871	0	4.9869	1.7060	0.1312	1.3123	3.1496	7.2178	21.6535	55.5118	27.4278	5.6430	3.8058	1.3123	14.4357	1.7060	1.0499	3.9370	2.7559	0.6562	3.4121	0.7874	0.2625	2.0997	4.4619	3.5433	7.6115	2.2310	0.1312	11.0236	1.9685	7.6115	1.3123	14.3045	1.9685	51.0499	5.1181	11.0236	10.1050	0	4.1995	0.1144	0.4575	0.6209	0.3268	0.0654	0	0.6209	0.0163	0.1307	9.6732	0.0980	17.2059	0.0654	3.1863	0.0490	0	0.0490
120_PRATCHETT1986DW02STIC_4.txt	5903	4.4233	0.477500	0.545824	44.2561	24.5763	1.1299	3.7665	5.8380	17.7198	3.0220	0.8242	20.7418	1.0989	23.3516	0.4121	2.1978	2.3352	2.1978	0.2747	3.0220	15.5220	17.4451	2.3352	4.2582	0.2747	3.8462	2.6099	0.4121	5.0824	3.0220	6.5934	15.6593	60.8516	27.0604	3.0220	4.6703	0.2747	12.5000	2.0604	1.5110	3.2967	1.5110	1.0989	2.4725	0.2747	0.1374	1.9231	1.3736	2.4725	8.9286	2.7473	0	9.0659	3.5714	5.6319	1.0989	10.0275	6.5934	25.2747	5.4945	7.6923	14.2857	0	8.2418	0.3896	0.4743	0.5929	0.9487	0.1186	0	0.4235	0.4066	0.2710	10.0288	0.2541	17.9909	0.0339	2.5919	0.1525	0	0.3558
