Filename	Words	AWL	TTR	LD	ABLE	ACT	AMP	ASPECT	BEMA	CAUSE	CC	CD	COMM	CONC	COND	CONT	CUZ	DEMO	DMA	DOAUX	DT	DWNT	ELAB	EMO	EMPH	EX	EXIST	FPP1P	FPP1S	FPUH	FREQ	GTO	HDG	HGOT	HST	IN	JJAT	JJPR	LIKE	MDCA	MDCO	MDMM	MDNE	MDWO	MDWS	MENTAL	NCOMP	NN	OCCUR	PASS	PEAS	PGET	PIT	PLACE	POLITE	POS	PROG	PRP	QUAN	QUPR	QUTAG	RB	RP	SO	SPLIT	SPP2	STPR	THATD	THRC	THSC	TIME	TPP3P	TPP3S	URL	VBD	VBG	VBN	VIMP	VPRT	WHQU	WHSC	XX0	YNQU
New_GreenLine_2_Spoken_0013.txt	743	3.9825	0.445000	0.496635	0	23	2	1	22	4	11	4	6	0	3	30	0	13	10	9	36	0	0	0	9	8	1	14	26	12	3	1	1	2	0	48	13	15	2	5	1	1	4	1	2	19	2	90	1	2	2	0	9	12	3	3	3	0	11	3	1	24	6	1	3	18	1	6	1	3	3	10	12	6	21	6	0	10	61	9	5	11	3
English_In_Mind_4_Informative_0004.txt	707	4.1980	0.532500	0.506365	1	32	3	5	10	2	22	8	9	1	4	11	0	7	4	5	30	0	1	0	9	0	1	1	3	0	0	0	0	1	0	77	19	8	2	1	0	0	2	2	1	14	4	135	1	3	7	0	8	0	0	3	3	0	12	2	0	23	3	1	0	7	0	2	1	9	0	7	47	0	45	8	1	3	30	3	14	7	1
Solutions_Intermediate_Informative_0007.txt	1001	4.5784	0.517500	0.564436	1	40	3	6	16	2	38	3	16	0	1	3	3	3	0	1	62	1	4	0	4	0	2	0	1	1	2	1	2	0	0	114	47	10	4	0	4	1	1	1	0	15	25	247	2	5	11	0	5	8	0	11	6	0	8	3	0	13	2	4	4	4	0	0	2	9	4	10	48	0	70	16	4	1	23	0	20	8	0
New_GreenLine_5_Spoken_0007.txt	2008	3.9432	0.440000	0.520916	0	54	8	2	50	6	46	14	36	0	10	82	4	16	16	14	116	0	0	0	18	2	6	8	70	10	8	2	8	6	0	180	46	46	4	2	2	0	4	6	10	38	24	322	2	36	18	0	12	28	4	6	20	0	26	10	0	54	14	4	8	68	2	4	2	6	4	6	18	0	84	6	10	16	128	18	16	22	6
New_GreenLine_4_Spoken_0005.txt	1013	4.1076	0.437500	0.535044	0	16	2	1	29	1	51	4	5	0	4	27	0	9	13	3	54	0	0	0	17	5	4	4	23	2	13	0	4	0	0	107	49	15	8	7	0	0	3	1	5	19	18	203	1	1	1	1	9	5	3	0	1	0	26	2	0	26	3	9	3	35	0	4	0	8	4	11	0	0	2	3	1	3	79	2	5	9	3
Solutions_Intermediate_Plus_Instructional_0017.txt	904	4.6626	0.387500	0.560841	0	25	0	3	13	2	19	10	20	0	1	0	1	8	0	8	92	0	1	0	2	2	4	0	0	0	4	0	0	0	0	111	33	8	0	0	0	2	0	2	0	40	10	212	2	0	0	0	5	1	0	3	3	0	6	1	0	17	2	1	0	25	0	3	1	1	0	4	2	0	3	15	8	62	39	22	11	3	10
Access_1_Instructional_0003.txt	892	4.1289	0.372500	0.545964	0	23	0	6	11	4	31	7	22	0	1	15	0	8	1	12	90	0	0	0	0	0	0	0	2	0	0	0	0	0	0	73	20	10	1	9	0	0	0	0	0	30	23	229	0	0	0	0	6	2	0	3	0	0	6	0	0	8	5	0	0	42	0	1	0	0	3	4	3	0	0	4	1	49	41	13	7	8	4
GreenLine_5_Informative_0007.txt	789	4.4867	0.545000	0.541191	1	19	0	3	8	0	32	8	9	1	0	1	1	2	1	2	82	0	0	0	2	1	2	0	1	0	2	0	1	0	0	91	30	5	5	3	1	3	4	0	4	12	28	227	5	12	4	0	3	3	0	3	0	2	12	1	0	21	2	1	4	11	0	0	1	4	4	6	6	0	13	9	6	1	34	3	3	3	1
Achievers_B1_Narrative_0003.txt	1026	3.9912	0.510000	0.477583	0	36	2	2	33	1	42	10	11	1	1	20	1	10	5	7	59	0	1	0	5	3	3	4	70	0	6	0	2	0	0	101	23	25	1	10	2	0	3	0	3	21	5	152	7	9	1	0	15	3	0	1	12	0	13	5	0	25	3	3	2	13	0	2	1	0	10	13	17	0	102	6	3	1	16	5	7	15	2
GreenLine_4_Narrative_0011.txt	545	4.3193	0.520000	0.528440	0	13	1	2	16	2	16	1	7	0	1	6	0	1	2	2	55	1	0	0	3	1	2	4	21	0	2	1	0	0	0	60	32	6	1	0	3	0	2	0	1	7	7	120	4	3	4	0	6	0	0	1	2	0	10	1	0	9	2	0	1	1	2	0	0	2	2	1	8	0	44	3	1	0	8	0	6	8	0
Access_2_Informative_0002.txt	953	4.1091	0.500000	0.551941	0	41	3	1	13	1	45	6	3	0	1	8	1	2	2	7	78	0	1	0	2	5	1	18	6	0	1	0	0	0	0	101	41	5	6	6	0	0	2	0	0	18	22	262	2	2	0	0	4	2	1	3	0	0	20	3	0	11	3	4	3	14	0	1	0	3	2	23	8	0	35	1	2	5	48	2	9	5	1
English_In_Mind_4_Instructional_0008.txt	956	4.4749	0.402500	0.555439	0	33	1	7	12	2	17	13	23	0	3	4	0	3	0	13	87	0	0	0	3	5	4	1	0	1	10	2	0	0	0	105	40	9	1	6	0	0	0	0	0	34	13	199	1	4	1	0	4	2	0	2	1	0	22	2	0	8	2	1	0	27	5	3	1	3	0	13	0	0	9	11	1	52	48	19	11	6	12
HT_4_Informative_0003.txt	922	4.6139	0.520000	0.563991	0	31	4	3	16	2	33	4	2	2	0	0	0	1	0	1	84	1	1	0	2	1	2	2	1	3	2	0	0	0	0	113	32	12	1	5	2	0	0	0	0	4	25	297	8	12	1	0	12	5	0	6	1	0	6	3	0	7	1	0	2	5	2	0	1	0	4	13	20	0	40	1	7	2	38	2	13	3	1
Achievers_B1_plus_Instructional_0016.txt	961	4.6722	0.422500	0.576483	0	31	4	5	9	2	36	11	25	0	4	2	0	3	0	7	84	0	0	0	1	0	2	0	0	0	2	1	0	0	0	104	18	14	1	5	0	2	1	0	0	49	18	218	2	3	4	0	6	0	0	2	0	0	10	3	0	10	3	0	1	37	2	5	1	1	1	5	5	0	15	4	2	66	44	16	10	3	4
GreenLine_1_Instructional_0001.txt	792	4.0316	0.337500	0.564394	0	12	0	1	20	0	28	7	32	0	0	6	0	3	0	1	64	0	0	0	0	0	2	1	3	1	0	0	0	0	0	58	29	4	1	0	0	0	0	0	0	23	28	260	0	0	0	0	4	2	4	0	1	0	5	0	0	2	1	0	0	36	0	0	0	6	1	2	4	0	0	4	0	46	39	22	1	1	2
Achievers_A1_Narrative_0003.txt	513	4.0936	0.487500	0.508772	0	11	0	0	17	0	23	1	3	0	0	6	2	3	0	1	39	0	0	0	1	1	5	0	1	1	0	0	0	0	0	56	22	14	0	1	4	0	0	0	0	11	6	108	0	2	0	1	9	2	0	0	0	0	5	1	0	11	2	0	0	0	0	0	0	1	0	6	55	0	58	3	1	1	1	0	2	5	0
Solutions_Intermediate_Spoken_0036.txt	685	4.2161	0.457500	0.499270	1	10	5	0	26	0	36	7	2	1	1	14	3	3	0	3	23	0	0	0	5	4	6	9	44	0	2	2	0	0	0	76	22	20	1	2	0	1	2	0	1	19	5	128	1	5	4	1	8	7	0	1	1	0	8	0	0	16	2	2	1	2	0	4	0	1	8	6	9	0	32	3	1	0	45	1	7	3	0
Piece_of_cake_5e_Spoken_0006.txt	835	3.9090	0.407500	0.546108	0	12	3	0	34	2	10	14	19	0	1	31	1	9	17	12	28	0	0	0	15	0	3	8	44	20	2	1	1	0	0	52	20	15	1	1	1	1	3	2	2	31	3	145	1	2	0	0	27	1	2	5	3	0	6	5	0	15	1	5	2	21	2	2	0	0	4	4	19	0	34	0	0	11	57	19	6	6	5
Achievers_B2_Instructional_0008.txt	946	4.7548	0.435000	0.571882	2	28	1	8	13	2	35	10	21	0	4	5	0	2	0	11	83	0	1	0	1	1	4	0	0	0	3	0	0	0	0	104	35	7	1	1	0	1	2	5	1	36	9	225	1	6	2	0	1	3	0	4	4	0	5	4	0	17	1	0	1	33	0	0	0	0	0	7	2	0	3	5	1	60	47	22	8	0	13
English_In_Mind_4_Personal_0001.txt	993	3.9849	0.442500	0.500504	1	29	3	1	31	6	27	7	10	0	4	41	2	7	4	11	35	0	0	0	14	2	4	3	59	1	12	1	0	1	0	74	31	21	3	2	1	1	9	1	3	32	7	123	1	2	7	0	8	2	0	1	3	0	13	5	1	29	6	2	7	30	0	5	1	12	7	6	33	0	45	7	0	5	62	1	9	18	0
English_in_Mind_3_Instructional_0007.txt	945	4.2624	0.445000	0.532275	0	29	1	9	13	3	29	9	22	0	3	1	0	4	1	16	98	0	1	0	1	1	0	0	2	2	5	0	3	0	0	97	20	17	1	2	2	2	2	3	0	27	5	221	5	4	0	0	6	2	0	4	1	0	8	3	0	9	2	0	0	26	1	3	6	0	1	6	1	0	15	12	2	40	43	24	4	2	11
GreenLine_3_Informative_0004.txt	1178	4.0662	0.520000	0.525467	1	37	7	4	19	0	36	7	16	0	1	31	1	8	4	4	100	0	0	0	10	6	7	3	40	1	9	0	0	1	0	110	40	17	4	3	1	0	1	5	2	22	24	249	3	0	6	0	11	7	0	4	5	0	21	3	0	21	5	1	3	5	2	1	0	3	4	21	30	0	79	1	3	0	50	1	13	10	1
Access_5_Instructional_0007.txt	1001	4.4715	0.450000	0.529471	0	31	0	2	9	3	36	12	39	0	5	9	0	13	0	3	85	0	0	0	3	0	1	3	3	0	1	1	1	0	0	102	29	13	1	5	1	3	1	2	7	38	14	223	5	3	3	0	1	1	0	9	0	0	12	5	0	16	4	0	1	36	0	1	1	3	4	6	9	0	7	4	3	42	40	2	27	3	0
New_GreenLine_4_Informative_0001.txt	914	4.4376	0.537500	0.517505	0	10	3	2	16	2	37	8	7	0	2	10	0	8	2	2	87	1	1	0	6	3	2	4	0	0	6	0	4	0	0	110	50	12	3	7	1	0	3	0	5	12	9	249	3	2	3	0	4	1	2	5	1	0	26	2	0	23	2	2	3	19	2	1	1	0	5	16	0	0	18	5	1	3	44	3	6	5	2
Access_3_Informative_0003.txt	1000	4.5010	0.495000	0.543000	1	23	2	9	9	1	29	8	5	0	0	3	0	3	0	4	90	0	0	0	2	1	3	0	4	1	2	0	1	0	0	138	45	7	1	1	0	1	1	0	2	6	25	305	10	15	4	0	10	3	0	10	1	0	16	1	0	6	7	2	2	1	8	0	2	3	7	15	21	0	69	3	6	3	17	2	11	3	0
NB_2_Spoken_0010.txt	1068	3.9457	0.392500	0.518727	0	23	1	1	38	1	28	20	17	0	3	56	3	13	6	12	41	0	0	0	19	5	3	11	44	9	5	3	0	4	0	75	24	20	4	10	3	1	3	0	0	24	6	160	2	1	3	1	16	8	6	1	4	0	12	3	3	27	8	2	4	33	1	3	2	3	2	7	9	0	20	7	4	6	90	16	8	23	6
New_GreenLine_1_Instructional_0011.txt	895	4.1855	0.377500	0.534078	0	28	0	3	8	7	24	13	26	0	0	11	0	2	0	5	87	0	0	0	1	2	0	0	4	0	1	0	2	6	0	108	34	6	1	8	0	0	2	0	0	16	13	257	0	0	0	0	3	0	0	5	1	0	10	1	0	5	2	0	0	33	0	0	1	0	3	4	6	0	2	5	0	41	45	17	6	6	3
Solutions_Intermediate_Plus_Spoken_0011.txt	698	4.0229	0.467500	0.535817	1	27	2	0	22	4	16	0	7	0	0	25	1	9	7	3	26	0	1	0	8	1	2	5	35	4	0	0	0	0	0	65	11	15	3	0	2	0	3	3	2	15	7	116	3	4	7	0	12	3	6	0	3	0	7	7	1	12	2	1	4	25	1	2	0	1	0	7	1	0	17	10	0	7	44	10	4	11	7
Piece_of_cake_3e_Spoken_0002.txt	689	4.0406	0.572500	0.506531	0	12	2	3	17	1	18	4	12	3	3	16	1	4	10	6	35	0	0	0	5	0	1	6	30	4	2	0	1	0	0	58	11	12	1	14	0	0	2	2	7	17	9	134	1	1	0	0	7	3	1	1	1	0	8	5	0	8	5	3	1	30	1	3	1	1	8	8	12	0	8	1	3	3	40	3	5	9	2
Access_2_Spoken_0008.txt	849	4.0742	0.410000	0.497055	0	21	0	0	15	1	14	4	5	0	1	32	2	14	18	18	47	0	0	0	4	1	1	1	51	8	2	1	0	0	0	54	14	15	4	7	0	0	1	1	3	27	5	163	0	0	7	0	14	11	2	9	6	0	5	10	1	21	2	5	4	31	2	1	0	1	3	4	4	0	15	3	0	5	68	12	3	15	10
Solutions_Pre-Intermediate_ELF_Spoken_0010.txt	553	4.2495	0.502500	0.520796	0	12	3	5	15	0	34	11	5	1	0	9	0	2	4	5	44	0	0	0	1	3	1	4	6	2	5	0	0	0	0	58	10	10	0	0	0	0	0	0	0	8	5	113	4	2	3	2	4	1	1	0	2	0	8	1	1	8	2	5	1	0	0	1	0	0	6	20	7	0	52	7	1	1	10	3	2	7	1
English_in_Mind_3_Narrative_0001.txt	1301	4.1130	0.492500	0.508839	0	53	2	1	20	0	42	12	13	0	2	14	0	1	2	9	97	0	1	0	3	7	1	11	7	1	5	0	0	0	0	134	47	21	0	1	4	2	6	4	0	40	12	252	8	5	20	0	15	2	0	8	11	0	26	3	0	28	7	2	3	0	1	1	1	10	13	10	94	0	127	11	3	2	10	0	10	15	0
Access_1_Instructional_0006.txt	854	4.0398	0.390000	0.503513	0	31	0	3	9	0	25	10	12	0	0	1	0	5	1	4	98	0	1	0	0	0	0	1	0	0	4	0	1	0	0	111	34	6	0	6	0	0	0	0	0	28	9	226	0	0	0	0	8	1	0	6	0	0	5	1	0	9	6	0	0	35	0	0	0	0	0	6	4	0	5	0	3	64	28	14	7	1	3
New_GreenLine_4_Spoken_0020.txt	812	3.9729	0.452500	0.527094	0	19	1	3	21	4	24	2	11	0	3	29	0	13	8	9	32	0	0	0	9	0	0	12	38	7	2	2	2	1	0	68	21	12	6	10	1	0	2	1	4	19	16	144	1	4	0	0	5	6	3	1	2	0	11	1	2	18	1	4	1	34	0	2	1	0	2	5	3	0	8	7	3	4	59	8	5	16	4
