Filename	Words	AWL	TTR	LD	DT	JJAT	POS	NCOMP	QUAN	ACT	ASPECT	CAUSE	COMM	CUZ	CC	CONC	COND	EX	EXIST	ELAB	FREQ	JJPR	MENTAL	OCCUR	DOAUX	QUTAG	QUPR	SPLIT	STPR	WHQU	THSC	WHSC	CONT	VBD	VPRT	PLACE	PROG	HGOT	BEMA	MDCA	MDCO	TIME	THATD	THRC	VIMP	MDMM	ABLE	MDNE	MDWS	MDWO	XX0	PASS	PGET	VBG	VBN	PEAS	GTO	FPP1S	FPP1P	TPP3S	TPP3P	SPP2	PIT	PRP	RP	AMP	CD	DEMO	DMA	DWNT	EMO	EMPH	FPUH	HDG	HST	IN	LIKE	NN	POLITE	RB	SO	URL	YNQU
Teen_Kids_News_10405210_its-about-time-you-knew-exactly-where-vanilla-and-chocolate-come-from.txt	691	4.7135	0.547500	0.594790	35.4286	27.4286	1.1429	8.0000	4.5714	22.9508	3.2787	3.2787	4.9180	0	55.7377	0	0	1.6393	8.1967	0	11.4754	26.2295	3.2787	11.4754	0	0	0	9.8361	0	0	1.6393	16.3934	1.6393	27.8689	70.4918	0	0	0	26.2295	0	0	1.6393	0	0	1.6393	0	0	0	0	0	0	26.2295	0	11.4754	19.6721	1.6393	0	0	0	1.6393	9.8361	1.6393	16.3934	0	3.2787	0.5789	3.3285	0.2894	0	0.4342	0	0.2894	0	0.8683	0	10.9986	0.1447	25.3256	0	2.3155	0	0	0
TeenVogue_10408664_nancy-pelosi-alexandria-ocasio-cortez-trump-impeachment-rolling-stone-cover.txt	968	4.4711	0.522500	0.525826	27.8049	12.1951	1.9512	5.8537	5.3659	23.4234	1.8018	1.8018	23.4234	0.9009	33.3333	0	4.5045	0.9009	0	0	1.8018	15.3153	12.6126	2.7027	6.3063	0	0.9009	1.8018	0	0.9009	9.0090	13.5135	20.7207	36.0360	50.4505	0.9009	6.3063	0	19.8198	4.5045	0	2.7027	1.8018	0.9009	2.7027	0.9009	0	2.7027	0.9009	1.8018	14.4144	2.7027	0	9.9099	3.6036	6.3063	1.8018	11.7117	7.2072	30.6306	6.3063	9.9099	15.3153	0	6.3063	0.2066	0.5165	1.0331	0.2066	0.1033	0	0.8264	0	0	0	8.9876	0.5165	21.1777	0	1.6529	0	0	0.2066
Science_for_students_10066526_sinking-city.txt	698	4.7393	0.527500	0.590258	32.8205	17.4359	1.5385	5.6410	6.6667	19.1176	4.4118	2.9412	16.1765	0	30.8824	0	0	2.9412	0	1.4706	4.4118	8.8235	13.2353	19.1176	0	0	0	1.4706	0	0	8.8235	10.2941	7.3529	23.5294	63.2353	2.9412	8.8235	0	11.7647	1.4706	1.4706	2.9412	4.4118	4.4118	4.4118	1.4706	0	1.4706	2.9412	0	4.4118	2.9412	1.4706	11.7647	10.2941	13.2353	0	0	2.9412	5.8824	4.4118	4.4118	13.2353	0	1.4706	0.5731	1.5759	0.2865	0	0	0	0.4298	0	0.1433	0	11.4613	0.1433	27.9370	0	2.2923	0	0	0
History_kids_10380713_plague.txt	1306	4.4028	0.465000	0.534456	56.3830	11.7021	1.7730	5.3191	5.3191	24.6269	4.4776	9.7015	5.2239	1.4925	29.1045	2.9851	0	4.4776	6.7164	2.2388	2.9851	16.4179	5.2239	6.7164	6.7164	0	1.4925	3.7313	0.7463	3.7313	2.2388	12.6866	4.4776	54.4776	31.3433	1.4925	2.2388	0	15.6716	0.7463	1.4925	4.4776	2.2388	4.4776	0	0	0.7463	0	0.7463	11.1940	9.7015	12.6866	0	9.7015	7.4627	2.9851	0	0	0	0.7463	10.4478	0	9.7015	0	5.9701	0.3063	1.4548	1.1485	0.1531	0.0766	0	0.3828	0	0.5360	0	12.0214	0	21.5926	0	1.9908	0.2297	0	0
Ducksters_10398091_j_edgar_hooverphp.txt	766	4.7872	0.462500	0.601828	25.2033	12.1951	1.2195	4.0650	3.2520	25.0000	8.8235	1.4706	4.4118	1.4706	35.2941	1.4706	0	0	7.3529	0	0	7.3529	19.1176	14.7059	1.4706	0	1.4706	0	1.4706	1.4706	2.9412	7.3529	1.4706	91.1765	7.3529	0	0	0	10.2941	0	0	0	0	1.4706	0	1.4706	0	0	0	0	2.9412	17.6471	0	17.6471	8.8235	8.8235	0	0	0	55.8824	4.4118	1.4706	0	0	2.9412	0	1.6971	1.0444	0	0	0	0.2611	0.1305	0	0	13.8381	0.2611	32.1149	0	0.6527	0	0	0
WhyFiles_10062318.txt	1073	4.9450	0.540000	0.601118	32.4759	26.0450	1.2862	10.6109	1.2862	20.0000	0	1.1765	15.2941	1.1765	37.6471	0	2.3529	2.3529	2.3529	3.5294	1.1765	21.1765	10.5882	10.5882	1.1765	0	1.1765	3.5294	0	0	7.0588	12.9412	4.7059	20.0000	62.3529	0	2.3529	0	14.1176	4.7059	3.5294	5.8824	1.1765	7.0588	2.3529	4.7059	2.3529	0	0	2.3529	4.7059	8.2353	0	17.6471	3.5294	2.3529	0	0	5.8824	1.1765	7.0588	2.3529	3.5294	0	2.3529	0.3728	2.2367	1.4911	0.0932	0.0932	0	0.5592	0	0.7456	0	12.7679	0.0932	28.9842	0	1.8639	0.1864	0	0.0932
Science_for_students_10065739_accidental-experiment-your-bird-feeder.txt	1203	4.7041	0.522500	0.556941	32.4910	23.4657	0.7220	5.0542	6.8592	19.6721	5.7377	4.0984	10.6557	1.6393	27.8689	0.8197	5.7377	2.4590	7.3770	3.2787	4.9180	14.7541	16.3934	4.9180	2.4590	0	4.0984	3.2787	0	0	6.5574	18.8525	8.1967	22.1311	55.7377	5.7377	4.9180	0	18.0328	5.7377	1.6393	3.2787	1.6393	3.2787	4.0984	5.7377	0	1.6393	0	3.2787	7.3770	7.3770	0	12.2951	9.0164	4.0984	0.8197	1.6393	0.8197	9.0164	14.7541	10.6557	8.1967	0	6.5574	0	1.1638	0.8313	0.0831	0	0	0.5819	0	0	0	11.3051	0.0831	23.0258	0	2.1613	0.1663	0	0
Quatr_us_10390994_algonquin.txt	684	4.8187	0.455000	0.631579	27.9817	16.5138	0.9174	15.1376	5.0459	30.1887	5.6604	0	15.0943	1.8868	49.0566	0	0	0	9.4340	0	0	11.3208	13.2075	7.5472	0	0	0	1.8868	0	3.7736	5.6604	11.3208	0	92.4528	3.7736	13.2075	1.8868	0	22.6415	0	0	7.5472	1.8868	0	0	1.8868	0	0	0	1.8868	0	1.8868	0	5.6604	1.8868	3.7736	0	0	1.8868	7.5472	30.1887	1.8868	3.7736	0	0	0.7310	1.4620	0.1462	0	0	0	0.1462	0	0.7310	0	11.4035	0.8772	31.8713	0	1.1696	0.1462	0	0
Science_Tech_Kinds_NZ_10382368_weird.txt	764	4.6767	0.460000	0.621728	16.5000	30.0000	0.5000	13.5000	6.0000	33.7500	2.5000	1.2500	0	2.5000	40.0000	0	2.5000	5.0000	5.0000	0	0	8.7500	25.0000	6.2500	3.7500	0	3.7500	1.2500	0	7.5000	0	10.0000	8.7500	2.5000	65.0000	1.2500	2.5000	0	5.0000	6.2500	0	1.2500	2.5000	3.7500	23.7500	1.2500	0	0	1.2500	0	7.5000	7.5000	2.5000	12.5000	5.0000	2.5000	0	0	2.5000	0	3.7500	17.5000	10.0000	0	10.0000	0	1.0471	1.4398	0.1309	0	0	0.5236	0	0.2618	0	9.2932	0.2618	26.1780	0	2.3560	0.2618	0	0.2618
Science_for_students_10066236_teens-invent-way-keep-floodwaters-out-subways.txt	1065	4.8329	0.545000	0.610329	22.5309	17.2840	2.1605	10.8025	5.2469	20.2381	3.5714	9.5238	7.1429	0	46.4286	0	0	0	8.3333	0	3.5714	14.2857	3.5714	5.9524	1.1905	0	0	4.7619	0	0	1.1905	10.7143	7.1429	19.0476	61.9048	8.3333	2.3810	0	20.2381	3.5714	2.3810	5.9524	1.1905	2.3810	2.3810	0	0	3.5714	1.1905	5.9524	5.9524	8.3333	0	10.7143	22.6190	5.9524	0	0	0	0	13.0952	0	14.2857	0	11.9048	0.1878	3.1925	1.4085	0	0.0939	0	0.2817	0	0.2817	0	12.0188	0.0939	30.4225	0	1.5023	0.2817	0	0
Teen_Kids_News_10405006_average-american-15-pounds-heavier-than-20-years-ago.txt	776	4.6070	0.547500	0.572165	32.0000	21.5000	1.0000	8.0000	6.0000	21.1268	0	0	15.4930	2.8169	39.4366	2.8169	1.4085	7.0423	7.0423	1.4085	0	28.1690	2.8169	7.0423	1.4085	0	1.4085	7.0423	0	1.4085	4.2254	5.6338	11.2676	38.0282	50.7042	0	7.0423	0	28.1690	0	1.4085	1.4085	1.4085	2.8169	0	1.4085	0	0	4.2254	4.2254	5.6338	5.6338	0	15.4930	7.0423	4.2254	0	0	7.0423	9.8592	2.8169	0	11.2676	0	0	0	2.8351	1.0309	0	0.1289	0	0.5155	0	0.2577	0	12.6289	0.1289	25.7732	0	2.3196	0	0	0.1289
TweenTribute_10051492_would-you-let-robot-operate-you.txt	1342	4.7802	0.592500	0.577496	30.0860	19.4842	2.5788	6.0172	7.4499	33.0579	3.3058	4.9587	9.0909	3.3058	37.1901	0	4.9587	3.3058	2.4793	3.3058	2.4793	18.1818	14.8760	1.6529	2.4793	0	1.6529	2.4793	0.8264	0.8264	8.2645	9.0909	10.7438	21.4876	51.2397	0	3.3058	0	13.2231	7.4380	3.3058	5.7851	2.4793	3.3058	0	7.4380	1.6529	1.6529	1.6529	5.7851	14.0496	8.2645	0.8264	14.0496	5.7851	4.9587	0	9.9174	1.6529	2.4793	8.2645	2.4793	14.8760	0	4.1322	0.2981	1.4903	0.4471	0.2235	0	0	0.5216	0	0.2235	0	10.5812	0.4471	26.0060	0	2.2355	0.2235	0	0.1490
TeenVogue_10407882_bts-movie-burn-the-stage-movie.txt	894	4.5895	0.545000	0.524609	34.0611	14.8472	5.2402	7.4236	4.8035	39.1304	5.7971	0	4.3478	0	46.3768	1.4493	2.8986	4.3478	4.3478	0	7.2464	13.0435	21.7391	4.3478	1.4493	0	1.4493	4.3478	0	0	10.1449	26.0870	10.1449	13.0435	69.5652	2.8986	5.7971	0	14.4928	2.8986	1.4493	5.7971	1.4493	0	4.3478	2.8986	0	1.4493	2.8986	1.4493	7.2464	1.4493	0	39.1304	8.6957	1.4493	0	0	1.4493	7.2464	55.0725	2.8986	8.6957	0	10.1449	0.1119	1.2304	1.3423	0	0.1119	0	0.3356	0	0	0	12.6398	0	25.6152	0	2.9083	0	0	0
Factmonster_10053780_july-21.txt	594	4.9865	0.590000	0.616162	28.2178	26.7327	2.4752	3.9604	0	27.5862	0	3.4483	6.8966	3.4483	96.5517	3.4483	0	0	24.1379	0	6.8966	10.3448	10.3448	6.8966	0	0	3.4483	3.4483	0	0	0	13.7931	0	51.7241	44.8276	0	0	0	10.3448	0	0	6.8966	0	3.4483	3.4483	0	0	0	0	0	3.4483	13.7931	0	27.5862	27.5862	0	0	0	3.4483	65.5172	3.4483	0	0	0	0	0	6.0606	0	0	0	0	0.1684	0.1684	0	0	13.8047	0	34.0067	0	1.1785	0.1684	0	0
Dogo_News_file10060256_geminid-showers-promise-a-stellar-show-this-week.txt	483	4.7391	0.555000	0.554865	38.7097	20.1613	4.0323	8.0645	8.0645	25.7143	0	2.8571	0	5.7143	51.4286	5.7143	0	0	5.7143	0	0	37.1429	8.5714	0	2.8571	0	0	2.8571	0	5.7143	2.8571	11.4286	2.8571	0	82.8571	8.5714	2.8571	0	25.7143	2.8571	0	2.8571	2.8571	2.8571	2.8571	0	0	0	11.4286	0	2.8571	5.7143	2.8571	8.5714	11.4286	2.8571	0	0	8.5714	0	17.1429	0	8.5714	0	2.8571	0.2070	3.9337	1.0352	0	0	0	1.4493	0	1.2422	0	14.2857	0	25.6729	0	1.6563	0	0	0
History_Kids_BBC_10403990_ib05s.txt	609	4.9573	0.582500	0.574713	21.9512	20.9756	2.4390	5.8537	3.9024	41.1765	0	0	17.6471	0	88.2353	0	0	8.8235	8.8235	8.8235	5.8824	29.4118	8.8235	2.9412	0	0	0	2.9412	0	0	0	11.7647	0	70.5882	14.7059	2.9412	0	0	8.8235	0	0	5.8824	0	0	2.9412	8.8235	0	0	2.9412	0	5.8824	23.5294	0	32.3529	11.7647	2.9412	0	0	0	11.7647	44.1176	2.9412	2.9412	0	0	0	0.4926	0.8210	0	0	0	0.6568	0.1642	0	0	16.7488	0	33.6617	0	0.4926	0	0	0
Teen_Kids_News_10402662_twin-brother-teammates-set-to-make-nfl-history.txt	1239	4.2809	0.542500	0.538337	33.0882	13.9706	1.8382	11.7647	2.5735	27.8261	0.8696	1.7391	11.3043	0	33.9130	0.8696	1.7391	0.8696	3.4783	0	6.0870	9.5652	23.4783	3.4783	3.4783	0	3.4783	6.9565	0	0	5.2174	15.6522	23.4783	40.8696	43.4783	3.4783	4.3478	0.8696	16.5217	1.7391	3.4783	5.2174	1.7391	3.4783	0.8696	0.8696	3.4783	2.6087	1.7391	4.3478	9.5652	8.6957	0	7.8261	2.6087	12.1739	0	20.0000	6.9565	20.8696	14.7826	1.7391	8.6957	0	12.1739	0.0807	1.9370	0.7264	0.5650	0	0	1.7756	0	0.2421	0	11.2187	0	21.9532	0	2.1792	0.3228	0	0
