Filename	Words	AWL	TTR	LD	ABLE	ACT	AMP	ASPECT	BEMA	CAUSE	CC	CD	COMM	CONC	COND	CONT	CUZ	DEMO	DMA	DOAUX	DT	DWNT	ELAB	EMO	EMPH	EX	EXIST	FPP1P	FPP1S	FPUH	FREQ	GTO	HDG	HGOT	IN	JJAT	JJPR	LIKE	MDCA	MDCO	MDMM	MDNE	MDWO	MDWS	MENTAL	NCOMP	NN	OCCUR	PASS	PEAS	PGET	PIT	PLACE	POLITE	POS	PROG	PRP	QUAN	QUPR	QUTAG	RB	RP	SO	SPLIT	SPP2	STPR	THATD	THRC	THSC	TIME	TPP3P	TPP3S	URL	VBD	VBG	VBN	VIMP	VPRT	WHQU	WHSC	XX0	YNQU
141_PRATCHETT1992DW13GODS_2.txt	5843	4.2418	0.417500	0.511723	0.0171	2.7897	0.1027	0.1540	1.4890	0.1540	2.7725	0.8386	2.6527	0.0856	0.2396	1.3692	0.0856	0.8215	0.5305	0.6161	8.1123	0.0685	0.0342	0.0000	0.5134	0.6332	0.3594	0.5819	2.0709	0.3252	0.2738	0.0171	0.1883	0.1369	9.4814	2.4816	1.1809	0.2396	0.4621	0.4107	0.0685	0.2738	0.1540	0.4279	2.4303	0.4279	19.0484	0.1883	0.4792	0.4792	0.0000	1.2151	0.4450	0.0342	0.4450	0.3765	0.0171	1.1809	0.5819	0.0342	2.4816	0.4963	0.1883	0.3423	1.6601	0.1027	0.2225	0.1027	0.4107	0.4621	0.5990	3.7481	0.0000	7.4619	0.8557	0.4450	0.4621	3.5940	0.6161	0.8044	1.1638	0.2909
221_GREEN2010GHOSANCE.enuk_1.txt	6044	4.2864	0.495000	0.527631	0.0000	3.3091	0.2647	0.3805	1.5553	0.1985	3.4580	0.2482	1.6214	0.0827	0.2482	2.9120	0.1158	1.1913	0.4467	0.5460	5.0960	0.1489	0.0000	0.0000	0.5625	0.3805	0.4302	1.0754	1.5718	0.0827	0.5295	0.0496	0.1655	0.1324	9.4474	2.9782	3.1602	0.3475	0.4798	0.3971	0.0496	0.3805	0.2482	0.1324	1.7207	0.8107	14.8081	0.4302	0.4136	0.5460	0.0165	1.7373	0.6949	0.0496	0.2316	0.6618	0.0000	1.6545	0.9100	0.0662	3.7062	0.9596	0.0993	0.3144	0.9265	0.1324	0.3144	0.1820	0.2316	0.3805	1.8034	2.9451	0.0000	5.5592	1.5718	0.6122	0.3805	4.4838	0.1985	0.8273	1.5387	0.4467
55_BEChildrenLewisCliveTheMagiciansNephew_1.txt	5916	4.0526	0.522500	0.479040	0.0000	2.6200	0.3212	0.2874	1.7748	0.2535	3.4652	0.5578	1.7579	0.0169	0.5747	1.5044	0.1521	1.0818	0.1690	0.3888	6.7275	0.1014	0.0507	0.0000	0.7099	0.3550	0.2705	0.2535	2.0115	0.2366	0.3550	0.1014	0.1014	0.0845	10.2434	3.3469	1.5213	0.2366	0.1690	0.3212	0.1690	0.4395	0.3043	0.5578	1.9270	0.3043	17.0216	0.4057	0.4395	1.0818	0.0000	1.3185	0.3888	0.2705	0.4395	0.4395	0.0000	1.3692	0.4733	0.0676	3.0595	0.7945	0.1859	0.4733	1.5551	0.0845	0.2705	0.1521	0.6930	0.9297	0.4564	4.7329	0.0000	6.8966	1.0818	0.3550	0.4226	2.8229	0.2535	1.0480	1.2339	0.1352
205_PRATCHETT2007DW36ONEY.en_4.txt	5970	4.0951	0.507500	0.539028	0.0168	3.0151	0.3685	0.2178	2.0101	0.1005	2.8811	0.9548	2.3786	0.1005	0.2345	1.4573	0.1508	0.7203	0.8878	0.6533	6.7169	0.1340	0.0168	0.0000	0.6198	0.2680	0.3183	0.6030	2.2781	0.4858	0.3853	0.0503	0.1843	0.0838	8.6767	3.4841	1.8258	0.2680	0.3853	0.1675	0.2010	0.2513	0.1340	0.1675	2.1776	0.5695	18.5260	0.2848	0.5025	0.5528	0.0168	1.5410	0.3685	0.1005	0.3183	0.3350	0.0000	1.2730	0.3853	0.0670	2.6298	0.5193	0.0838	0.2848	1.8425	0.0670	0.4858	0.3183	0.5360	0.3853	0.9380	2.3618	0.0000	5.7119	1.1558	0.3518	0.2680	5.4941	0.4690	0.6533	1.4573	0.5025
245_PigletGetsaNewJobOCoHeart_3.txt	5636	4.1966	0.470000	0.464336	0.0177	3.1583	0.4613	0.3016	2.0582	0.1065	3.6551	0.5500	0.3194	0.2307	0.1419	0.6033	0.2307	0.6388	0.1597	0.1952	9.7587	0.1952	0.0355	0.0000	0.7630	0.5678	0.3549	0.0710	0.2129	0.0177	0.5145	0.0355	0.1597	0.0000	10.3974	3.6728	2.4308	0.1952	0.0710	0.3726	0.1952	0.2307	0.4791	0.0532	1.7921	0.4258	16.4301	0.3194	0.6920	1.3840	0.0000	1.6678	0.6388	0.0355	0.2307	0.3194	0.0000	1.2952	0.4613	0.0000	3.8502	0.7630	0.3549	0.4436	0.1242	0.0532	0.1597	0.2307	0.8162	0.7097	0.4613	5.8197	0.0000	8.8361	1.6146	0.3549	0.0532	0.7275	0.0532	0.8872	1.2243	0.0532
134_PRATCHETT1990BROMGERS_4.txt	6319	4.1283	0.475000	0.510999	0.0475	2.2155	0.2374	0.3640	2.0889	0.1108	3.0701	0.8229	2.5637	0.1266	0.2849	2.8486	0.0950	1.1869	0.7121	0.6963	5.6180	0.1108	0.0158	0.0000	0.7280	0.5064	0.3165	0.8229	1.2818	0.5539	0.4748	0.0950	0.1583	0.1424	8.7672	2.2314	1.7250	0.3956	0.1583	0.3165	0.0475	0.3007	0.2216	0.3007	2.5795	0.4748	15.6354	0.2849	0.5855	1.0286	0.0317	1.8199	0.4589	0.1108	0.3007	0.5539	0.0000	1.9149	0.6330	0.0791	3.1492	0.6647	0.0475	0.5381	1.5034	0.1108	0.2690	0.1266	0.3640	0.4906	1.5984	2.5479	0.0000	7.6278	0.8704	0.4115	0.3640	4.0513	0.3956	1.1711	1.5984	0.3165
35_stuartlittle_3.txt	6022	4.2265	0.465000	0.535204	0.0332	2.1754	0.3321	0.3653	2.1255	0.1993	3.4540	0.4318	2.7732	0.0996	0.2491	1.8765	0.1827	0.8967	0.5148	0.4650	6.9080	0.0830	0.0166	0.0000	0.5480	0.2823	0.1827	0.3487	2.1421	0.2159	0.4982	0.0996	0.0664	0.1162	9.0501	2.2750	1.7934	0.1162	0.3985	0.2325	0.0996	0.2325	0.2325	0.4318	2.0923	0.7639	19.9934	0.1827	0.2491	0.3819	0.0332	1.2953	0.6642	0.1827	0.4816	0.3487	0.0000	1.0794	0.9631	0.0166	2.5241	0.7307	0.1328	0.4484	1.2288	0.0830	0.4650	0.0332	0.2823	0.3653	0.6144	3.5370	0.0000	7.4560	0.9465	0.2657	0.4484	3.2879	0.4982	0.9797	0.9631	0.2491
106_GOLDING1980RITESAGE_3.txt	5630	4.3858	0.522500	0.461812	0.0355	1.9005	0.2309	0.1066	1.8828	0.2131	3.2149	0.3730	1.1190	0.3020	0.2664	0.0000	0.0533	0.7638	0.3552	0.3020	7.4245	0.0533	0.0710	0.0000	0.4440	0.3730	0.4085	0.8171	4.1385	0.0888	0.3375	0.0000	0.1599	0.0178	12.1670	3.9432	1.7584	0.0710	0.1954	0.1954	0.3020	0.3730	0.4796	0.3908	1.8472	0.6927	19.7869	0.2487	0.8171	1.1901	0.0000	1.1723	0.2842	0.0888	0.3020	0.2664	0.0000	1.2611	0.2309	0.0000	2.5044	0.2842	0.1776	0.3197	0.7638	0.0710	0.1776	0.2664	0.9059	0.4085	0.4973	3.6234	0.0000	5.3108	0.8348	0.4973	0.0533	3.5524	0.1243	1.4032	1.1545	0.1599
128_PRATCHETT1988DW06TERS_2.txt	6008	4.1691	0.465000	0.529294	0.0499	2.4301	0.1332	0.1498	1.9973	0.1165	2.9294	0.6658	1.8475	0.0499	0.2330	2.6798	0.0832	0.7490	0.5826	0.5493	6.8908	0.0499	0.0999	0.0000	0.5493	0.3162	0.4993	0.7823	1.6977	0.1831	0.4494	0.0499	0.1165	0.1997	9.3375	2.9960	1.3482	0.3329	0.2330	0.5493	0.0166	0.2663	0.2663	0.2830	2.0806	1.1152	18.6252	0.3662	0.2663	0.6158	0.0000	2.0972	0.3662	0.2330	0.3329	0.5659	0.0000	1.8309	0.5326	0.0999	2.5466	0.5826	0.1165	0.3162	1.7477	0.1332	0.2497	0.1165	0.2663	0.3662	0.7157	2.6631	0.0000	6.7577	1.2983	0.4328	0.1997	3.6618	0.2330	0.8322	1.4980	0.1664
300_Westall_-Robert-Blitzcat_3.txt	5779	4.2694	0.532500	0.520159	0.0000	3.1839	0.1211	0.3980	1.6093	0.0692	2.8725	0.7268	1.2632	0.0519	0.2423	1.7131	0.0692	0.4499	0.1211	0.2423	8.1675	0.0865	0.0000	0.0000	0.4845	0.4153	0.3115	0.0865	0.7441	0.0519	0.3807	0.0000	0.1211	0.0692	10.5728	3.8415	1.7996	0.3288	0.1038	0.3288	0.0692	0.2076	0.3634	0.2423	1.4189	1.3324	19.8477	0.4499	0.3807	0.8133	0.0519	1.0728	0.7268	0.0346	0.5883	0.5537	0.0000	1.4016	0.4499	0.0000	2.7859	0.7614	0.0346	0.3288	0.5710	0.0692	0.2769	0.2076	0.2769	0.4153	2.1284	4.9836	0.0000	8.0291	1.5574	0.4153	0.2423	1.6785	0.2423	0.8652	0.8479	0.0865
