Register,Level,Series,Conc1,Conc2,Conc3,Cause_Cx,Collocate,Semantic_prosody
spoken,E,Access,,make,,verbalCxAA,take,
spoken,D,Join the Team,,made,,verbalCxAA,understand,
spoken,B,Solutions,,make,,adjectiveCx,different,
spoken,E,Hi there,,make,,adjectiveCx,sick,
spoken,E,Access,,make,,adjectiveCx,visible,
spoken,C,Piece of cake,,made,,verbalCxAA,work,
spoken,E,Hi there,,make,,nounCx,city,
spoken,D,Solutions,,makes,,adjectiveCx,unlikely,
spoken,E,Access,,make,,nounCx,place,
spoken,E,New Green Line,,made,,verbalCxAA,do,
spoken,D,Piece of cake,,made,,verbalCxAA,preserve,
spoken,D,Solutions,,make,,adjectiveCx,interesting,
spoken,D,Solutions,,made,,verbalCxAA,sit,
spoken,E,Join the Team,,make,,verbalCxAA,feel,
spoken,D,Solutions,,make,,verbalCxAA,laugh,
spoken,D,New Green Line,,making,,verbalCxAA,look,
spoken,B,New Green Line,,makes,,verbalCxAA,think,
spoken,D,Solutions,,make,,adjectiveCx,aware,
spoken,B,New Green Line,,make,,adjectiveCx,shorter,
spoken,E,New Green Line,,make,,verbalCxAA,sound,
spoken,D,New Green Line,,makes,,adjectiveCx,better,
spoken,E,English in Mind,,make,,verbalCxAA,bite,
spoken,D,Join the Team,,make,,verbalCxAA,change,
spoken,C,Hi there,,makes,,adjectiveCx,famous,
spoken,E,New Green Line,,make,,verbalCxAA,feel,
spoken,C,New Green Line,,make,,verbalCxAA,feel,
spoken,C,New Green Line,,make,,verbalCxAA,feel,
spoken,D,Access,,makes,,verbalCxAA,feel,
spoken,C,New Green Line,,make,,verbalCxAA,feel,
spoken,C,Solutions,,makes,,adjectiveCx,fit,
spoken,E,New Green Line,,makes,,adjectiveCx,better,
spoken,D,Piece of cake,,make,,verbalCxAA,guess,
spoken,D,Piece of cake,,make,,adjectiveCx,happy,
spoken,C,English in Mind,,make,,verbalCxAA,laugh,
spoken,B,English in Mind,,make,,verbalCxAA,laugh,
spoken,E,New Green Line,,make,,verbalCxAA,pay,
spoken,D,Access,,makes,,verbalCxAA,realize,
spoken,C,Solutions,,make,,verbalCxAA,sound,
spoken,C,New Green Line,,makes,,verbalCxAA,stop and say,
spoken,C,New Green Line,,makes,,verbalCxAA,stop and think,
spoken,C,Access,,makes,,verbalCxAA,stretch,
spoken,C,Hi there,,make,,adjectiveCx,stronger,
spoken,D,Solutions,,makes,,verbalCxAA,think,
spoken,D,Hi there,,makes,,verbalCxAA,think,
spoken,B,English in Mind,,makes,,verbalCxAA,think,
spoken,B,English in Mind,,makes,,verbalCxAA,think,
spoken,E,Access,,makes,,verbalCxAA,want,
spoken,E,New Green Line,,makes,,verbalCxAA,want,
spoken,E,New Green Line,,makes,,verbalCxAA,want,
spoken,D,English in Mind,,make,,verbalCxAA,learn,
spoken,E,New Green Line,,making,,adjectiveCx,enjoyable,
spoken,E,New Green Line,,make,,nounCx,success,
spoken,D,Solutions,,making,,adjectiveCx,believable,
spoken,E,Green Line,,make,,verbalCxAA,shine,
spoken,E,Green Line,,Make,,adjectiveCx,deaf,
spoken,E,Green Line,,make,,adjectiveCx,deaf,
spoken,B,Join the Team,,make,,nounCx,at home,
