Filename,Level
Access_3_Spoken_0033.txt,C
Access_3_Spoken_0034.txt,C
Access_3_Spoken_0035.txt,C
Access_3_Spoken_0036.txt,C
Access_3_Spoken_0037.txt,C
Access_3_Spoken_0038.txt,C
Access_3_Spoken_0039.txt,C
Access_3_Spoken_0040.txt,C
Access_3_Spoken_0041.txt,C
Access_3_Spoken_0042.txt,C
Access_3_Spoken_0043.txt,C
Access_3_Spoken_0044.txt,C
Access_3_Spoken_0045.txt,C
Access_3_Spoken_0046.txt,C
Access_3_Spoken_0047.txt,C
Access_3_Spoken_0048.txt,C
Access_4_Informative_0001.txt,D
Access_4_Informative_0002.txt,D
Access_4_Informative_0003.txt,D
Access_4_Informative_0004.txt,D
Access_4_Informative_0005.txt,D
Access_4_Informative_0006.txt,D
Access_4_Informative_0007.txt,D
Access_4_Informative_0008.txt,D
Access_4_Informative_0009.txt,D
Access_4_Informative_0010.txt,D
Access_4_Informative_0011.txt,D
Access_4_Informative_0012.txt,D
Access_4_Informative_0013.txt,D
Access_4_Instructional_0001.txt,D
Access_4_Instructional_0002.txt,D
Access_4_Instructional_0003.txt,D
Access_4_Instructional_0004.txt,D
Access_4_Instructional_0005.txt,D
Access_4_Instructional_0006.txt,D
Access_4_Instructional_0007.txt,D
Access_4_Instructional_0008.txt,D
Access_4_Instructional_0009.txt,D
Access_4_Instructional_0010.txt,D
Access_4_Instructional_0011.txt,D
Access_4_Instructional_0012.txt,D
Access_4_Instructional_0013.txt,D
Access_4_Instructional_0014.txt,D
Access_4_Instructional_0015.txt,D
Access_4_Instructional_0016.txt,D
Access_4_Narrative_0001.txt,D
Access_4_Narrative_0002.txt,D
Access_4_Narrative_0003.txt,D
Access_4_Narrative_0004.txt,D
Access_4_Narrative_0005.txt,D
Access_4_Narrative_0006.txt,D
Access_4_Narrative_0007.txt,D
Access_4_Narrative_0008.txt,D
Access_4_Narrative_0009.txt,D
Access_4_Narrative_00091.txt,D
Access_4_Narrative_0010.txt,D
Access_4_Narrative_0011.txt,D
Access_4_Narrative_0012.txt,D
Access_4_Narrative_0013.txt,D
Access_4_Narrative_0014.txt,D
Access_4_Personal_0001.txt,D
Access_4_Personal_0002.txt,D
Access_4_Personal_0003.txt,D
Access_4_Poetry_0001.txt,D
Access_4_Poetry_0002.txt,D
